question,A,B,C,D,answer
What is the magnetic moment of 205Tl?,"(A) [ɣ (205TI = 1.569 x 108 T-1 s-1, I = ½]",(B) 0.717 x 10^-26 J T-1,(C) 0.827 x 10^-26 J T-1,(D) 1.433 x 10^-26 J T-1,C
"An object moving along a line has velocity v(t) = t cos(t) - ln (t + 2), where 0 <= t <= 10. How many times does the object reverse direction?",(A) none,(B) one,(C) two,(D) three,C
An object is placed 100 cm from a plane mirror. How far is the image from the object?,(A) 50 cm,(B) 100 cm,(C) 200 cm,(D) 300 cm,C
"In Darwin's thinking, the more closely related two different organisms are, the",(A) more similar their habitats are.,(B) less similar their DNA sequences are.,(C) more recently they shared a common ancestor.,(D) less likely they are to have the same genes in common.,C
Which of the following statements about electric and magnetic fields is FALSE:,"(A) A charge moving along the direction of an electric field will experience a force, but a charge moving along the direction of a magnetic field will not experience a force.","(B) All charges experience a force in an electric field, but only moving charges can experience a force in a magnetic field.",(C) A positive charge moves in the direction of an electric field; a positive charge moves perpendicular to a magnetic field.,(D) All moving charges experience a force parallel to an electric field and perpendicular to a magnetic field.,C
What is 836 rounded to the nearest 10?,(A) 800,(B) 830,(C) 840,(D) 870,C
Which of the following circles has the greatest number of points of intersection with the parabola x^2 = y + 4 ?,(A) x^2 + y^2 = 1,(B) x^2 + y^2 = 2,(C) x^2 + y^2 = 9,(D) x^2 + y^2 = 16,C
"Rowena can paint a room in $14$ hours, while Ruby can paint it in $6$ hours. If Rowena paints for $x$ hours and Ruby paints for $y$ hours, they will finish half of the painting, while if Rowena paints for $y$ hours and Ruby paints for $x$ hours they will paint the whole room. Find the ordered pair $(x,y)$.","(A) (\frac{11}{10}, \frac{11}{10})","(B) (\frac{231}{20}, \frac{21}{20})","(C) (\frac{231}{40}, \frac{21}{40})","(D) (1,1)",C
Find the area bounded by the spiral r = ln θ on the interval π <= θ <= 2π.,(A) 2.405,(B) 2.931,(C) 3.743,(D) 4.81,C
In which of the following situations involving a source of sound and a detector of the sound is it possible that there is NO perceived Doppler shift?,(A) The source travels toward the stationary detector.,(B) The detector travels toward the stationary source.,(C) Both the source and detector travel in the same direction.,"(D) Both the source and detector travel in opposite directions, with the source and detector moving away from each other.",C
Electrical analogous quantity for spring element (K) in force-voltage analogy is,(A) L,(B) R,(C) 1/C,(D) C,C
All of the following statements about plant embryogenesis are correct EXCEPT:,(A) The suspensor is derived from the basal cell.,(B) Cotyledons are derived from the apical cell.,(C) Shoot apical meristem formation occurs after seed formation.,(D) Precursors of all three plant tissue systems are formed during embryogenesis.,C
A grocerystore sells a bag of 5 lemons for $2.00. What is the unit cost of each lemon in the bag?,(A) $2.50 ,(B) $0.60 ,(C) $0.40 ,(D) $0.10 ,C
"Where, in the first quadrant, does the rose r = sin 3θ have a vertical tangent?",(A) nowhere,(B) θ = 0.39,(C) θ=  0.47,(D) θ = 0.52,C
"If, on average, 46% of the loci in a species' gene pool are heterozygous, then the average homozygosity of the species should be",(A) 23%,(B) 46%,(C) 54%,(D) 92%,C
The section of chromosome that serves as the site of attachment by the mitotic spindle during cell division is the,(A) chromatophore,(B) chromomere,(C) kinetochore,(D) centriole,C
"Let $f(x)=3x+4$ and $g(x)=2x-3$. If $h(x)=f(g(x))$, then what is the inverse of $h(x)$?",(A) \frac{x-5}{3},(B) \frac{x+5}{3},(C) \frac{x+5}{6},(D) \frac{x-5}{6},C
The relationship between the vapor pressure of a liquid and the heat of vaporization is expressed in the,(A) Rydberg equation,(B) Gibbs free energy equation,(C) Clausius-Clapeyron equation,(D) Arrhenius equation,C
Statement 1 | Every permutation is a one-to-one function. Statement 2 | Every function is a permutation if and only if it is one to one.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",C
A major polling organization wants to predict the outcome of an upcoming national election (in terms of the proportion of voters who will vote for each candidate). They intend to use a 95% confidence interval with margin of error of no more than 2.5%. What is the minimum sample size needed to accomplish this goal?,(A) 1536,(B) 39,(C) 1537,(D) 40,C
Lisa owns a small business. There was a loss of $14 on Monday and a profit of $18 on Tuesday. On Wednesday there was a loss of $6 and on Thursday there was a profit of $7. Find the total profit or loss.,(A) $15 profit,(B) $45 loss,(C) $5 profit,(D) $10 profit,C
"For all strings x, the function x^M is defined recursively as follows.e^M= e, andif w is a string and a is a string with length 1, then(aw)^M = aw^Ma.Let a be a string with length 1, and let x and y be arbitrary strings. Which of the following is true?",(A) a^M = a,(B) (ax)^M = (xa)^M,(C) (xy)^M = y^Mx^M,(D) None of the above,D
"Atoms of four elements are examined: carbon, nitrogen, neon, and sulfur. Atoms of which element are most likely to form a structure with the formula XF6 (where X is one of the four atoms)?",(A) Carbon,(B) Nitrogen,(C) Neon,(D) Sulfur,D
"Two dice are rolled simultaneously. If both dice show 6, then the player wins $20; otherwise the player loses the game. It costs $2.00 to play the game. What is the expected gain or loss per game?",(A) The player will gain about $0.55.,(B) The player will gain about $1.44.,(C) The player will lose about $0.55.,(D) The player will lose about $1.44.,D
"Bob rolls a fair six-sided die each morning. If Bob rolls a composite number, he eats sweetened cereal. If he rolls a prime number, he eats unsweetened cereal. If he rolls a 1, then he rolls again. In a non-leap year, what is the expected number of times Bob will roll his die?",(A) \frac{5}{8},(B) \frac{1825}{4},(C) \frac{5}{4},(D) 438,D
Which one sentence explains most accurately why spin trapping is often used to detect free radical intermediates?,(A) spin trapping provides more structural information than direct detection by EPR,(B) spin trapping makes it easy to quantify free radical intermediates,(C) steady state concentration of free radical intermediates is often too low to enable direct detection by EPR,(D) detection of spin adducts requires lower power than direct detection of radical intermediates,D
A spring of force constant k is stretched a certain distance. It takes twice as much work to stretch a second spring by half this distance. The force constant of the second spring is,(A) k,(B) 2k,(C) 4k,(D) 8k,D
Which of the following decimal numbers has an exact representation in binary notation?,(A) 0.1,(B) 0.2,(C) 0.3,(D) 0.5,D
The area bounded by the parabola y = x^2 and the lines y = 1 and y = 9 equals,(A) 8,(B) 84/3,(C) 64\sqrt{2}/3,(D) 104/3,D
A three-dimensional harmonic oscillator is in thermal equilibrium with a temperature reservoir at temperature T. The average total energy of the oscillator is,(A) (1/2) k T,(B) kT,(C) (3/2) k T,(D) 3kT,D
Which of the following statements about fungi is NOT true?,(A) They all are eukaryotic.,(B) They all have rigid cell walls.,(C) Most are filamentous.,(D) Some are photosynthetic.,D
Statement 1 | The set of 2 x 2 matrices with integer entries and nonzero determinant is a group under matrix multiplication. Statement 2 | The set of 2 x 2 matrices with integer entries and determinant 1 is a group under matrix multiplication.,"(A) True, True","(B) False, False","(C) True, False","(D) False, True",D
The concept of punctuated equilibrium refers to,(A) oscillating ecological successional stages,"(B) ecological succession arrested by sudden environmental changes, e.g., fire",(C) persistent predator-prey relationships in relatively stable environments,(D) bursts of speciation followed by relatively unchanging lineages,D
"A biologist studied a population of squirrels for 15 years. During that time, the population was never fewer than 30 squirrels and never more than 45. Her data showed that over half of the squirrels born did not survive to reproduce, because of competition for food and predation. In a single generation, 90% of the squirrels that were born lived to reproduce, and the population increased to 80. Which inference(s) about this population might be true?",(A) The amount of available food may have increased.,(B) The number of predators may have decreased.,"(C) The squirrels of subsequent generations should show greater levels of genetic variation than previous generations, because squirrels that would not have survived in the past will now survive.","(D) A, B, and C",D
Which of the following is encoded by the src oncogene and catalyzes the specific addition of phosphate groups to cellular proteins?,(A) Protein phosphatase,(B) Adenylate cyclase,(C) G protein-linked receptor,(D) Tyrosine kinase,D
The mass of an atom comes mostly from its _ ; and its volume from its _.,(A) nucleons; nucleons.,(B) electrons; electrons.,(C) electrons; nucleons.,(D) nucleons; electrons.,D
"If U and V are 3-dimensional subspaces of R^5, what are the possible dimensions of U ∩ V?",(A) 0,(B) 1,(C) 0 or 1,"(D) 1, 2, or 3",D
"Compute the area of the triangle whose altitudes have lengths 10, 12, and 15.",(A) 56\sqrt{15},(B) 240\sqrt{7},(C) 60\sqrt{7},(D) 240\sqrt{7}/7,D
"What does it mean to ""be stealthy"" during a penetration test?",(A) Performing the tests from an undisclosed location,(B) Using encryption during tests to make the source of attacks impossible to determine,(C) Performing penetration testing without the target organization knowing,"(D) Taking care to avoid activities during a penetration test that might attract attention, e.g., by operators or IDS services",D
General relativity predicts that,(A) light leaving the Sun is slowed by gravity.,(B) light passing the Sun is deflected.,(C) a clock on the Sun’s surface runs faster than on Earth.,(D) All of these.,D
Which of the following pairs of structures is least likely to represent homology?,(A) The wings of a bat and the arms of a human,(B) The hemoglobin of a baboon and that of a gorilla,(C) The mitochondria of a plant and those of an animal,(D) The wings of a bird and those of an insect,D
"The distribution of salaries of a county school system with 4,752 employees is known to be right skewed, with the superintendent’s salary an outlier on the higher side. A random sample of 20 employees was taken and their salaries recorded. A 95 percent t-confidence interval for the mean salary of the county school system employees is ($15,360, $32,470). The t-confidence interval is not appropriate in this situation because",(A) the sample size is too small compared to the number of employees in the system to give a fair representation,(B) the skewed salary distribution tells us that assumption of normality of the sampled population will not be satisfied,(C) the population standard deviation of the salaries of employees of this county school system is not known,"(D) the teacher salaries are not negotiable, but the superintendent’s salary is negotiable, so the superintendent’s salary should be excluded from the population sampled",D
Which of the following lists the ingredients of the solar nebula from highest to lowest percentage of mass in the nebula?,(A) hydrogen compounds (H2O CH4 NH3) light gases (H He) metals rocks,(B) hydrogen compounds (H2O CH4 NH3) light gases (H He) rocks metals,(C) light gases (H He) hydrogen compounds (H2O CH4 NH3) metals rocks,(D) light gases (H He) hydrogen compounds (H2O CH4 NH3) rocks metals,D
Light reflecting from a smooth surface undergoes a change in,(A) frequency.,(B) wavelength.,(C) All of these.,(D) None of these.,D
Molly got a haircut for $25 and she left a 15% tip. What was Molly’s final cost?,(A) $25.15 ,(B) $26.50 ,(C) $27.50 ,(D) $28.75 ,D
Find the difference of 142.76 – 16.5.,(A) 159.26,(B) 2.224,"(C) 14,111",(D) 126.26,D
"What is the best explanation for the fact that tuna, sharks, and dolphins all have a similar streamlined appearance?",(A) They all share a recent common ancestor.,(B) They all sustained the same set of mutations.,(C) They acquire a streamlined body type to survive in their particular environment.,(D) The streamlined body has a selective advantage in that environment.,D
The first ionization energy for a neutral atom of chlorine is 1.25 MJ/mol and the first ionization energy for a neutral atom of argon is 1.52 MJ/mol. How would the first ionization energy value for a neutral atom of potassum compare to those values?,(A) It would be greater than both because potassium carries a greater nuclear charge then either chlorine or argon.,(B) It would be greater than both because the size of a potassium atom is smaller than an atom of either chlorine or argon.,"(C) It would be less than both because there are more electrons in potassium, meaning they repel each other more effectively and less energy is needed to remove one.",(D) It would be less than both because a valence electron of potassium is farther from the nucleus than one of either chlorine or argon.,D
"A proficient engineer can easily design skeletal structures that are more functional than those currently found in the forelimbs of such diverse mammals as horses, whales, and bats. That the actual forelimbs of these mammals do not seem to be optimally arranged is because","(A) natural selection has not had sufficient time to create the optimal design in each case, but will do so given enough time.",(B) natural selection operates in ways that are beyond the capability of the human mind to comprehend.,"(C) in many cases, phenotype is not merely determined by genotype, but by the environment as well.",(D) natural selection is generally limited to modifying structures that were present in previous generations and in previous species.,D
The sign of the charge carriers in a doped semiconductor can be deduced by measuring which of the following properties?,(A) Specific heat,(B) Thermal conductivity,(C) Electrical resistivity,(D) Hall coefficient,D
Solve for $x$:$$\left(\frac{1}{25}\right)^{x + 2} = 125^{-x}.$$,(A) 1,(B) 2,(C) 3,(D) 4,D
What is a sampling distribution?,(A) A distribution of all the statistics that can be found in a given sample,"(B) A histogram, or other such visual representation, showing the distribution of a sample",(C) A normal distribution of some statistic,(D) A distribution of all the values taken by a statistic from all possible samples of a given size,D
"A certain reaction is nonspontaneous under standard conditions, but becomes spontaneous at higher temperatures. What conclusions may be drawn under standard conditions?","(A) ΔH < 0, ΔS < 0 and ΔG = 0","(B) ΔH > 0, ΔS < 0 and ΔG > 0","(C) ΔH < 0, ΔS < 0 and ΔG > 0","(D) ΔH > 0, ΔS > 0 and ΔG > 0",D
"A large company has offices in two locations, one in New Jersey and one in Utah. The mean salary of office assistants in the New Jersey office is $28,500. The mean salary of office assistants in the Utah office is $22,500. The New Jersey office has 128 office assistants and the Utah office has 32 office assistants. What is the mean salary paid to the office assistants in this company?","(A) $22,500 ","(B) $23,700 ","(C) $25,500 ","(D) $27,300 ",D
"A local school has seven math teachers and seven English teachers. When comparing their mean salaries, which of the following is most appropriate?",(A) A two-sample z-test of population means,(B) A two-sample t-test of population means,(C) A one-sample z-test on a set of differences,(D) None of the above are appropriate.,D
"Tina’s science fair project was to estimate the mean amount of chemicals in her city’s water supply. At first, she had decided to use a random sample of 15 observations. But her teacher asked her to take 35 observations. The mean and standard deviation from 35 observations turned out to be approximately the same as those from 15 observations. Is there any advantage in using 35 observations instead of 15 observations?","(A) There is no advantage. Because the mean and the standard deviation are about the same, the confidence interval computed using 35 observations should be approximately the same as that computed using 15 observations.","(B) There is no advantage. In fact, the 20 extra observations will increase the likelihood of error.","(C) There is no advantage. Because she took 35 observations instead of 15 observations, the confidence interval using 35 observations will be wider than that using 15 observations.","(D) There is some advantage. Because she took 35 observations instead of 15 observations, the confidence interval using 35 observations will be narrower than that using 15 observations.",D
Which of the following is false?,"(A) Semantic segmentation models predict the class of each pixel, while multiclass image classifiers predict the class of entire image.",(B) A bounding box with an IoU (intersection over union) equal to $96\%$ would likely be considered at true positive.,"(C) When a predicted bounding box does not correspond to any object in the scene, it is considered a false positive.",(D) A bounding box with an IoU (intersection over union) equal to $3\%$ would likely be considered at false negative.,D
Light of variable frequency shines on the metal surface of a photoelectric tube. Einstein’s theory of the photoelectric effect predicts that the,(A) work function of the metal is proportional to the frequency,(B) work function of the metal is proportional to the wavelength,(C) current in the tube is a linear function of the wavelength,(D) potential difference necessary to stop the emitted electrons is a linear function of the frequency above the threshold frequency,D
The molecule with a tetrahedral shape is,(A) PCl4F,(B) BF3,(C) CO2,(D) CBr4,D
Which of the following is a digital device,(A) Regulator of a fan,(B) Microphone,(C) Resistance of a material,(D) Light switch,D
"If a clock chimes every hour the same number of times as the hour it is (e.g., at 3 P.M. it chimes 3 times) and once for every 15-minute increment between hours (e.g., at 3:15, 3:30, and 3:45), what will the total number of chimes be between 5:10 and 7:35 P.M.?",(A) 3,(B) 15,(C) 18,(D) 21,D
"A shipment of resistors have an average resistance of 200 ohms with a standard deviation of 5 ohms, and the resistances are normally distributed. Suppose a randomly chosen resistor has a resistance under 194 ohms. What is the probability that its resistance is greater than 188 ohms?",(A) 0.07,(B) 0.12,(C) 0.50,(D) 0.93,D
Speed of data transmission in 4-G network of telecom is,(A) 386 kbps - 2 mbps.,(B) 2 mbps.,(C) 2 mbps – 1 gbps.,(D) 100 mbps - 1 gbps.,D
"Let A and B be sets, f: A -> B and g: B -> A be functions such that for all a \in A, g(f(a)) = a. Statement 1 | The function g must necessarily be injective. Statement 2 | The function g must necessarily be surjective.","(A) True, True","(B) False, False","(C) True, False","(D) False, True",D
"If the half-life of a radioactive substance is 8 years, how long will it take, in years, for two thirds of the substance to decay?",(A) 4.68,(B) 7.69,(C) 12.21,(D) 12.68,D
"A beam of electrons has speed 10^7 m/s. It is desired to use the magnetic field of the Earth, 5 × 10−5 T, to bend the electron beam into a circle. What will be the radius of this circle?",(A) 1 nm,(B) 1 μm,(C) 1 mm,(D) 1 m,D
"What is the value of the expression 2,816 x 7?","(A) 14,572","(B) 14,672","(C) 19,612","(D) 19,712",D
The molar heat of vaporization of water is +43.9 kJ. What is the entropy change for the vaporization of water?,(A) 8.49 J mol-1 K-1,(B) 4.184 J mol-1 K-1,(C) 2.78 J mol-1 K-1,(D) 118 J mol-1 K-1,D
Which of the following best explains why enzymes are effective in facilitating chemical reactions?,"(A) They raise the temperature of the reaction mixture, thereby speeding up the conversion of reactants to products.",(B) They alter the equilibrium constant of a reaction (K_eq) so that more reactant can be converted to product.,(C) They increase the maximal rate of the chemical reaction (V_max).,"(D) They lower the activation energy, thereby speeding up the conversion of reactants to products.",D
"Double fertilization is a unique feature of flowering plants. In this process, one sperm unites with the egg to yield a zygote. The second sperm unites with the polar nuclei to initiate the formation of the",(A) megagametophyte,(B) endodermis,(C) embryo,(D) endosperm,D
Consider the Bayesian network given below. How many independent parameters would we need if we made no assumptions about independence or conditional independence H -> U <- P <- W?,(A) 3,(B) 4,(C) 7,(D) 15,D
