question,A,B,C,D,answer,source_file
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took credit for my coworker's work because I was seeking a promotion. Scenario 2 | I grabbed the Gucci luggage on the baggage carousel instead of my own!","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,moral_scenarios_processed.csv
 Which of the given formulas of PL is the best symbolization of the following sentence?Either England's importing beef is a necessary condition for France's subsidizing agriculture or China promotes human rights given that South Africa doesn't supply diamonds.,(A) (E ⊃ F) ∨ (C ≡ ~S),(B) (F ⊃ E) ∨ (~S ≡ C),(C) (E ⊃ F) ∨ (S ⊃~C),(D) (F ⊃ E) ∨ (~S ⊃ C),D,formal_logic_processed.csv
Aquinas claim that all human operations appear to serve:,(A) those in power.,(B) those of high status.,(C) those who contemplate the truth.,(D) those who act wickedly.,C,philosophy_processed.csv
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave the thirsty 13 year old a glass of wine. Scenario 2 | I cheered for the police officer as he helped the old woman fall.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,moral_scenarios_processed.csv
 Which of the following does NOT describe the Ka'ba?,(A) It was visited by Moses.,(B) It is a haram.,(C) It was built by Abraham.,(D) It is a square building.,A,world_religions_processed.csv
Feinberg takes his remarks about the two different senses of pleasure to refute:,(A) psychological egoism.,(B) psychological egoistic hedonism.,(C) ethical egoism.,(D) all of the above.,D,philosophy_processed.csv
 Which of the following does the Qur'an permit?,(A) Honor Killing,(B) Stoning,(C) Adultery,(D) Polygyny,D,world_religions_processed.csv
The directed breeding of plants and animals by humans is called:,(A) foraging.,(B) artificial selection.,(C) natural selection.,(D) herding.,B,prehistory_processed.csv
What is the meaning of justiciability?,(A) Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders,(B) Justiciability refers to the just nature or cause of a particular right,(C) Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice,(D) Justiciability refers to the obligation of a State to enforce a particular Right,A,international_law_processed.csv
Kant claims that the natural purpose of reason is to:,(A) produce happiness.,(B) produce pleasure.,(C) produce knowledge.,(D) produce a good will.,D,philosophy_processed.csv
"This question refers to the following information.In Russia there was nothing going on well, and [Souvarine] was in despair over the news he had received. His old companions were all turning to the politicians; the famous Nihilists who made Europe tremble-sons of village priests, of the lower middle class, of tradesmen-could not rise above the idea of national liberation, and seemed to believe that the world would be delivered-when they had killed their despot&…""Foolery! They'll never get out of it with their foolery.""Then, lowering his voice still more, in a few bitter words he described his old dream of fraternity. He had renounced his rank and his fortune; he had gone among workmen, only in the hope of seeing at last the foundation of a new society of labour in common. All the sous in his pockets had long gone to the urchins of the settlement; he had been as tender as a brother with the colliers, smiling at their suspicion, winning them over by his quiet workmanlike ways and his dislike of chattering. But decidedly the fusion had not taken place.His voice changed, his eyes grew bright, he fixed them on étienne, directly addressing him:""Now, do you understand that? These hatworkers at Marseilles who have won the great lottery prize of a hundred thousand francs have gone off at once and invested it, declaring that they are going to live without doing anything! Yes, that is your idea, all of you French workmen; you want to unearth a treasure in order to devour it alone afterwards in some lazy, selfish corner. You may cry out as much as you like against the rich, you haven't got courage enough to give back to the poor the money that luck brings you. You will never be worthy of happiness as long as you own anything, and your hatred of the bourgeois proceeds solely from an angry desire to be bourgeois yourselves in their place.""émile Zola, French writer, Germinal, 1885In European industry, the mining industry as discussed in the passage grew in importance following the invention of",(A) the water frame,(B) the spinning jenny,(C) the steam engine,(D) the internal combustion engine,C,high_school_european_history_processed.csv
"The royal graves of the Shang Dynasty consisted of enormous cruciform-shaped tombs, where the deceased kings were buried with:","(A) jade, bronze, and ceramic artifacts.",(B) chariots and horses.,(C) the headless bodies of humans who had been sacrificed.,(D) all of the above.,D,prehistory_processed.csv
"If you think that someone's argument is strong based on their compelling use of language and confident delivery, you've probably committed which fallacy?",(A) Amphiboly,(B) Equivocation,(C) Special pleading,(D) Style over substance,D,logical_fallacies_processed.csv
"A certified airline pilot owned a single-engine Cessna plane. One afternoon, the pilot invited his girlfriend, to go flying with him. The girlfriend, who was scared of flying, reluctantly agreed. During the flight, the pilot decided to play a practical joke and shut off the plane's engine. When the plane went into a nosedive, the pilot said, ""Oh my God, we're going to crash. "" The girlfriend became panic- stricken and started screaming hysterically. A few seconds later, the pilot re-started the engine and said, ""Don't worry I was only joking. "" The plane landed safely and neither person was injured. If the girlfriend brings suit against the pilot for intentional infliction of emotional distress, she will probably","(A) recover, because a reasonable person would have been distressed by the pilot's actions.","(B) recover, because the pilot's conduct was extreme and outrageous.","(C) not recover, because the pilot intended his actions as a practical joke and, therefore, lacked sufficient intent for an intentional tort.","(D) not recover, because the girlfriend did not suffer any physical injury.",B,professional_law_processed.csv
"This question refers to the following information.""The conscience of the people, in a time of grave national problems, has called into being a new party, born of the nation's sense of justice. We of the Progressive party here dedicate ourselves to the fulfillment of the duty laid upon us by our fathers to maintain the government of the people, by the people and for the people whose foundations they laid. We hold with Thomas Jefferson and Abraham Lincoln that the people are the masters of their Constitution, to fulfill its purposes and to safeguard it from those who, by perversion of its intent, would convert it into an instrument of injustice. In accordance with the needs of each generation the people must use their sovereign powers to establish and maintain equal opportunity and industrial justice, to secure which this Government was founded and without which no republic can endure.""This country belongs to the people who inhabit it. Its resources, its business, its institutions and its laws should be utilized, maintained or altered in whatever manner will best promote the general interest. It is time to set the public welfare in the first place.""Progressive Party Platform, 1912""Muckraking"" author Jacob A. Riis's How the Other Half Lives best exemplifies which of the following quotes from the excerpt above?",(A) the duty laid upon us by our fathers,(B) masters of their Constitution,(C) an instrument of injustice,(D) without which no republic can endure,C,high_school_us_history_processed.csv
"This question refers to the following information.From this moment until that in which the enemy shall have been driven from the soil of the Republic, all Frenchmen are in permanent requisition for the service of the armies. The young men shall go to battle; the married men shall forge arms and transport provisions; the women shall make tents and clothing and shall serve in the hospitals; the children shall turn old linen into lint; the aged shall betake themselves to the public places in order to arouse the courage of the warriors and preach the hatred of kings and the unity of the Republic. …The Committee of Public Safety is charged to take all necessary measures to set up without delay an extraordinary manufacture of arms of every sort which corresponds with the ardor and energy of the French people. It is, accordingly, authorized to form all the establishments, factories, workshops, and mills which shall be deemed necessary for the carrying on of these works, as well as to put in requisition, within the entire extent of the Republic, the artists and workingmen who can contribute to their success.The representatives of the people sent out for the execution of the present law shall have the same authority in their respective districts, acting in concert with the Committee of Public Safety; they are invested with the unlimited powers assigned to the representatives of the people to the armies.The Levée en Masse, August 23, 1793This passage established",(A) the French Republic,(B) the Committee of Public Safety,(C) war against the Coalition,(D) mass conscription,D,high_school_european_history_processed.csv
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I think I'll have a few more beers before driving the kids to the movie. Scenario 2 | I slit open the bottom of the bag my kid brother was using to go trick-or-treating.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,moral_scenarios_processed.csv
"This question refers to the following information.""Since the foundations of the American commonwealth were laid in colonial times over 300 years ago, vigorous complaint and more or less bitter persecution have been aimed at newcomers to our shores. Also the congressional reports of about 1840 are full of abuse of English, Scotch, Welsh immigrants as paupers, criminals, and so forth. Old citizens in Detroit of Irish and German descent have told me of the fierce tirades and propaganda directed against the great waves of Irish and Germans who came over from 1840 on for a few decades to escape civil, racial, and religious persecution in their native lands. The ""Know-Nothings,"" lineal ancestors of the Ku-Klux Klan, bitterly denounced the Irish and Germans as mongrels, scum, foreigners, and a menace to our institutions, much as other great branches of the Caucasian race of glorious history and antecedents are berated to-day….But to-day it is the Italians, Spanish, Poles, Jews, Greeks, Russians, Balkanians, and so forth, who are the racial lepers…..In this bill we find racial discrimination at its worst—a deliberate attempt to go back 84 years in our census taken every 10 years so that a blow may be aimed at peoples of eastern and southern Europe, particularly at our recent allies in the Great War—Poland and Italy.""Robert H. Clancy, Congressional Record, 68th Congress, 1st Session, 1924What best accounts for the sharp increase of immigrants during the period 1880–1910?",(A) Many Southern and Eastern Europeans turned to America for financial gain and political freedom.,(B) Irish farmers were forced to leave their homes due to agricultural disasters.,(C) Germans were seeking ways to avoid military conscription.,(D) The United States welcomed immigrants by providing housing and employment.,A,high_school_us_history_processed.csv
Who said that “Jurisprudence is the eye of law”,(A) Maine,(B) Savigny,(C) Pound,(D) Laski,D,jurisprudence_processed.csv
"According to Rawls, the term “justice as fairness” conveys the idea that the principles of justice are agreed to in an initial position that is _____.",(A) rational,(B) artificial,(C) constitutional,(D) fair,D,philosophy_processed.csv
"A supermarket had just reopened after a two- week closing for renovations. On the morning of the reopening, a woman was shopping when she suddenly fell and suffered a broken leg. Thereafter, the woman sued the supermarket for personal injuries. In her suit, the woman claimed that she tripped over a paint bucket that had been lying in one of the aisles. At trial, the woman called another customer to testify that while he was shopping he heard a thud, turned around and saw the woman fall on the floor. He also testified that he saw an empty paint bucket lying a few feet from the woman's leg. On cross- examination, the customer got into an argumentative exchange with the supermarket's attorney. When asked his opinion of what caused the woman's fall, the customer testified, ""She fell because she tripped on the bucket. "" He admitted on cross-examination, however, that he didn't actually see the woman trip on the bucket. The supermarket's attorney then asked the customer the following question:""If you didn't see the woman trip on the bucket, how do you know that she fell because of it?"" The customer answered, ""Because my girlfriend who was shopping with me told me later that she saw the woman trip over the bucket. ""The supermarket's attorney moves to strike the customer's last answer. If the trial judge overrules the defendant's motion and permits the customer's answer to stand, it will most likely be because",(A) the customer's answer was invited by the supermarket's attorney's question.,(B) the customer's answer was based on firsthand knowledge.,(C) the customer's answer was a statement of recent perception.,(D) the customer's answer was a present sense impression.,A,professional_law_processed.csv
"A pedestrian was crossing the street when he was hit by a car. The pedestrian suffered a neck injury. The driver of the car that hit the pedestrian had auto insurance. A claims adjuster from that insurance company contacted the pedestrian and discussed the accident with him. The insurance adjuster said, ""You're not actually entitled to any compensation for these injuries, under the laws of this state; but I feel bad for you, and I'm a nice guy, so I'm willing to approve a $1,000 payment to you. "" The insurance adjuster knew that, in fact, the pedestrian would be entitled to compensation under the state's tort law. The pedestrian rejected the offer, retained an attorney, and wound up winning a $550,000 jury verdict on negligence claims against the driver. If the pedestrian asserts a claim against the insurance adjuster for misrepresentation, will the pedestrian prevail?","(A) Yes, because the insurance adjuster's $1,000 settlement offer was grossly inadequate.","(B) Yes, because the insurance adjuster knew that laws of the state provided for recovery in such a case.","(C) No, because the insurance adjuster's statements did not cause the pedestrian any monetary loss.","(D) No, because the insurance adjuster did not have a fiduciary relationship requiring him to protect the pedestrian's interests.",C,professional_law_processed.csv
Can countries rely on their domestic law as an excuse to violate their obligations under international law?,(A) Domestic law always prevails over international law,(B) Only customary international law prevails over domestic law,(C) Obligations under international law prevail over domestic law,(D) Constitutional obligations always prevail over obligations under international law,C,international_law_processed.csv
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The skate park was closed for the day so I entered anyway. Scenario 2 | I didn't give my kids vaccines because I forgot to.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,moral_scenarios_processed.csv
"This question refers to the following information.The passage below is taken from testimony before Parliament.Joshua Drake, called in; and Examined.You say you would prefer moderate labour and lower wages; are you pretty comfortable upon your present wages?—I have no wages, but two days a week at present; but when I am working at some jobs we can make a little, and at others we do very poorly.When a child gets 3s. a week, does that go much towards its subsistence?—No, it will not keep it as it should do.Why do you allow your children to go to work at those places where they are ill-treated or over-worked?—Necessity compels a man that has children to let them work.Then you would not allow your children to go to those factories under the present system, if it was not from necessity?—No.—Testimony given before the Sadler Committee, 1831–32Which type of organization was partially responsible for improving the hours, wages, and working conditions of workers in this era?",(A) Guilds,(B) Joint-stock companies,(C) Labor unions,(D) Zaibatsu groups,C,high_school_world_history_processed.csv
"This question refers to the following information.The pair of excerpts below is written by explorer Christopher Columbus and the Dominican Bishop of Chiapas, Mexico, Bartholomew de las Casas.Source 1Indians would give whatever the seller required. . . . Thus they bartered, like idiots, cotton and gold for fragments of bows, glasses, bottles, and jars; which I forbad as being unjust, and myself gave them many beautiful and acceptable articles which I had brought with me, taking nothing from them in return; I did this in order that I might the more easily conciliate them, that they might be led to become Christians, and be inclined to entertain a regard for the King and Queen, our Princes and all Spaniards, and that I might induce them to take an interest in seeking out, and collecting and delivering to us such things as they possessed in abundance, but which we greatly needed.—Christopher Columbus: letter to Raphael Sanchez, 1493Source 2It was upon these gentle lambs . . . that from the very first day they clapped eyes on them the Spanish fell like ravening wolves upon the fold, or like tigers and savage lions who have not eaten meat for days. The pattern established at the outset has remained unchanged to this day, and the Spaniards still do nothing save tear the natives to shreds, murder them and inflict upon them untold misery, suffering and distress, tormenting, harrying and persecuting them mercilessly. We shall in due course describe some of the many ingenious methods of torture they have invented and refined for this purpose, but one can get some idea of the effectiveness of their methods from the figures alone. When the Spanish first journeyed there, the indigenous population of the island of Hispaniola stood at some three million; today only two hundred survive. Their reason for killing and destroying such an infinite number of souls is that the Christians have an ultimate aim, which is to acquire gold, and to swell themselves with riches in a very brief time and thus rise to a high estate disproportionate to their merits.—Bartholomew de las Casas: A Short Account of the Destruction of the Indies, 1542The free flow of plants and animals, as well as trade goods, between Europe and the Americas is referred to by historians as the Columbian Exchange, and affected the natives in which of the following ways?",(A) Economic opportunities were reduced.,(B) They were subjugated and destroyed.,(C) Economic opportunities were created.,(D) They were enriched through trade in agricultural goods.,B,high_school_european_history_processed.csv
 Which of the following statements would Macedo disagree with?,(A) States should give special weight to their own citizens.,(B) Immigration policies can have powerful economic effects.,(C) Self-governance is morally irrelevant to the immigration debate.,(D) There are reasons to think U.S. immigration policy has had detrimental effects on income distribution among citizens.,C,moral_disputes_processed.csv
_Ad hominem_ is another name for the fallacy of,(A) appeal to loyalty,(B) reducing to an absurdity,(C) ignorance of refutation,(D) argument against the person,D,logical_fallacies_processed.csv
"This question refers to the following information.No task is more urgent than that of preserving peace. Without peace our independence means little. The rehabilitation and upbuilding of our countries will have little meaning. Our revolutions will not be allowed to run their course. What can we do? We can do much! We can inject the voice of reason into world affairs. We can mobilize all the spiritual, all the moral, all the political strength of Asia and Africa on the side of peace. Yes, we! We, the peoples of Asia and Africa, 1.4 billion strong.Indonesian leader Sukarno, keynote address to the Bandung Conference, 1955The passage above is most associated with which of the following developments?",(A) The formation of the non-aligned movement,(B) Global disarmanent and nuclear non-proliferation,(C) The Green Revolution in agriculture,(D) Mobilization of pan-Asian ideology,A,high_school_world_history_processed.csv
 Charism can be defined as which of the following?,(A) An oil,(B) Prophecy,(C) A spiritual gift,(D) Authority,C,world_religions_processed.csv
"This question refers to the following information.New York! I say New York, let black blood flow into your blood.Let it wash the rust from your steel joints, like an oil of lifeLet it give your bridges the curve of hips and supple vines…See your rivers stirring with musk alligatorsAnd sea cows with mirage eyes…Just open your eyes to the April rainbowAnd your eyes, especially your ears, to GodWho in one burst of saxophone laughterCreated heaven and earth in six days,And on the seventh slept a deep Negro sleep.Senegalese poet Léopold Sédar Senghor, ""To New York,"" 1956Which of the following best explains the phenomenon of an African poet writing so lyrically about New York?",(A) Outmigration from Africa due to political violence,(B) Stronger transatlantic influences linking art in Afro-Eurasia with that in the Americas,(C) Preference on the part of African intellectuals for Western cultural advancements,(D) Lack of a rich indigenous artistic tradition in Africa,B,high_school_world_history_processed.csv
"This question refers to the following information.""The seeds of totalitarian regimes are nurtured by misery and want. They spread and grow in the evil soil of poverty and strife. They reach their full growth when the hope of a people for a better life has died. We must keep that hope alive. . . . Great responsibilities have been placed upon us by the swift movement of events. . . . I am confident that the Congress will face these responsibilities squarely.""—President Harry S. Truman, 1947The ideas expressed in the passage above most directly reflect which of the following continuities in U.S. history?",(A) Debates about the relationship between Congress and the president.,(B) Debates about the use of military force in volatile situations.,(C) Debates about the role of the United States in world affairs.,(D) Debates about the proper role of political parties.,C,high_school_us_history_processed.csv
"Homeowner owns a property in its natural condition with a house on it. There was no fill of any kind on the property. Neighbor, who owns the adjacent property to the East, built a driveway whose western boundary is along the border of homeowner's property. The excavator dug the driveway five feet deep. The land began to subside along the line of excavation and about three feet of homeowner's land fell off into the driveway, making that part of her property useless. Homeowner demanded that neighbor fill in the property to buttress the erosion created. That was not done and the erosion continued to occur. Homeowner sued and asked for an injunction compelling the neighbor to build and maintain a retaining wall. Will the court rule for the plaintiff/homeowner?","(A) Yes, because excavation is an abnormally dangerous activity and neighbor is absolutely liable for any damages caused by the violation.","(B) Yes, because every landowner has a right to the lateral support of the soil in its natural state.","(C) No, because the neighbor did not go onto the adjacent land and confined all excavation to his own land.","(D) No, the right to lateral support is a common law right that has been abrogated by statute in virtually all states so that the right no longer exists.",B,professional_law_processed.csv
A syllogism that is formally invalid,(A) cannot be materially true,(B) might be materially true,(C) might be materially untrue,(D) both B and C,D,logical_fallacies_processed.csv
" Kant argues that because sexual attraction involves seeing another person as the object of one's appetites,",(A) moral relationship with that person becomes impaired.,(B) all sexual relations are thereby immoral.,(C) it is impossible to treat people in light of their humanity in all circumstances.,(D) there is a universal law of attraction.,A,moral_disputes_processed.csv
The body of law which establishes rights between persons and provides for redress for violation of those rights is known as:,(A) Criminal Law,(B) Civil Law.,(C) The Uniform Commercial Code.,(D) Stare decisis.,B,jurisprudence_processed.csv
Which of the following most accurately describes Hart's response to Fuller's argument concerning the invalidity of Nazi law?,(A) The Nazi law in question was validly enacted.,(B) The court misunderstood the legislation.,(C) Fuller misconstrued the purpose of the law.,(D) The Nazi rule of recognition was unclear.,A,jurisprudence_processed.csv
How were the royal cemeteries of the Moche discovered?,(A) Thieves raiding the tombs were caught by the police.,(B) A forest fire burned away the dense vegetation that concealed the cemetery.,(C) Archaeologists discovered an exact replica of the city in the map room.,(D) A flock of sheep that had been living there fell into a tomb.,A,prehistory_processed.csv
"According to Hindu tradition, which age are we in currently?",(A) Kali yuga,(B) Maha yuga,(C) Krita yuga,(D) Satya yuga,A,world_religions_processed.csv
Another name for the fallacy of false dilemma is,(A) Guilt by association,(B) Circular reasoning,(C) Laudatory personality,(D) False dichotomy,D,logical_fallacies_processed.csv
What is 'unilateral acts'?,(A) They are acts that States perform as practice in the context of custom,(B) They are acts creating unilateral legal obligations to the acting State,(C) Unilateral acts are simply political acts of State devoid of any legal effect,(D) Unilateral acts are those that State perform in order to be bound by a treaty,B,international_law_processed.csv
 Which of the following is not one of the potentially negative consequences of imposing the death penalty?,(A) the prevention of future murders,(B) great financial cost,(C) the incitement effect,(D) the execution of innocent persons,A,moral_disputes_processed.csv
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took off my pants at the playground and waved at the kids. Scenario 2 | I tossed my car keys toward my daughter since she asked to go for a drive.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B,moral_scenarios_processed.csv
To claim that one has a prima facie duty to obey the law is to assert that:,"(A) One is under a duty to obey the law without exception, regardless of its content.",(B) There is no duty to obey a law to which one hasn't agreed.,(C) The duty applies only to those who are directly affected by the law in question.,(D) The obligation arises independently of the precise legal provisions involved - unless there are grounds to justify a specific exception.,D,jurisprudence_processed.csv
" If it were known that a policy would wipe out several animal species without negatively affecting human beings, Baxter would most likely say that",(A) this policy is morally problematic because it harms the environment.,(B) this policy is morally problematic because it damages the integrity of the ecosystem.,(C) this policy is morally obligatory because the environment ought not to exist.,(D) this policy is morally unproblematic.,D,moral_disputes_processed.csv
" Suppose two athletes, A and B, are equally skilled. Suppose also that A naturally inherited certain traits from her father that made playing the sport easier for her, and thus she didn't have to train as hard as B. According to the ethic of willfulness,",(A) A is a better athlete.,(B) B is a better athlete.,(C) B doesn't count as an athlete because training precludes athleticism.,(D) A and B are equally good athletes.,B,moral_disputes_processed.csv
"Which of the following fallacies happens when someone argues that a choice must be made among a certain set of alternatives, when there are really other alternatives to choose from?",(A) Laudatory personality,(B) Accident,(C) False dilemma,(D) Circular reasoning,C,logical_fallacies_processed.csv
The ________ School of jurisprudence maintains that the law is shaped by logic.,(A) Historical,(B) Analytical,(C) Command,(D) Sociological,B,jurisprudence_processed.csv
 What was the most important female-centered festival in cities throughout Greece?,(A) Thesmophoria,(B) Oracle Days,(C) Isthmian Games,(D) Feast of Athrodite,A,world_religions_processed.csv
"This question refers to the following information.""From the confines of Jerusalem and the city of Constantinople a horrible tale has gone forth and very frequently has been brought to our ears, namely, that a race from the kingdom of the Persians, an accursed race, a race utterly alienated from God, a generation forsooth which has not directed its heart and has not entrusted its spirit to God, has invaded the lands of those Christians and has depopulated them by the sword, pillage and fire; it has led away a part of the captives into its own country, and a part it has destroyed by cruel tortures; it has either entirely destroyed the churches of God or appropriated them for the rites of its own religion….The kingdom of the Greeks is now dismembered by them and deprived of territory so vast in extent that it cannot be traversed in a march of two months. On whom therefore is the labor of avenging these wrongs and of recovering this territory incumbent, if not upon you? You, upon whom above other nations God has conferred remarkable glory in arms, great courage, bodily activity, and strength to humble the hairy scalp of those who resist you.Let the deeds of your ancestors move you and incite your minds to manly achievements; the glory and greatness of king Charles the Great, and of his son Louis, and of your other kings, who have destroyed the kingdoms of the pagans, and extended in these lands the territory of the holy church. Let the holy sepulchre of the Lord our Savior, which is possessed by unclean nations, especially incite you, and the holy places which are now treated with ignominy and irreverently polluted with their filthiness. Oh, most valiant soldiers and descendants of invincible ancestors, be not degenerate, but recall the valor of your progenitors.Jerusalem is the navel of the world; the land is fruitful above others, like another paradise of delights. This the Redeemer of the human race has made illustrious by His advent, has beautified by residence, has consecrated by suffering, has redeemed by death, has glorified by burial. This royal city, therefore, situated at the center of the world, is now held captive by His enemies, and is in subjection to those who do not know God, to the worship of the heathens. She seeks therefore and desires to be liberated and does not cease to implore you to come to her aid. From you especially she asks succor, because, as we have already said, God has conferred upon you above all nations great glory in arms. Accordingly undertake this journey for the remission of your sins, with the assurance of the imperishable glory of the kingdom of heaven.""Pope Urban II, Speech at the Council of Clermont as recorded by Robert the Monk, 1095 C.E.Which of the following events most directly inspired Urban's invocation of Constantinople in the first paragraph?",(A) The conquest of Constantinople by the armies of the Abbasid Caliphate,(B) The invasion of Anatolia by the Seljuk Turks,(C) The invasion of the Balkans by the Avars and Bulgars,(D) The conversion of the people of Constantinople to Catholic Christianity,B,high_school_world_history_processed.csv
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I relocated the refugees to cages. Scenario 2 | I decided to pee in a bush where everyone could see me.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",A,moral_scenarios_processed.csv
"This question refers to the following information.The man who mounted the steps of the Capitol, March 4, 1801, to claim the place of an equal between Pitt and Bonaparte, possessed a character which showed itself in acts; but person and manner can be known only by contemporaries, and the liveliest description was worth less than a moment of personal contact. Jefferson was very tall, six feet two-and-a-half inches in height; sandy-complexioned; shy in manner, seeming cold; awkward in attitude, and with little in his bearing that suggested command.… His skin was thin, peeling from his face on exposure to the sun, giving it a tettered appearance. This sandy face, with hazel eyes and sunny aspect; this loose, shackling person; this rambling and often brilliant conversation, belonged to the controlling influences of American history, more necessary to the story than three-fourths of the official papers, which only hid the truth. Jefferson's personality during these eight years appeared to be the government, and impressed itself, like that of Bonaparte, although by a different process, on the mind of the nation. In the village simplicity of Washington, he was more than a king, for he was alone in social as well as in political pre-eminence. Except the British Legation, no house in Washington was open to general society; the whole mass of politicians, even the Federalists, were dependent on Jefferson and ""The Palace"" for amusement; and if they refused to go there, they ""lived like bears, brutalized and stupefied.""—Henry Adams, History of the United States During the Administration of Thomas Jefferson, 1889Thomas Jefferson's victory in the election of 1800 was important because",(A) he was the first southerner to become president.,(B) it was the first time the presidency shifted from one political party to another.,(C) he believed it was necessary to go to war with Great Britain.,(D) he encouraged the rapid industrialization of the United States.,B,high_school_us_history_processed.csv
Which of the following was the first city and what was the estimated population?,"(A) Nagada, 5,000 people","(B) Uruk, 10,000 people","(C) Knossos, 20,000 people","(D) Giza, 200,000 people",B,prehistory_processed.csv
Which of the following statements is false?,(A) In the 1990's it became apparent the European Court of Human Rights had to be reformed because it wasn't examining enough cases,(B) In the 1990's it became apparent the European Court of Human Rights had to be reformed because the workload had increased,(C) In the 1990's it became apparent the European Court of Human Rights had to be reformed because it was a part time court that could not process the growing number of complaints,(D) In the 1990's it became apparent the European Court of Human Rights had to be reformed because of the growth in the number of individuals who could access the Court after the increase in the number of member states,D,international_law_processed.csv
"This question refers to the following information.""The question as to who, and what, is responsible for African underdevelopment can be answered at two levels. Firstly, the answer is that the operation of the imperialist system bears major responsibility for African economic retardation by draining African wealth and by making it impossible to develop more rapidly the resources of the continent. Secondly, one has to deal with those who manipulate the system and those who are either agents or unwitting accomplices of the said system. The capitalists of Western Europe were the ones who actively extended their exploitation from inside Europe to cover the whole of Africa.""Walter Rodney, historian, How Europe Underdeveloped Africa, 1974Based on your knowledge of world history, which of the following contributed LEAST to Europe's ability to penetrate Africa in the period 1750 to 1900 C.E.?",(A) The invention of the machine gun,(B) The invention of vaccines for tropical diseases,(C) The development of the joint-stock company,(D) The invention of steam-powered ships,C,high_school_world_history_processed.csv
"This question refers to the following information.""The conscience of the people, in a time of grave national problems, has called into being a new party, born of the nation's sense of justice. We of the Progressive party here dedicate ourselves to the fulfillment of the duty laid upon us by our fathers to maintain the government of the people, by the people and for the people whose foundations they laid. We hold with Thomas Jefferson and Abraham Lincoln that the people are the masters of their Constitution, to fulfill its purposes and to safeguard it from those who, by perversion of its intent, would convert it into an instrument of injustice. In accordance with the needs of each generation the people must use their sovereign powers to establish and maintain equal opportunity and industrial justice, to secure which this Government was founded and without which no republic can endure.""This country belongs to the people who inhabit it. Its resources, its business, its institutions and its laws should be utilized, maintained or altered in whatever manner will best promote the general interest. It is time to set the public welfare in the first place.""Progressive Party Platform, 1912Of the following policies, which was NOT a main objective of American Progressives?",(A) Passage of the Pure Food and Water Act,(B) Creation of national forests and protected wildlife reserves,(C) Initiation of antitrust lawsuits against various corporate monopolies,(D) Intervention in the affairs of Central American governments,D,high_school_us_history_processed.csv
What has been a central focus of religious traditions in China and Korea?,(A) Peace and harmony,(B) Power and influence,(C) Truth and love,(D) Wisdom and ethics,A,world_religions_processed.csv
"This question refers to the following information.Oh, shame on you, poor Winter King!What's this that you have done?Is 't not a very naughty thingTo snatch the kaiser's crown?Now you will have to stay awayAlike from Rhine and Prague,And more than that-shame and dismayYour days and nights will plague.Right well you knew, and all the world,Right well they know this thing,That Ferdinand alone can beBohemia's lawful king.So come, dear Fritz, rouse up and goTo Ferdinand, your king,And beg him graciously to showFull pardon for your sin.""Poor Winter King,"" seventeenth-century songWhich of the following is an important underlying issue in this song?",(A) Rules of royal succession,(B) Religious conflict,(C) Military stalemate,(D) Social class conflicts,B,high_school_world_history_processed.csv
"A homeowner executed a deed by which he conveyed his home and surround property for a consideration of one dollar, receipt of which was acknowledged, ""to my daughter for life, then to my aunt for life, but if my aunt moves to another state, to my sister for the life of my aunt, then to the heirs of my aunt if my aunt does not move to another state, and to the heirs of my sister if my aunt does move to another state. "" This deed was promptly recorded. During the daughter's lifetime, the aunt's interest may best be described as a",(A) contingent remainder.,(B) shifting executory interest.,(C) vested remainder subject to complete divestiture.,(D) vested remainder subject to partial divestiture.,C,professional_law_processed.csv
What was the Chinese technique of stamped or pounded earth that was used in construction of house walls and defensive structures?,(A) Hang-t'u,(B) Scapulimancy,(C) Lung-shan,(D) Qin manufacture,A,prehistory_processed.csv
