question,A,B,C,D,answer,source_file
"Opportunity costs or implicit costs of a ""Mom & Pop""-owned business are:",(A) equal to accounting costs.,(B) equal to accounting profits.,(C) equal to earnings or profits that could have occurred using resources elsewhere.,(D) equal to earnings or profits that occurred for Mom & Pop's business.,C,high_school_microeconomics_processed.csv
Which of the following characteristics is NOT true of a state?,(A) Independent territory,(B) Internationally recognized,(C) Boundaries,(D) A national language,D,high_school_geography_processed.csv
"If a Durbin Watson statistic takes a value close to zero, what will be the value of the first order autocorrelation coefficient?",(A) Close to zero,(B) Close to plus one,(C) Close to minus one,(D) Close to either minus one or plus one,C,econometrics_processed.csv
Which of the following best describes the 'Orient' according to Edward Said?,"(A) The Orient is a constructed subject that is imagined as inferior, irrational, and backward, in comparison to the West.",(B) The Orient is a geographical term once used to describe the east Asia.,(C) The Orient is an imagined concept that must be rejected by scholars in order to analyse security.,"(D) Where there is an imbalance of power, the Orient is the dominant intellectual force or otherwise superior party.",A,security_studies_processed.csv
Which of the following is applicable when considering the concept of security dilemmas in terms of societal identity?,"(A) For societal security dilemmas ambiguity can stem from two sides of nationalism; cultural (positive) and ethnic (negative). Ethnic (political) nationalism is often described as more malign and linked to state disintegration, whereas cultural nationalism is often seen as benign, working within existing state structures.",(B) Clear distinctions between cultural nationalism and political nationalism are difficult to make: cultural nationalism may sometimes be compelled to change itself from a solely cultural movement into a political movement and be conflated with political nationalism.,(C) Dominant actors may exaggerate threat perceptions with the intent of mobilizing political support which can result in action reaction processes.,(D) All of these options.,D,security_studies_processed.csv
Which of the following statements about the electoral college is correct?,(A) Each state must split its electoral votes among all the candidates that receive votes.,(B) Each state is equally represented in the electoral college.,(C) The electoral college was created by an amendment to the Constitution.,"(D) The results of electoral college voting tend to distort the winner's margin of victory, when compared with the popular vote for president.",D,high_school_government_and_politics_processed.csv
What are two examples of an evaluation of outcome? ,(A) Change in attitude,(B) Placement of message,(C) Distribution of message,(D) Size of attentive audience,A,public_relations_processed.csv
What might the pragmatic implications of biology be on post-conflict gender security?,"(A) Recent inquiry into the way in which women have been treated both in and after war has revealed a degree of ambiguity in the relationship between armed forces and civilian women. While women have often been the targets of violence by the enemy in conflict, it is also the case that they may suffer at the hands of their ""protectors"". This strengthens the argument for female soldiers to be engaged in certain types of peacekeeping work, particularly in post-conflict situations.",(B) Perpetuation of violence against women in post-conflict society has devalued the claim that violence is more prevalent in militarized societies. Women were as protected by men in pre-war society as they were in post-war society.,"(C) Case studies revealed that in certain military families, levels of violence were dependent on the degree of psychological damage inflicted during fighting, however this was variable and dependent on the individual not on gender basis.","(D) Recent inquiry into the way in which women have been treated both in and after war has revealed a degree of ambiguity in the relationship between armed forces and civilian women. While women have often been the targets of violence by the enemy in conflict, it is also the case that they may suffer at the hands of their ""protectors"" which may actually undermine liberal feminists' case of the ""right to fight"".",A,security_studies_processed.csv
Which of the following events INITIATES puberty?,(A) pituitary gland releases FSH,(B) pituitary gland releases growth hormone,(C) hypothalamus releases GNRS,(D) hypothalamus releases LH,C,human_sexuality_processed.csv
Which of these statements best describes the HM approach to sectoral security analysis?,"(A) HM agrees with the idea that security can be viewed using a sectoral framework, and recognises the depth of analysis that is enabled by such an approach.","(B) HM rejects Buzan et al.'s theory of sectoral security analysis, on the grounds that securitization is a product of a state-centric approach.","(C) HM rejects the assertion by Buzan et al. that there are distinct and separate sectors of security, instead adopting a holistic view of security within which national and transnational class is an important factor.","(D) HM favours the sectoral approach to security analysis, in particular prioritising the state as a referent object and drawing much of its theoretical foundations from the realist principles that underpin the sectoral approach.",C,security_studies_processed.csv
The process of identifying publics who are involved and affected by a situation central to an organization is called a(n),(A) exploratory survey,(B) situation interview,(C) communication audit,(D) stakeholder analysis,D,public_relations_processed.csv
A member of which of the following demographic groups is most likely to support a Republican presidential candidate?,(A) Married white male,(B) Unmarried white female,"(C) African American, male or female","(D) Youths under the age of 25, male or female",A,high_school_government_and_politics_processed.csv
"While the nature and extent of measured intellectual decline during aging is not well established, a consistent finding is a/an",(A) increase in problem-solving ability,(B) increase in word fluency,(C) decrease in vocabulary,(D) increase in response time,D,professional_psychology_processed.csv
"As used in personnel selection, “adverse impact” means that",(A) a group covered by law is hired at a rate less than 80% of that of the group with the best selection,(B) selection interviews are “adverse” for groups covered by law and result in differential selection rates,(C) adverse conditions exist for selection of groups covered bylaw,(D) the total selection process results in unequal results for one or more groups covered by law,A,professional_psychology_processed.csv
A person in the pseudoindependent stage of White racial identity is currently ___________.,(A) Developing an awareness of the role of Whites in perpetrating racism,(B) Unaware of race and racism,(C) Exploring what it means to be White and confronting own biases,(D) Attempting to resolve moral dilemmas associated with an awareness of race and racism,A,professional_psychology_processed.csv
What was meant by the term 'American multiplication table'?,(A) Increase in the US population,(B) Increase in US finances,(C) Increase in US military capability,(D) Increase in US international influence,A,us_foreign_policy_processed.csv
The Vietnam War can be understood as,(A) a war that deeply divided the United States and fostered cynicism toward the American government.,"(B) an example of the doctrine of containment, because U.S. involvement was designed to prevent the fall of South Vietnam to the communists.",(C) an example of how even a great power may not be able to prevail against a determined enemy unless there is a clear objective and the national will to do so.,(D) All of the above are true.,D,us_foreign_policy_processed.csv
"According to Carl Rogers, a therapist is “congruent” when the therapist:",(A) is able to accurately “reflect” the client’s feelings.,(B) avoids becoming “emotionally triangulated” with the client.,(C) avoids making judgments about the client’s behaviors.,(D) is authentic and nondefensive.,D,professional_psychology_processed.csv
A bilateral monopoly exists when,(A) a monopsony buys from a monopoly,(B) a monopoly sells to two different types of consumers,(C) a monopoly buys from a monopsony,(D) a monopolist sells two different types of goods,A,high_school_microeconomics_processed.csv
In what ways did strategic circumstances have an effect on environmental security perspectives?,(A) The end of the Cold War created the space for security policy and security studies to be re-considered in light of growing environmental consciousness underlined by multilateralism in policy action.,(B) In 1973 the Organization of Petroleum Exporting Countries (OPEC) restricted oil supplies which underlined the industrial capacity of the military leaving a profound psychological impact requiring that security be linked to national interests: the securing of energy deals and the environment became related to military capability diplomacy.,(C) Ideologically driven military security was replaced by a need to preserve territorial integrity in wake of the collapse of communism. Military security was a high priority given the threat of spill-over. The environment remained a peripheral concern to the security institutions occupied with the new security environment post-Cold War.,"(D) The end of the Cold War order created the intellectual space for the broadening of security issues beyond Cold War military mentalities. Research among political and environmental scientists discussed ways in which new security issues could be addressed. The plethora of publications produced, however, had little effect on policy.",A,security_studies_processed.csv
What is meant by the term 'security dilemma' and how does it impact on the international security environment?,"(A) The security dilemma can be utilised as a force for stabilising the international environment, placing all states at equal risk of military attack and discouraging a counter-productive accumulation of military force; the impact of security dilemmas is largely restricted to the realm of military security, although this can have far-reaching effects.","(B) The security dilemma arises out of the anarchic international system that is conceptualized by realists. Within this environment, states are obliged to seek security through their own military efforts; this is perceived as threatening to other states and so triggers an arms race spiral. The security dilemma has implications for security sectors other than the military, particularly the political and societal security sectors.","(C) The term security dilemma refers to the state of constant insecurity that is inherent to the traditional realist paradigm of international security. Security dilemmas will have most notable effects on human and societal security, typically outweighing the initial implications on traditional security domains such as the political and military sphere.","(D) Security dilemmas have implications for other realms of security beside the military domain, although their effect on societal security is limited. The term primarily refers to the ways in which states conceptualize their own military capabilities with regards to those around them.",B,security_studies_processed.csv
The relative stability of American public policy is achieved largely through,(A) cooperation between the two major political parties,(B) judicial activism,(C) the constitutional fragmentation of power,(D) affirmative action programs,C,high_school_government_and_politics_processed.csv
Which of the following concerning self-disclosure in relationships is supported by research?,"(A) when one partner in a relationship self-discloses, the other is unlikely to do so",(B) self-disclosure on the part of one partner often leads to self-disclosure on the part of the other,(C) there is a negative correlation between amount of self-disclosure and relationship satisfaction,(D) there is no relationship between amount of self-disclosure and relationship satisfaction,B,human_sexuality_processed.csv
Which of the following plays the most significant role in forming a child's political views?,(A) The geographical area in which the child grows up,(B) The child's family,(C) The media to which the child is exposed,(D) The child's religion,B,high_school_government_and_politics_processed.csv
Which of the following are reflexes?,(A) ejaculation,(B) erection,(C) orgasm,(D) both A and B,D,human_sexuality_processed.csv
"The gland sometimes referred to as the ""master gland,"" which regulates much of the action of the other endocrine glands is called the",(A) thyroid gland,(B) pancreas,(C) pituitary gland,(D) adrenal gland,C,high_school_psychology_processed.csv
"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market?",(A) Irrationality on the part of the leadership,"(B) Costs of free trade are concentrated, but benefits are dispersed",(C) Regime type,(D) International conflict prevents trade,B,us_foreign_policy_processed.csv
"In the context of energy security and the production of oil, which of the following does not define the term 'stability'?",(A) The absence of challenges to the regime of oil-producing states.,"(B) A political and economic situation in which the status quo of production, exportation and supply is maintained.",(C) The promotion of human security and the affiliated environmental security as a priority within oil-producing states.,"(D) The security of regimes deemed 'friendly' by North American, European, and international oil company interests.",C,security_studies_processed.csv
"Leroy visits his parents, who live in a primarily African American working-class neighborhood. During his visit, he notices that the community is changing. Several developments have been built to accommodate single-family homes, and upscale shopping centers have been added. While Leroy appreciates these changes, he is worried that his parents will not be able to afford to continue living in their neighborhood because property values are rising. Which of the following best explains what is happening to Leroy's old neighborhood?",(A) Gentrification,(B) Urbanization,(C) White flight,(D) The demographic transition,A,sociology_processed.csv
"In what ways is the case for humanitarian intervention, as outlined in this chapter, limited?",(A) It is not self-evident that individuals do have universal and fundamental human rights.,(B) Advocates of humanitarian intervention exaggerate the extent of global consensus about the use of force to protect human rights.,(C) Any norm endorsing the use of force to protect individual rights could be abused by powerful states.,(D) All of these options.,D,security_studies_processed.csv
The spoils system of awarding civil service jobs was replaced by the merit system as a result of the,(A) Truman Doctrine,(B) Fair Labor Standards Act of 1961,(C) National Industrial Recovery Act,(D) Pendleton Act of 1883,D,high_school_government_and_politics_processed.csv
"In a number of experiments, Elizabeth Loftus has shown that the wording of a question can affect participants' recall of an incident. These studies best illustrate",(A) the reconstructive nature of memory.,(B) the serial position effect.,(C) the rate at which people forget information.,(D) the role of the cerebellum in memory.,A,high_school_psychology_processed.csv
Children typically take their first steps around the age of,(A) 6 months,(B) 9 months,(C) 12 months,(D) 18 months,C,professional_psychology_processed.csv
Which of the following is a typical characteristic of financial asset return time-series?,(A) Their distributions are thin-tailed,(B) They are not weakly stationary,(C) They are highly autocorrelated,(D) They have no trend,D,econometrics_processed.csv
The government promotes preferential treatment for members of groups that have historically suffered from discrimination by means of,(A) the New Federalism,(B) affirmative action programs,(C) Social Security benefits,(D) bills of attainder,B,high_school_government_and_politics_processed.csv
"________ men, on the average, begin engaging in sexual intercourse approximately two years later than ________ men do.",(A) Mexican Americans and whites; African Americans,(B) Mexican Americans; African Americans and whites,(C) African Americans; whites and Latinos,(D) Whites; African Americans and Latinos,A,human_sexuality_processed.csv
If $1000 is deposited into a checking account and excess reserves increase by $700 the reserve ratio must be:,(A) 70%.,(B) 30%.,(C) 40%.,(D) 90%.,B,high_school_macroeconomics_processed.csv
The theory that the main purpose of a settlement or market town is to furnish goods and services to the surrounding market area is called the,(A) urban hierarchy theory.,(B) central place theory.,(C) concentric zone model.,(D) multiplier effect.,B,high_school_geography_processed.csv
"In contemporary societies, social institutions are:","(A) highly specialized, interrelated sets of social practices",(B) disorganized social relations in a postmodern world,(C) virtual communities in cyberspace,(D) no longer relevant to sociology,A,sociology_processed.csv
"Orders of monks and nuns found both in Eastern religions and in Christianity who affirm celibacy, virginity, and poverty follow the ethical system of:",(A) legalism,(B) asceticism,(C) situationism,(D) hedonism,B,human_sexuality_processed.csv
Which of the following statements does NOT characterize arms control as a strategic policy?,"(A) Arms control is an example of cooperative security, designed to address the problems associated with the security dilemma.",(B) Policies of arms control and disarmament was pursued during the Cold War in an attempt to achieve security.,"(C) Arms control does not challenge the central role of weaponry and military power in the international system, instead focusing on the problems produced by specific weapon systems and relationships.","(D) After its successful application during the Cold War, arms control has retained its momentum and applicability in the contemporary security environment.",D,security_studies_processed.csv
Suppose the President plans to cut taxes for consumers and also plans to increase spending on the military. How does this affect real GDP and the price level?,(A) GDP increases and the price level decreases.,(B) GDP decreases and the price level increases.,(C) GDP stays the same and the price level increases.,(D) GDP increases and the price level increases.,D,high_school_macroeconomics_processed.csv
Within which area of public relations is likely to involve lobbying?,(A) Corporate,(B) Financial relations,(C) Public affairs,(D) Business to business,C,public_relations_processed.csv
Why can experiments determine causal relationships when no other research method can?,(A) Experiments are more precise than the other research methods.,(B) Experiments isolate the effects of independent variables on dependent variables.,(C) Experiments typically involve more participants than other research methods do.,"(D) Experiments take place in more realistic, real-life settings.",B,high_school_psychology_processed.csv
"Which of the following statements would ""supply-side"" economists disagree with?",(A) Tax changes cause shifts in aggregate supply that work against shifts in aggregate demand thus reducing the effect of the tax change on real GDP.,(B) A tax cut is likely to increase aggregate supply by boosting saving investment and thus capital accumulation.,(C) A tax increase is likely to decrease aggregate supply by decreasing after-tax wages and thus providing disincentives to work.,(D) A tax cut is likely to increase aggregate supply by providing greater rewards for risk taking.,A,high_school_macroeconomics_processed.csv
Which author emphasised strategy as achieving competitive advantage for an organization?,(A) Steyn (2003),(B) Gregory (2006),(C) Cutlip et al (2006),(D) Henry (2006),D,public_relations_processed.csv
Required reserves,(A) can be used by banks to make loans or buy investments.,(B) can be held in a bank's vault or its account at the FED.,(C) must be kept in a bank's vault.,(D) must be used to make loans.,B,high_school_macroeconomics_processed.csv
Which of the following is correct?,"(A) In the long run, all inputs are variable.","(B) In the short run, all inputs are variable.","(C) In the long run, supply is not able to adjust fully to changes in demand.","(D) In the short run, supply is able to adjust fully to changes in demand.",A,high_school_microeconomics_processed.csv
Which one of the following would be a plausible response to a finding of residual non-normality?,(A) Use a logarithmic functional form instead of a linear one,(B) Add lags of the variables on the right hand side of the regression model,(C) Estimate the model in first differenced form,(D) Remove any large outliers from the data.,D,econometrics_processed.csv
The American flag is an example of a,(A) stereotype,(B) semantic device,(C) symbol,(D) message,C,public_relations_processed.csv
"If I wanted to ship a small piece of very valuable jewelry to my aunt who lives in Poughkeepsie, which mode of transportation makes the most sense?",(A) Truck,(B) Air,(C) Ship,(D) Railroad,B,high_school_geography_processed.csv
Which of the following is the most reliable indicator of emotions across all cultures?,(A) hand gestures,(B) facial expressions,(C) voice intonation,(D) body posture,B,high_school_psychology_processed.csv
In men gonorrhea and chlamydia most often infect the:,(A) penis,(B) scrotum,(C) urethra,(D) bladder,C,human_sexuality_processed.csv
Which of the following statements could be described as a liberal perspective on future energy security?,"(A) The global economy is interconnected, ensuring that energy security for one is dependent upon energy security for all. Thus all core powers have the same interests in maintaining and extending the conditions under which this market operates. As long as this economic order exists, conflict between major powers over energy reserves is highly unlikely.","(B) Energy scarcity is likely to lead to future disruptions in the global system and the emergence of a 'new international energy order', characterized less by liberal free-market trading than by statism and neo-mercantilism.",(C) Oil remains the lifeblood of the current order - an order that is based upon an unequal (and deeply unjust) distribution of wealth and power in favour of capitalist economic elites. Those who benefit most from the prevailing order will ensure that the flow of energy under favourable conditions continues to underpin their position in the global system.,"(D) Energy scarcity will signal a return to an era of greater geopolitical confrontation. 'Resource wars', in particular over energy sources, present a clear possibility for a breakdown in international cooperation, as states begin to compete (and eventually conflict) over the control of major reserves.",A,security_studies_processed.csv
For an autoregressive process to be considered stationary,(A) The roots of the characteristic equation must all lie inside the unit circle,(B) The roots of the characteristic equation must all lie on the unit circle,(C) The roots of the characteristic equation must all lie outside the unit circle,(D) The roots of the characteristic equation must all be less than one in absolute value,C,econometrics_processed.csv
"According to Alfred Weber's least-cost theory, which one of the following costs of production is the most important factor in locating an industry?",(A) Labor,(B) Transport,(C) Raw materials,(D) Agglomeration costs,B,high_school_geography_processed.csv
TYPE II ERROR is the failure to reject a false null hypothesis. The Power is the probability of NOT making a Type II error and is effected by several factors. Which factor out of the following ones that have influence on the power is incorrectly defined?,(A) Sample Size→ power decreases with sample size increase,(B) Alpha→ power increases as alpha level increases,(C) 1-tailed tests have higher power,"(D) as differences between populations means increase, power increases",A,professional_psychology_processed.csv
When a country has a balance of trade deficit,(A) it must make up the difference by shipping gold to its creditors.,(B) its exports exceed its imports.,(C) its currency will appreciate.,(D) its imports exceed its exports.,D,high_school_macroeconomics_processed.csv
Kevin wants shoes and grows turnips. Lisa wants turnips and makes sheet metal. Bob wants sheet metal and makes shoes. Which function of money will cater most directly to the situation at hand?,(A) Store of value,(B) Unit of account,(C) Medium of exchange,(D) Means of deferred payment,C,high_school_macroeconomics_processed.csv
Which of the following is an example of a bulk-gaining industry?,(A) Steel,(B) Bottled orange juice,(C) Paper,(D) Copper,B,high_school_geography_processed.csv
Which type of measurement is the most effective choice for evaluating a campaign's impact on audience attitudes?,(A) preparing a content analysis of media coverage,(B) studying the content of blog postings about your issue,(C) analyzing pre and post sales reports for changes in sales,(D) conducting a pre and post analysis of constituents' opinions,D,public_relations_processed.csv
"In the 1960s, comprehensive schools did not eradicate class inequalities in education because:",(A) they tended to recruit pupils from the inner cities and traditionally working class areas,"(B) selective schools could still 'cream off' the most able pupils, while the comprehensives put children into ability streams","(C) teachers in comprehensive schools used the restricted code in the classroom, whereas working class pupils used elaborated codes of speech",(D) national testing and league tables made the new schools highly competitive and selective,B,sociology_processed.csv
Federal judges are subject to which of the following disciplinary actions?,"(A) Impeachment, conviction, and removal from office by Congress",(B) Removal from office by the appointing president,(C) Removal from office by the president-elect,(D) Recall elections by citizens residing in the district over which the judge has jurisdiction,A,high_school_government_and_politics_processed.csv
Free association and dream interpretation frequently characterize which of the following treatments?,(A) psychoanalysis,(B) behavior therapy,(C) humanistic therapy,(D) cognitive therapy,A,high_school_psychology_processed.csv
Which of the following accurately describes individual entitlements?,"(A) Congress provides funds to the states, and the states decide how best to spend the money.",(B) Congress is allowed to fund these programs only when the federal government has a budget surplus.,(C) Congress must pay benefits to anyone who qualifies to receive them.,"(D) Congress grants money to states, provided that certain criteria are met.",C,high_school_government_and_politics_processed.csv
Why do realists tend to object to the influence of exceptionalism on American foreign policy?,(A) It leads to a diminished focus on collective security,(B) It diminishes the prospects for world government,(C) It enhances the prospects for world government,"(D) It leads to a diminished focus on security, power and interest",D,us_foreign_policy_processed.csv
"The competitive market for gasoline, a normal good, is currently in a state of equilibrium. Which of the following would most likely increase the price of gasoline?",(A) Household income falls.,(B) Technology used to produce gasoline improves.,(C) The price of subway tickets and other public transportation falls.,"(D) The price of crude oil, a raw material for gasoline, rises.",D,high_school_microeconomics_processed.csv
Which of the following monetary policies would lessen the effectiveness of expansionary fiscal policy?,(A) Decreasing the value of the domestic currency.,(B) Lowering the income tax rate.,(C) Selling Treasury securities to commercial banks.,(D) Lowering the discount rate.,C,high_school_macroeconomics_processed.csv
Booth's (1901) study revealed that the percentage of people in London who were living in poverty was:,(A) 30.70%,(B) 27.50%,(C) 18.60%,(D) 33.20%,A,sociology_processed.csv
"You are a homosexual male: Last night, you were tempted by lusty, swarthy Jacques (the king of fraternity row) to join him at the local dairy bar for a tall cool glass of milk. You also briefly considered studying for this test, but Jacques won out. In Freudian terms, which of the following was dominant?",(A) the id,(B) the ego,(C) the superego,(D) the Oedipus complex,A,human_sexuality_processed.csv
Judaism regards sexuality as,(A) inherently evil,(B) God's afterthought and has become an aberration,(C) a gift from God,(D) primarily a biological function,C,human_sexuality_processed.csv
"Dr. Carl Carlson is a licensed psychologist and professor in the psychology department at a large university. He is approached by a graduate student, Marla M., age 36, who asks him if he’d like to attend a baseball game on Friday night. Dr. Carlson is divorced and finds Marla to be a very attractive woman. In terms of ethical guidelines, if Dr. Carlson accepts Marla’s invitation, he will be:",(A) clearly violating ethical guidelines.,(B) acting ethically since he is not the one who initiated a potential relationship.,(C) acting ethically as long as Marla is a student in a department other than the psychology department and will not be taking any classes in the psychology department.,(D) acting ethically as long as he does not become sexually involved with Marla until she is no longer affiliated with the university.,C,professional_psychology_processed.csv
"According to Kohlberg, in order to reason at the postconventional level, people must",(A) be generous.,(B) believe in God.,(C) be able to take another person's perspective.,(D) have had a successful resolution of the integrity versus despair stage.,C,high_school_psychology_processed.csv
What is the major difference between negative reinforcement and punishment?,"(A) Punishments are used with nonhuman animals, and negative reinforcements are used with humans.","(B) Negative reinforcements are used in classical conditioning, and punishments are used in operant conditioning.",(C) Punishments are primarily used when training an organism to perform a behavior and negative reinforcements are used to train an organism to stop performing a behavior.,(D) Punishments decrease the frequency of a behavior and negative reinforcements increase the frequency of a behavior.,D,high_school_psychology_processed.csv
What is the relevance of behaviour in economic security analysis?,"(A) Economics as the science of individuals making decisions, and applying economic science to security, allows us to understand, predict, and respond to the behaviour of states and other security actors.",(B) The growth of capitalism has catapulted the individual consumer to a place of extreme significance in shaping the global market. The behaviour of consumers dictates the nature of the global system.,"(C) Behaviour, as a social constructivist concern, is not relevant to economic theory or security theory in general.","(D) The behaviour of states is governed by their economic interests, in terms of securing favourable trade agreements and building strong domestic markets. Thus, their behaviour is dictated by economic considerations.",A,security_studies_processed.csv
Marginal cost (MC) is equal to average variable cost (AVC) and average total cost (ATC) when:,(A) marginal cost (MC) intersects AVC and ATC at their maximum points.,(B) AVC and ATC intersect MC at its maximum point.,(C) MC intersects AVC and ATC at their minimum points.,(D) AVC and ATC intersect MC at its minimum point.,C,high_school_microeconomics_processed.csv
For which of the following would drive-reduction theories not provide a reasonable explanation?,"(A) In the middle of his five-mile race, Jerome grabs water from the water station to quench his thirst.",(B) Ernest gobbles a few cookies on his way to class because he did not have time for lunch.,(C) Tish decides to skip lunch because she is still full from eating a very large breakfast.,(D) Kezia is very full after eating dinner but decides to order the strawberry cheesecake anyway.,D,high_school_psychology_processed.csv
"When the corpus callosum is cut in a right-handed patient, often the patient",(A) cannot carry out well-learned motor tasks with the left hand,(B) Cannot name objects placed in the right hand if the patient can see them,(C) cannot name objects placed in the left hand if the patient cannot see them,(D) shows a decline in verbal intelligence,C,professional_psychology_processed.csv
Which of the following methods of detecting breast cancer involves exposure to radiation?,(A) Needle aspiration,(B) Mammography,(C) Mastectomy,(D) Lumpectomy,B,human_sexuality_processed.csv
"The ________ part of a PR campaign includes proactively planning a response strategy, implementing that strategy in the event of a crisis, evaluating the crisis response, and revising the initial response strategy in an effort to improve for future crises.",(A) public issues,(B) crisis management,(C) consumer relations,(D) community relations,B,public_relations_processed.csv
The Supreme Court case Regents of University of California v. Bakke concerned which of the following issues?,(A) The rights of students to protest on a publicly funded campus,(B) In-class prayer at a publicly funded school,(C) The rights of students to carry concealed weapons on campus,(D) The use of racial quotas in public university admissions,D,high_school_government_and_politics_processed.csv
"The ""within transform"" involves",(A) Taking the average values of the variables,(B) Subtracting the mean of each entity away from each observation on that entity,(C) Estimating a panel data model using least squares dummy variables,(D) Using both time dummies and cross-sectional dummies in a fixed effects panel model,B,econometrics_processed.csv
"Which one of the following is a disadvantage of the general to specific or ""LSE"" (""Hendry"") approach to building econometric models, relative to the specific to general approach?",(A) Some variables may be excluded at the first stage leading to coefficient biases,(B) The final model may lack theoretical interpretation,(C) The final model may be statistically inadequate,"(D) If the initial model is mis-specified, all subsequent steps will be invalid.",B,econometrics_processed.csv
Political efficacy refers to the idea that,(A) political parties can provide a check to the political influence wielded by corporations,(B) individuals believe that they can influence the government through participation in the democratic process,(C) the system of checks and balances ensures that the government is both efficient and productive,(D) politicians have a duty to inform their constituents about the democratic process,B,high_school_government_and_politics_processed.csv
Which of the following is true of equilibrium in a purely (or perfectly) competitive market for good X?,(A) A shortage of good X exists.,(B) The quantity demanded equals the quantity supplied of good X.,(C) A surplus of good X exists.,(D) The government regulates the quantity of good X produced at the market price.,B,high_school_microeconomics_processed.csv
"Which of the following factors would be considered a ""pull"" factor for Riva when considering a move from India to the United States?",(A) Abject poverty,(B) Better job and higher wages,(C) India's caste system,(D) Violence in her neighborhood,B,high_school_geography_processed.csv
The government body formed to coordinate American foreign and military policy is known as,(A) the National Security Council.,(B) the Pentagon.,(C) the Defense Policy Institute.,(D) the Joint Chiefs of Staff.,A,us_foreign_policy_processed.csv
Which statement describes an idea from utilitarianism?,(A) What is right and what is wrong are predetermined.,"(B) People should be treated as an end, not a means to an end.",(C) The greatest good for the greatest number.,(D) Those better off should give to people who are not as well off.,C,public_relations_processed.csv
"Which of the following statements are true concerning the Box-Jenkins approach to diagnostic testing for ARMA models?(i) The tests will show whether the identified model is either too large or too small(ii) The tests involve checking the model residuals for autocorrelation, heteroscedasticity, and non-normality(iii) If the model suggested at the identification stage is appropriate, the acf and pacf for the residuals should show no additional structure(iv) If the model suggested at the identification stage is appropriate, the coefficients on the additional variables under the overfitting approach will be statistically insignificant",(A) (ii) and (iv) only,(B) (i) and (iii) only,"(C) (i), (ii), and (iii) only","(D) (i), (ii), (iii), and (iv)",A,econometrics_processed.csv
Which area of public relations deals with emerging issues and their potential impact on an organization?,(A) Public opinion,(B) Issues management,(C) Public affairs,(D) Lobbying,B,public_relations_processed.csv
Attachment to a care-giver begins:,(A) in the hours immediately following birth,(B) several weeks after birth,(C) several months after birth,(D) when the child learns to speak,A,human_sexuality_processed.csv
Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':,(A) the democratization of the family,(B) putting an end to privatization,"(C) positive welfare: 'a hand up, not a hand-out'",(D) the strengthening of civil society,B,sociology_processed.csv
"Before the Masters and Johnson research, it was thought that vaginal lubrication was due to secretions of",(A) Cowper's gland,(B) Prostate gland,(C) Bartholin glands,(D) Adrenal gland,C,human_sexuality_processed.csv
At which stage in the planning process are the objectives decided on?,(A) Defining the program,(B) Planning the program,(C) Taking action and implementing ideas,(D) Evaluation of the program,B,public_relations_processed.csv
An examinee who makes a number of confabulatory responses on the Rorschach has overgeneralized from a part of the inkblot to the whole. Such responses suggest which of the following?,(A) a need for immediate gratification,(B) high intelligence and creativity,(C) a high degree of defensiveness or denial,"(D) brain damage, intellectual disability, or emotional disturbance",D,professional_psychology_processed.csv
The media-themes model of media influence claims that:,(A) audiences selectively interpret what they want to hear,(B) content analysis is the best way to identify the themes covered by the media,(C) audiences passively absorb whatever messages they are given,(D) social interaction reinforces the ideas and images that audiences select,D,sociology_processed.csv
A monopoly is less efficient than a perfect competitor because,(A) a monopoly produces more output and sells for a higher price,(B) a monopoly produces less output and sells for a higher price,(C) a monopoly can make profit in the short run but not in the long run,(D) a perfect competitor breaks even in the short run and the monopoly does not,B,high_school_microeconomics_processed.csv
Why is there so much uncertainty over which states have nuclear weapons?,(A) Leaders have incentives to lie,"(B) If leaders revealed their programs, they would be more likely to be attacked",(C) Leaders will not always grant foreign monitors access to their nuclear programs,(D) ALL of the above,D,us_foreign_policy_processed.csv
"A student decides that, having already spent three hours studying for an exam, she should spend one more hour studying for the same exam. Which of the following is most likely true?",(A) The marginal benefit of the fourth hour is certainly less than the marginal cost of the fourth hour.,(B) The marginal benefit of the fourth hour is at least as great as the marginal cost of the fourth hour.,"(C) Without knowing the student’s opportunity cost of studying, we have no way of knowing whether or not her marginal benefits outweigh her marginal costs.",(D) The marginal cost of the third hour was likely greater than the marginal cost of the fourth hour.,B,high_school_microeconomics_processed.csv
How many major powers are there in a multipolar system?,(A) 0,(B) 1,(C) 2,(D) 3 or more,D,us_foreign_policy_processed.csv
In which country does language pose a centrifugal force?,(A) Canada,(B) United States,(C) Brazil,(D) Norway,A,high_school_geography_processed.csv
A psychologist is asked to see a 10-year-old child for counseling in a school setting. Which of the following statements describes the best way for the psychologist to meet the prescribed ethical responsibility,(A) The child provides verbal assent to participate in therapy,(B) Both the parent(s) and the child provide written consent to therapy for the child,(C) The parent(s) provide(s) written consent and the child assents verbally to participate in therapy,(D) The parent(s) provide(s) written and verbal consent to therapy for the child,C,professional_psychology_processed.csv
A typical characteristic of capitalist market economies is,(A) government ownership of land and capital.,(B) extensive price controls.,(C) centralized government decision making to determine production limits.,(D) private ownership of economic resources.,D,high_school_microeconomics_processed.csv
