property,prefix,Context,Question,Correct Answer,negative_sample_type
can cut and chop wood,a chainsaw,'',Can a chainsaw cut and chop wood?,Yes,random
can cut and chop wood,mushroom,'',Can mushroom cut and chop wood?,No,random
can cut down trees,an axe,'',Can an axe cut down trees?,Yes,random
can cut flesh,a bayonet,'',Can a bayonet cut flesh?,Yes,random
can cut through fabric,scissors,'',Can scissors cut through fabric?,Yes,random
can cut through forrest vegetation,a goose,'',Can a goose cut through forrest vegetation?,No,random
can cut through metal,a saw,'',Can a saw cut through metal?,Yes,random
can cut through metal,a washing machine,'',Can a washing machine cut through metal?,No,random
can cut through paper,champagne,'',Can champagne cut through paper?,No,random
can damage buildings,a lamb,'',Can a lamb damage buildings?,No,random
can damage crops,a grasshopper,'',Can a grasshopper damage crops?,Yes,random
can dart around in the air,a truck,'',Can a truck dart around in the air?,No,random
can defrost food,an oven,'',Can an oven defrost food?,Yes,random
can detect light,a bin,'',Can a bin detect light?,No,random
can detect vibrations,an ear,'',Can an ear detect vibrations?,Yes,random
can die after stinging,a bee,'',Can a bee die after stinging?,Yes,random
can dive underwater,a locust,'',Can a locust dive underwater?,No,random
can drain water,a dishwasher,'',Can a dishwasher drain water?,Yes,random
can drink,jelly,'',Can jelly drink?,No,random
can drool,a calf,'',Can a calf drool?,Yes,random
can drown its prey,a crocodile,'',Can a crocodile drown its prey?,Yes,random
can eat other birds,a shovel,'',Can a shovel eat other birds?,No,random
can eat plants,a refrigerator,'',Can a refrigerator eat plants?,No,random
can eat smaller birds,a pelican,'',Can a pelican eat smaller birds?,Yes,random
can entertain,a clam,'',Can a clam entertain?,No,random
can fall,a goat,'',Can a goat fall?,No,random
can fetch ball,a dog,'',Can a dog fetch ball?,Yes,random
can filter,jam,'',Can jam filter?,No,random
can filter water,a chopping board,'',Can a chopping board filter water?,No,random
can fire arrows,ham,'',Can ham fire arrows?,No,random
can fire long range,a rifle,'',Can a rifle fire long range?,Yes,random
can flash,a camera,'',Can a camera flash?,Yes,random
can flash,a hyacinth,'',Can a hyacinth flash?,No,random
can flatten,a budgie,'',Can a budgie flatten?,No,random
can float in air,a jacket,'',Can a jacket float in air?,No,random
can flutter,an oven,'',Can an oven flutter?,No,random
can fly,a unicycle,'',Can a unicycle fly?,No,random
can fly backwards,a hummingbird,'',Can a hummingbird fly backwards?,Yes,random
can fly backwards,a donut,'',Can a donut fly backwards?,No,random
can fly fast,a hummingbird,'',Can a hummingbird fly fast?,Yes,random
can fly fast,a parka,'',Can a parka fly fast?,No,random
can get cold,a mackerel,'',Can a mackerel get cold?,No,random
can get congested,a bicycle,'',Can a bicycle get congested?,No,random
can get full,a bin,'',Can a bin get full?,Yes,random
can get knotted,a catapult,'',Can a catapult get knotted?,No,random
can give birth to mules,a throne,'',Can a throne give birth to mules?,No,random
can glide,a buzzard,'',Can a buzzard glide?,Yes,random
can glide,a rhino,'',Can a rhino glide?,No,random
can go into a shoe,a foot,'',Can a foot go into a shoe?,Yes,random
can go into a sock,a flea,'',Can a flea go into a sock?,No,random
can go into wall,a nail,'',Can a nail go into wall?,Yes,random
can go stale,a ladle,'',Can a ladle go stale?,No,random
can go through corks,a corkscrew,'',Can a corkscrew go through corks?,Yes,random
can go through corks,a woodpecker,'',Can a woodpecker go through corks?,No,random
can go without drinking water,an apple,'',Can an apple go without drinking water?,No,random
can grate,a grater,'',Can a grater grate?,Yes,random
can grate vegetables,turnip,'',Can turnip grate vegetables?,No,random
can grow,a leg,'',Can a leg grow?,Yes,random
can growl,whiskey,'',Can whiskey growl?,No,random
can hang from the ceiling,a moped,'',Can a moped hang from the ceiling?,No,random
can have a baby seat,a trolley,'',Can a trolley have a baby seat?,Yes,random
can have a basket,a trolley,'',Can a trolley have a basket?,Yes,random
can have a bell,a trumpet,'',Can a trumpet have a bell?,Yes,random
can have a bin bag,a bin,'',Can a bin have a bin bag?,Yes,random
can have a cork,a spatula,'',Can a spatula have a cork?,No,random
can have a duvet,ham,'',Can ham have a duvet?,No,random
can have a hammer shaped head,kiwi,'',Can kiwi have a hammer shaped head?,No,random
can have a headboard,a bed,'',Can a bed have a headboard?,Yes,random
can have a hot temperature,an oven,'',Can an oven have a hot temperature?,Yes,random
can have a kidney shape,a bean,'',Can a bean have a kidney shape?,Yes,random
can have a label,butter,'',Can butter have a label?,No,random
can have a large surface area,a yacht,'',Can a yacht have a large surface area?,No,random
can have a lever,pliers,'',Can pliers have a lever?,Yes,random
can have a lever,a clam,'',Can a clam have a lever?,No,random
can have a lid,a basket,'',Can a basket have a lid?,Yes,random
can have a minibar,a limousine,'',Can a limousine have a minibar?,Yes,random
can have a motor,a tongue,'',Can a tongue have a motor?,No,random
can have a rough texture,grapefruit,'',Can grapefruit have a rough texture?,Yes,random
can have a rubber band,a catapult,'',Can a catapult have a rubber band?,Yes,random
can have a smooth texture,an elm tree,'',Can an elm tree have a smooth texture?,No,random
can have a tap for warm and cold water,a trout,'',Can a trout have a tap for warm and cold water?,No,random
can have a triangular shape,a sandwich,'',Can a sandwich have a triangular shape?,Yes,random
can have a visor,a helmet,'',Can a helmet have a visor?,Yes,random
can have a wooden handle,a spatula,'',Can a spatula have a wooden handle?,Yes,random
can have a wooden handle,a cockroach,'',Can a cockroach have a wooden handle?,No,random
can have cabins,a houseboat,'',Can a houseboat have cabins?,Yes,random
can have candles,a cat,'',Can a cat have candles?,No,random
can have decorations,a desk,'',Can a desk have decorations?,No,random
can have engravings on it,a cookie,'',Can a cookie have engravings on it?,Yes,random
can have engravings on it,a moped,'',Can a moped have engravings on it?,No,random
can have flat or curved leaves,parsley,'',Can parsley have flat or curved leaves?,Yes,random
can have fruity bits in it,a mussel,'',Can a mussel have fruity bits in it?,No,random
can have hexagonal heads,a chopping board,'',Can a chopping board have hexagonal heads?,No,random
can have lice,hair,'',Can hair have lice?,Yes,random
can have long sleeves,a colander,'',Can a colander have long sleeves?,No,random
can have multiple taps,a bathtub,'',Can a bathtub have multiple taps?,Yes,random
can have multiple taps,a toe,'',Can a toe have multiple taps?,No,random
can have one hump,a camel,'',Can a camel have one hump?,Yes,random
can have rooms,a caravan,'',Can a caravan have rooms?,Yes,random
can have rough edges,a tweezer,'',Can a tweezer have rough edges?,Yes,random
can have rough edges,a dinghy,'',Can a dinghy have rough edges?,No,random
can have sharp blades,a sword,'',Can a sword have sharp blades?,Yes,random
can have short sleeves,a wetsuit,'',Can a wetsuit have short sleeves?,Yes,random
can have short sleeves,a pony,'',Can a pony have short sleeves?,No,random
can have six wheels,a coach,'',Can a coach have six wheels?,Yes,random
can have split ends,hair,'',Can hair have split ends?,Yes,random
can have striped patterns,a chainsaw,'',Can a chainsaw have striped patterns?,No,random
can have two decks,a bus,'',Can a bus have two decks?,Yes,random
can have two decks,a chair,'',Can a chair have two decks?,No,random
can have white petals,a lily,'',Can a lily have white petals?,Yes,random
can have wire mesh,butter,'',Can butter have wire mesh?,No,random
can heat water,a lamp,'',Can a lamp heat water?,No,random
can help organize schedules,a clock,'',Can a clock help organize schedules?,Yes,random
can hibernate,a bear,'',Can a bear hibernate?,Yes,random
can hit people,an accordion,'',Can an accordion hit people?,No,random
can hold books,a bookcase,'',Can a bookcase hold books?,Yes,random
can hold drinks,a porcupine,'',Can a porcupine hold drinks?,No,random
can hold fruit,a platypus,'',Can a platypus hold fruit?,No,random
can hold sand,a bucket,'',Can a bucket hold sand?,Yes,random
can hold sand,an axe,'',Can an axe hold sand?,No,random
can hold things in place,a clamp,'',Can a clamp hold things in place?,Yes,random
can hold things together,a bagpipe,'',Can a bagpipe hold things together?,No,random
can hop,a grasshopper,'',Can a grasshopper hop?,Yes,random
can house birds,a brussels sprout,'',Can a brussels sprout house birds?,No,random
can hurt,a hedgehog,'',Can a hedgehog hurt?,No,random
can hurt people,a sandwich,'',Can a sandwich hurt people?,No,random
can hydrate the body,an ant,'',Can an ant hydrate the body?,No,random
can improve eyesight,a gerbil,'',Can a gerbil improve eyesight?,No,random
can infect pets,a harpsichord,'',Can a harpsichord infect pets?,No,random
can join things,a tuna,'',Can a tuna join things?,No,random
can jump out of the water,a dolphin,'',Can a dolphin jump out of the water?,Yes,random
can keep the ears warm,earmuffs,'',Can earmuffs keep the ears warm?,Yes,random
can keep the head warm,a tongue,'',Can a tongue keep the head warm?,No,random
can kill,strawberry,'',Can strawberry kill?,No,random
can kill people,a sword,'',Can a sword kill people?,Yes,random
can last a long time,jam,'',Can jam last a long time?,Yes,random
can live long,a turtle,'',Can a turtle live long?,Yes,random
can live long,a parakeet,'',Can a parakeet live long?,No,random
can live near the water,a swan,'',Can a swan live near the water?,Yes,random
can maim,a crossbow,'',Can a crossbow maim?,Yes,random
can make a clucking noise,a turkey,'',Can a turkey make a clucking noise?,Yes,random
can make a crashing sound,a speedboat,'',Can a speedboat make a crashing sound?,No,random
can make a honking noise,potato,'',Can potato make a honking noise?,No,random
can make a hooting sound,an owl,'',Can an owl make a hooting sound?,Yes,random
can make a hooting sound,a moose,'',Can a moose make a hooting sound?,No,random
can make a loud noise,a cymbal,'',Can a cymbal make a loud noise?,Yes,random
can make a twangy sound,a harpsichord,'',Can a harpsichord make a twangy sound?,Yes,random
can make butter,milk,'',Can milk make butter?,Yes,random
can make coffee,a coffee maker,'',Can a coffee maker make coffee?,Yes,random
can make coffee,leek,'',Can leek make coffee?,No,random
can make honey,a bee,'',Can a bee make honey?,Yes,random
can make loud sounds,a fox,'',Can a fox make loud sounds?,Yes,random
can make music,broccoli,'',Can broccoli make music?,No,random
can make people feel seasick,a shrimp,'',Can a shrimp make people feel seasick?,No,random
can make puree,a blender,'',Can a blender make puree?,Yes,random
can make raisins,a caterpillar,'',Can a caterpillar make raisins?,No,random
can make you drunk,whiskey,'',Can whiskey make you drunk?,Yes,random
can make you fall,tangerine,'',Can tangerine make you fall?,No,random
can melt,cheese,'',Can cheese melt?,Yes,random
can melt in the mouth,whiskey,'',Can whiskey melt in the mouth?,No,random
can melt under heat,ice cream,'',Can ice cream melt under heat?,Yes,random
can meow,a cat,'',Can a cat meow?,Yes,random
can meow,a mirror,'',Can a mirror meow?,No,random
can migrate,a bathtub,'',Can a bathtub migrate?,No,random
can mix ingredients,a blender,'',Can a blender mix ingredients?,Yes,random
can open,a clam,'',Can a clam open?,Yes,random
can open cans,a can opener,'',Can a can opener open cans?,Yes,random
can peck,a peacock,'',Can a peacock peck?,Yes,random
can pierce or impale,a knife,'',Can a knife pierce or impale?,Yes,random
can pierce or impale,a rat,'',Can a rat pierce or impale?,No,random
can play audio,a canary,'',Can a canary play audio?,No,random
can pollinate,a hummingbird,'',Can a hummingbird pollinate?,Yes,random
can pollinate flowers,a bee,'',Can a bee pollinate flowers?,Yes,random
can pounce,a budgie,'',Can a budgie pounce?,No,random
can prance,a horse,'',Can a horse prance?,Yes,random
can prance,an owl,'',Can an owl prance?,No,random
can press,a finger,'',Can a finger press?,Yes,random
can prevent mess,a chipmunk,'',Can a chipmunk prevent mess?,No,random
can produce cider,pear,'',Can pear produce cider?,Yes,random
can produce cider,an eel,'',Can an eel produce cider?,No,random
can protect against weapons,an armor,'',Can an armor protect against weapons?,Yes,random
can protect from spills,an apron,'',Can an apron protect from spills?,Yes,random
can provide fitness,a bicycle,'',Can a bicycle provide fitness?,Yes,random
can provide shade,a pine tree,'',Can a pine tree provide shade?,Yes,random
can provide shelter,a houseboat,'',Can a houseboat provide shelter?,Yes,random
can provide support,a bra,'',Can a bra provide support?,Yes,random
can provide water,an elephant,'',Can an elephant provide water?,No,random
can pull things,a starling,'',Can a starling pull things?,No,random
can quack,a duck,'',Can a duck quack?,Yes,random
can regenerate,a wolf,'',Can a wolf regenerate?,No,random
can reproduce quickly,a bagpipe,'',Can a bagpipe reproduce quickly?,No,random
can require electricity,a crayfish,'',Can a crayfish require electricity?,No,random
can rip,a box,'',Can a box rip?,No,random
can roll,a bra,'',Can a bra roll?,No,random
can rotate its head,an owl,'',Can an owl rotate its head?,Yes,random
can rub its wings,a bowl,'',Can a bowl rub its wings?,No,random
can run,a wheelbarrow,'',Can a wheelbarrow run?,No,random
can run on nuclear power,cheese,'',Can cheese run on nuclear power?,No,random
can save time,a dishwasher,'',Can a dishwasher save time?,Yes,random
can save time,an oak tree,'',Can an oak tree save time?,No,random
can scavenge in bins,a raccoon,'',Can a raccoon scavenge in bins?,Yes,random
can scuttle,a clarinet,'',Can a clarinet scuttle?,No,random
can secure things,a clamp,'',Can a clamp secure things?,Yes,random
can see,an eye,'',Can an eye see?,Yes,random
can see in the dark,an owl,'',Can an owl see in the dark?,Yes,random
can see in the dark,a monkey,'',Can a monkey see in the dark?,No,random
can separate food from water,a hummingbird,'',Can a hummingbird separate food from water?,No,random
can serve food on board,a train,'',Can a train serve food on board?,Yes,random
can serve food on board,a kayak,'',Can a kayak serve food on board?,No,random
can shine,a lamp,'',Can a lamp shine?,Yes,random
can shoot spikes,a porcupine,'',Can a porcupine shoot spikes?,Yes,random
can shoot spikes,a ship,'',Can a ship shoot spikes?,No,random
can sieve,broccoli,'',Can broccoli sieve?,No,random
can sing,a budgie,'',Can a budgie sing?,Yes,random
can sing,an ox,'',Can an ox sing?,No,random
can skip traffic lights,an ambulance,'',Can an ambulance skip traffic lights?,Yes,random
can slide,a sledge,'',Can a sledge slide?,Yes,random
can sniff,a gun,'',Can a gun sniff?,No,random
can spill oil,an oil tanker,'',Can an oil tanker spill oil?,Yes,random
can spill oil,a microwave,'',Can a microwave spill oil?,No,random
can spin,a canary,'',Can a canary spin?,No,random
can spray liquid,a hose,'',Can a hose spray liquid?,Yes,random
can sprout,potato,'',Can potato sprout?,Yes,random
can squawk,a parakeet,'',Can a parakeet squawk?,Yes,random
can squirt ink,a grater,'',Can a grater squirt ink?,No,random
can stab,leek,'',Can leek stab?,No,random
can stain,ketchup,'',Can ketchup stain?,Yes,random
can stand on one leg,a saw,'',Can a saw stand on one leg?,No,random
can stand up vertically,a kangaroo,'',Can a kangaroo stand up vertically?,Yes,random
can stand up vertically,a lion,'',Can a lion stand up vertically?,No,random
can sting,an ant,'',Can an ant sting?,Yes,random
can stop,a car,'',Can a car stop?,No,random
can stop bullets,a mug,'',Can a mug stop bullets?,No,random
can store beer and ale,a french horn,'',Can a french horn store beer and ale?,No,random
can store chutney,a football,'',Can a football store chutney?,No,random
can store food in its cheeks,a hamster,'',Can a hamster store food in its cheeks?,Yes,random
can store jam,a jar,'',Can a jar store jam?,Yes,random
can store milk,a bottle,'',Can a bottle store milk?,Yes,random
can store water,a daisy,'',Can a daisy store water?,No,random
can strut,banana,'',Can banana strut?,No,random
can suck blood,tights,'',Can tights suck blood?,No,random
can support body weight,satsuma,'',Can satsuma support body weight?,No,random
can support spectacles,an ear,'',Can an ear support spectacles?,Yes,random
can support spectacles,a hose,'',Can a hose support spectacles?,No,random
can support the body,a squirrel,'',Can a squirrel support the body?,No,random
can survive nuclear attacks,a tugboat,'',Can a tugboat survive nuclear attacks?,No,random
can take up a lot of space,a buggy,'',Can a buggy take up a lot of space?,No,random
can taste,a heron,'',Can a heron taste?,No,random
can thicken,a helmet,'',Can a helmet thicken?,No,random
can throw rocks,a catapult,'',Can a catapult throw rocks?,Yes,random
can trample,an elephant,'',Can an elephant trample?,Yes,random
can transmit malaria,a chopping board,'',Can a chopping board transmit malaria?,No,random
can transport goods,a box,'',Can a box transport goods?,Yes,random
can transport people,a truck,'',Can a truck transport people?,Yes,random
can travel across countries,an airplane,'',Can an airplane travel across countries?,Yes,random
can travel long distances,a canoe,'',Can a canoe travel long distances?,No,random
can trot,a pony,'',Can a pony trot?,Yes,random
can trot,a tongue,'',Can a tongue trot?,No,random
can turn into a pupa,a table,'',Can a table turn into a pupa?,No,random
can unravel,a yoyo,'',Can a yoyo unravel?,Yes,random
can vibrate,a beetle,'',Can a beetle vibrate?,No,random
can waddle,a walrus,'',Can a walrus waddle?,Yes,random
can wade,potato,'',Can potato wade?,No,random
can wag its tail,a dog,'',Can a dog wag its tail?,Yes,random
can wake someone up,a cow,'',Can a cow wake someone up?,No,random
can wallow,a buffalo,'',Can a buffalo wallow?,Yes,random
can wallow,a nightingale,'',Can a nightingale wallow?,No,random
can water,a housefly,'',Can a housefly water?,No,random
can whip cream,a whisk,'',Can a whisk whip cream?,Yes,random
can whip cream,mushroom,'',Can mushroom whip cream?,No,random
can wink,an eye,'',Can an eye wink?,Yes,random
can work in teams,an otter,'',Can an otter work in teams?,Yes,random
can wriggle,a caterpillar,'',Can a caterpillar wriggle?,Yes,random
cannot fly,a peacock,'',Does a peacock cannot fly?,Yes,random
carries food and drinks,a tray,'',Does a tray carrie food and drinks?,Yes,random
carries food and drinks,a toad,'',Does a toad carrie food and drinks?,No,random
carries its young one in its pouch,a kangaroo,'',Does a kangaroo carrie its young one in its pouch?,Yes,random
carries one person,garlic,'',Does garlic carrie one person?,No,random
chases balls,a dog,'',Does a dog chase balls?,Yes,random
collects food,a satchel,'',Does a satchel collect food?,No,random
comes from cows,a housefly,'',Does a housefly come from cows?,No,random
comes from grains,whiskey,'',Does whiskey come from grains?,Yes,random
comes in different designs,a football,'',Does a football come in different designs?,Yes,random
comes in flavors,chocolate,'',Does chocolate come in flavors?,Yes,random
comes in loaves,a bottle,'',Does a bottle come in loaves?,No,random
contains a calf,castanets,'',Does castanets contain a calf?,No,random
contains a tibia,a leg,'',Does a leg contain a tibia?,Yes,random
contains a tibia,bacon,'',Does bacon contain a tibia?,No,random
contains air bubbles,a spirit level,'',Does a spirit level contain air bubbles?,Yes,random
contains calcium,milk,'',Does milk contain calcium?,Yes,random
contains cartilage,an ear,'',Does an ear contain cartilage?,Yes,random
contains chemicals,a bomb,'',Does a bomb contain chemicals?,Yes,random
contains chemicals,an elephant,'',Does an elephant contain chemicals?,No,random
contains chlorophyll,spinach,'',Does spinach contain chlorophyll?,Yes,random
contains chlorophyll,butter,'',Does butter contain chlorophyll?,No,random
contains credit cards,a wallet,'',Does a wallet contain credit cards?,Yes,random
contains credit cards,a lobster,'',Does a lobster contain credit cards?,No,random
contains explosive material,a wolf,'',Does a wolf contain explosive material?,No,random
contains fabric parts,a marigold,'',Does a marigold contain fabric parts?,No,random
contains fat,milk,'',Does milk contain fat?,Yes,random
contains fiber,a stick insect,'',Does a stick insect contain fiber?,No,random
contains high cholesterol,a bra,'',Does a bra contain high cholesterol?,No,random
contains identification,a wallet,'',Does a wallet contain identification?,Yes,random
contains juice,a melon,'',Does a melon contain juice?,Yes,random
contains ligament,a bottle,'',Does a bottle contain ligament?,No,random
contains liquid,a corkscrew,'',Does a corkscrew contain liquid?,No,random
contains money,a unicycle,'',Does a unicycle contain money?,No,random
contains nerves,a toe,'',Does a toe contain nerves?,Yes,random
contains nerves,lemon,'',Does lemon contain nerves?,No,random
contains oil and fat,a radio,'',Does a radio contain oil and fat?,No,random
contains potassium,pear,'',Does pear contain potassium?,No,random
contains receipts,a wallet,'',Does a wallet contain receipts?,Yes,random
contains screws,a corkscrew,'',Does a corkscrew contain screws?,Yes,random
contains screws,a rose,'',Does a rose contain screws?,No,random
contains stock,a soup,'',Does a soup contain stock?,Yes,random
contains stock,a glider,'',Does a glider contain stock?,No,random
contains strings,a eucalyptus tree,'',Does a eucalyptus tree contain strings?,No,random
contains tubes,an ear,'',Does an ear contain tubes?,Yes,random
contains tubes,pineapple,'',Does pineapple contain tubes?,No,random
contains vinegar,a buggy,'',Does a buggy contain vinegar?,No,random
contains yeast,beer,'',Does beer contain yeast?,Yes,random
displays minutes,a harpsichord,'',Does a harpsichord display minutes?,No,random
displays numbers,a carnation,'',Does a carnation display numbers?,No,random
does jump long distances,a kangaroo,'',Does a kangaroo doe jump long distances?,Yes,random
does not cover much skin,a yacht,'',Does a yacht doe not cover much skin?,No,random
does not decompose,a flamingo,'',Does a flamingo doe not decompose?,No,random
does not die when it stings,a wasp,'',Does a wasp doe not die when it stings?,Yes,random
does not die when it stings,a hummingbird,'',Does a hummingbird doe not die when it stings?,No,random
does not have any passengers,a camera,'',Does a camera doe not have any passengers?,No,random
does not have seeds,a moth,'',Does a moth doe not have seeds?,No,random
does not lay eggs,a cockerel,'',Does a cockerel doe not lay eggs?,Yes,random
does not lay eggs,a machete,'',Does a machete doe not lay eggs?,No,random
drags itself along,a walrus,'',Does a walrus drag itself along?,Yes,random
drinks milk for nourishment,a kingfisher,'',Does a kingfisher drink milk for nourishment?,No,random
eats,a marigold,'',Does a marigold eat?,No,random
eats cheese,a mouse,'',Does a mouse eat cheese?,Yes,random
eats cheese,a spider,'',Does a spider eat cheese?,No,random
eats from branches,a giraffe,'',Does a giraffe eat from branches?,Yes,random
eats from trees,a giraffe,'',Does a giraffe eat from trees?,Yes,random
eats meat,a mirror,'',Does a mirror eat meat?,No,random
eats nectar,a hummingbird,'',Does a hummingbird eat nectar?,Yes,random
eats nuts,a squirrel,'',Does a squirrel eat nuts?,Yes,random
eats pet fish food,a goldfish,'',Does a goldfish eat pet fish food?,Yes,random
eats rabbits,a fox,'',Does a fox eat rabbits?,Yes,random
eats rabbits,a locust,'',Does a locust eat rabbits?,No,random
eats rodents and mice,a hawk,'',Does a hawk eat rodents and mice?,Yes,random
eats rodents and mice,a bicycle,'',Does a bicycle eat rodents and mice?,No,random
eats scraps,a pigeon,'',Does a pigeon eat scraps?,Yes,random
eats seeds,an emu,'',Does an emu eat seeds?,Yes,random
eats slugs,a hedgehog,'',Does a hedgehog eat slugs?,Yes,random
eats snails,a hedgehog,'',Does a hedgehog eat snails?,Yes,random
eats snails,a buttercup,'',Does a buttercup eat snails?,No,random
eats wood,a termite,'',Does a termite eat wood?,Yes,random
facilitates sight,an eye,'',Does an eye facilitate sight?,Yes,random
feeds on fish,a bomb,'',Does a bomb feed on fish?,No,random
follows a route,peach,'',Does peach follow a route?,No,random
gives birth to cygnets,a swan,'',Does a swan give birth to cygnets?,Yes,random
gives birth to cygnets,a magpie,'',Does a magpie give birth to cygnets?,No,random
gives birth to ducklings,a blender,'',Does a blender give birth to ducklings?,No,random
gives birth to joeys,a kangaroo,'',Does a kangaroo give birth to joeys?,Yes,random
gives birth to joeys,a harpsichord,'',Does a harpsichord give birth to joeys?,No,random
gives birth to lambs,a sheep,'',Does a sheep give birth to lambs?,Yes,random
gives birth to piglets,a pig,'',Does a pig give birth to piglets?,Yes,random
goes into space,a crayfish,'',Does a crayfish go into space?,No,random
goes through metamorphosis,a caterpillar,'',Does a caterpillar go through metamorphosis?,Yes,random
goes through metamorphosis,a falcon,'',Does a falcon go through metamorphosis?,No,random
grows from follicles,a hyena,'',Does a hyena grow from follicles?,No,random
grows in bunches,a cherry,'',Does a cherry grow in bunches?,Yes,random
grows in winter,a heart,'',Does a heart grow in winter?,No,random
grows on a stalk,plum,'',Does plum grow on a stalk?,Yes,random
grows on bushes,a trumpet,'',Does a trumpet grow on bushes?,No,random
grows on cobs,a stick insect,'',Does a stick insect grow on cobs?,No,random
grows on palm trees,a date,'',Does a date grow on palm trees?,Yes,random
grows on trees,kiwi,'',Does kiwi grow on trees?,Yes,random
grows slowly,a ladybird,'',Does a ladybird grow slowly?,No,random
grows underground,an onion,'',Does an onion grow underground?,Yes,random
has a back rest,an alligator,'',Does an alligator have a back rest?,No,random
has a bag of air,a rollerskate,'',Does a rollerskate have a bag of air?,No,random
has a base,a jug,'',Does a jug have a base?,Yes,random
has a base,a clam,'',Does a clam have a base?,No,random
has a basin,a sink,'',Does a sink have a basin?,Yes,random
has a bathroom,a houseboat,'',Does a houseboat have a bathroom?,Yes,random
has a beak,rice,'',Does rice have a beak?,No,random
has a beard,a goat,'',Does a goat have a beard?,Yes,random
has a beaver tail,a shirt,'',Does a shirt have a beaver tail?,No,random
has a bedroom,a houseboat,'',Does a houseboat have a bedroom?,Yes,random
has a bedroom,a frog,'',Does a frog have a bedroom?,No,random
has a big beak,an orange,'',Does an orange have a big beak?,No,random
has a big body,a tarantula,'',Does a tarantula have a big body?,Yes,random
has a big head,a spider,'',Does a spider have a big head?,No,random
has a big horn,an eel,'',Does an eel have a big horn?,No,random
has a big nose,a hippo,'',Does a hippo have a big nose?,Yes,random
has a big shell,a sofa,'',Does a sofa have a big shell?,No,random
has a blowhole,a pig,'',Does a pig have a blowhole?,No,random
has a boot,a lorry,'',Does a lorry have a boot?,Yes,random
has a bow at the front,a boat,'',Does a boat have a bow at the front?,Yes,random
has a bridge,a violin,'',Does a violin have a bridge?,Yes,random
has a brown center,a sunflower,'',Does a sunflower have a brown center?,Yes,random
has a brush,a broom,'',Does a broom have a brush?,Yes,random
has a bushy tail,a yoyo,'',Does a yoyo have a bushy tail?,No,random
has a call,a cockerel,'',Does a cockerel have a call?,Yes,random
has a center,plum,'',Does plum have a center?,Yes,random
has a center,an accordion,'',Does an accordion have a center?,No,random
has a circular head,a harmonica,'',Does a harmonica have a circular head?,No,random
has a collar,a chair,'',Does a chair have a collar?,No,random
has a cork stopper,a desk,'',Does a desk have a cork stopper?,No,random
has a covered deck,a kayak,'',Does a kayak have a covered deck?,Yes,random
has a crest,a cockerel,'',Does a cockerel have a crest?,Yes,random
has a crushing bite,a seahorse,'',Does a seahorse have a crushing bite?,No,random
has a curly shape,a french horn,'',Does a french horn have a curly shape?,Yes,random
has a curly tail,a scorpion,'',Does a scorpion have a curly tail?,Yes,random
has a curly tail,a van,'',Does a van have a curly tail?,No,random
has a curved beak,a drill,'',Does a drill have a curved beak?,No,random
has a curvy end,a ladle,'',Does a ladle have a curvy end?,Yes,random
has a cuticle,a cod,'',Does a cod have a cuticle?,No,random
has a deep sound,a bagpipe,'',Does a bagpipe have a deep sound?,Yes,random
has a dial,a cup,'',Does a cup have a dial?,No,random
has a disc shape,a shrimp,'',Does a shrimp have a disc shape?,No,random
has a dorsal fin,a stick insect,'',Does a stick insect have a dorsal fin?,No,random
has a drain hole,satsuma,'',Does satsuma have a drain hole?,No,random
has a dreamy sound,a harp,'',Does a harp have a dreamy sound?,Yes,random
has a face,a walrus,'',Does a walrus have a face?,Yes,random
has a fanned tail,a peacock,'',Does a peacock have a fanned tail?,Yes,random
has a fanned tail,a wetsuit,'',Does a wetsuit have a fanned tail?,No,random
has a fatal sting,a llama,'',Does a llama have a fatal sting?,No,random
has a fee counter,a taxi,'',Does a taxi have a fee counter?,Yes,random
has a fee counter,an oyster,'',Does an oyster have a fee counter?,No,random
has a finger loop,a yoyo,'',Does a yoyo have a finger loop?,Yes,random
has a finger loop,a corkscrew,'',Does a corkscrew have a finger loop?,No,random
has a firm flesh,a robin,'',Does a robin have a firm flesh?,No,random
has a flame,a nut,'',Does a nut have a flame?,No,random
has a flap,a satchel,'',Does a satchel have a flap?,Yes,random
has a flat beak,a duck,'',Does a duck have a flat beak?,Yes,random
has a flat blade,a spade,'',Does a spade have a flat blade?,Yes,random
has a flat blade,a drum,'',Does a drum have a flat blade?,No,random
has a flat screen,a television,'',Does a television have a flat screen?,Yes,random
has a flat surface,a mirror,'',Does a mirror have a flat surface?,Yes,random
has a flat surface,a violin,'',Does a violin have a flat surface?,No,random
has a flat tail,a moth,'',Does a moth have a flat tail?,No,random
has a flat top,an alligator,'',Does an alligator have a flat top?,No,random
has a floor,a hutch,'',Does a hutch have a floor?,Yes,random
has a fluffy tail,a beetle,'',Does a beetle have a fluffy tail?,No,random
has a forked tongue,a rattlesnake,'',Does a rattlesnake have a forked tongue?,Yes,random
has a freezer,a refrigerator,'',Does a refrigerator have a freezer?,Yes,random
has a fretboard,a banjo,'',Does a banjo have a fretboard?,Yes,random
has a furry texture,a bra,'',Does a bra have a furry texture?,No,random
has a glass door,an oven,'',Does an oven have a glass door?,Yes,random
has a glossy surface,a clarinet,'',Does a clarinet have a glossy surface?,Yes,random
has a grip,a cockroach,'',Does a cockroach have a grip?,No,random
has a handle,a football,'',Does a football have a handle?,No,random
