question,A,B,C,D,answer
"A homeowner was injured when an automatic cutoff switch failed to function on a snowblower he was using. The cutoff switch had functioned well for a year after he purchased the snowblower but failed after the machine had been improperly repaired by a mechanic. The snowblower's operating manual contained a clear and prominent warning against making the very alteration to the switch mechanism that was made by the mechanic. The mechanic, however, did not have a manual available when he repaired the snowblower. Does the homeowner have a viable claim against the manufacturer of the snowblower for damages?","(A) No, because the homeowner was contributorily negligent in failing to furnish the snowblower's manual to the mechanic.","(B) No, because the injury resulted from a substantial alteration of the snowblower by a third party. a third party.","(C) Yes, because a defect in the snowblower caused the homeowner's injury.","(D) Yes, because the manufacturer should have made the manual available to repair personnel.",B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I have several guns that I allow my young children to use. Scenario 2 | I went to the bank to withdraw some money.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Everyday I gave her 2 slaps before school. Scenario 2 | I peed in the public urinal.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
Which proposition below is the most powerful refutation of Bentham's felicific calculus?,(A) Happiness is less important than economic prosperity.,(B) It is impossible to calculate all the consequences of one's acts.,(C) Pain and pleasure are inevitable features of life.,(D) Utilitarianism fails to take account of differences in social background.,B
The origins of Chinese civilization can be traced to:,(A) the site of An-yang near the Huang ho River.,(B) chiefdoms and states in numerous regions throughout China.,(C) the beginning of the Qin Dynasty.,(D) external influences originating from the Indus Valley.,B
"A defendant was arrested and charged with arson, which in this jurisdiction is defined as the ""malicious or intentional burning of any structure or dwelling. "" When the defendant was arrested, he was inside a warehouse that was engulfed in flames. At the time he was apprehended, the police found in his possession a book of matches with four matches missing. At trial, the prosecution introduced the book of matches into evidence. Following closing arguments, and before the jury retired for deliberations, the judge gave instructions concerning the law of the case. The judge instructed the jury that it could infer the defendant's intent to set the fire based on the fact that four matches were missing from the matchbook. This instruction was specifically objected to by the defense counsel. The judge's jury instruction concerning the defendant's intent was","(A) proper, because it constituted a rebuttable presumption of fact.","(B) proper, because it constituted a permissible inference.","(C) improper, because the prosecution must prove each element of the crime beyond a reasonable doubt.","(D) improper, because the instruction shifts the burden of persuasion from the prosecution to the defendant defense.",B
 Select the best translation into predicate logic. Some animals are neglected by cruel people. (Ax: x is an animal; Cx: x is cruel; Px: x is a person; Nxy: x neglects y),(A) (∃x)[(Ax • Cx) • (∃y)(Py • Nyx)],(B) (∃x)[(Cx • Px) • (∃y)(Ay • Nxy)],(C) (∃x)[(Ax • Px) • (∃y)(Cy • Nxy)],(D) (∃x)(∃y){[(Ax • Cy) • Py] • Nxy)]},B
"A defendant was on the first day of her new secretarial job when her boss called her into his office. The boss directly suggested that if the defendant did not go out on a date with him, she would be fired in one week. Every day during the remainder of the week, the boss approached the defendant with his demand, and the defendant refused to cooperate. At the end of the week, when the boss called the defendant into his office and again tried to pressure her to go out on a date with him, the defendant knocked him unconscious with a giant stapler and choked him to death. The defendant is tried for murder. In accordance with the following statute, the state relies at trial on the presumption of malice:""When the act of killing another is proved, malice aforethought shall be presumed, and the burden shall rest upon the party who committed the killing to show that malice did not exist. ""If the defendant is convicted of first-degree murder and challenges her conviction on the grounds of the above statute, on appeal she will","(A) win, because the statute is unconstitutional.","(B) win, because the statute violates due process.","(C) lose, because she failed to overcome the presumption.","(D) lose, because the presumption may be rebutted.",B
"This question refers to the following information.This ruler of Syria made me spend many years as commander of his army,Every land to which I turnedI overcame.I destroyed its green fields and its wells,I captured its cattle, I took captive its inhabitants, I deprived them of their provisions,and I slew [many] people…by my sword, my bow, my marchings, and my good devices.Thus my excellence was in his heart; he loved me and he knew my valor;…he set me at the head of his sons, when he saw the success of my handiwork.There came a champion of Syriato defy me in my tent;a bold man without equal, for he had vanquished all his rivals.He said, ""Let Sanehat fight with me.""He thought to overcome me; he designed to take my cattle, thus being counseled by his tribe.The Tale of Sanehat, Egyptian poem written during the Middle Kingdom, ca.1800 B.C.E.The text of this passage is best seen as evidence of which of the following in Egyptian society?",(A) Meritocratic appointments by rulers to their bureaucracies,(B) Long-distance contact between Egypt and other lands,(C) The clan as the basic political unit,(D) A lack of emphasis on martial ability,B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I changed my small son's diaper whenever I felt like it. Scenario 2 | When I saw the thief running from the police, I stuck out my cane to trip the thief.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
"This question refers to the following information.""Thereupon it was declared by the above-mentioned representatives of the aforesaid King and Queen of Castile, Leon, Aragon, Sicily, Granada, etc., and of the aforesaid King of Portugal and the Algarves, etc.:[I.] That, whereas a certain controversy exists between the said lords, their constituents, as to what lands, of all those discovered in the ocean sea up to the present day, the date of this treaty, pertain to each one of the said parts respectively; therefore, for the sake of peace and concord, and for the preservation of the relationship and love of the said King of Portugal for the said King and Queen of Castile, Aragon, etc., it being the pleasure of their Highnesses, they, their said representatives, acting in their name and by virtue of their powers herein described, covenanted and agreed that a boundary or straight line be determined and drawn north and south, from pole to pole, on the said ocean sea, from the Arctic to the Antarctic pole. This boundary or line shall be drawn straight, as aforesaid, at a distance of three hundred and seventy leagues west of the Cape Verde Islands, being calculated by degrees, or by any other manner as may be considered the best and readiest, provided the distance shall be no greater than abovesaid. And all lands, both islands and mainlands, found and discovered already, or to be found and discovered hereafter, by the said King of Portugal and by his vessels on this side of the said line and bound determined as above, toward the east, in either north or south latitude, on the eastern side of the said bound provided the said bound is not crossed, shall belong to, and remain in the possession of, and pertain forever to, the said King of Portugal and his successors. And all other lands, both islands and mainlands, found or to be found hereafter, discovered or to be discovered hereafter, which have been discovered or shall be discovered by the said King and Queen of Castile, Aragon, etc., and by their vessels, on the western side of the said bound, determined as above, after having passed the said bound toward the west, in either its north or south latitude, shall belong to, and remain in the possession of, and pertain forever to, the said King and Queen of Castile, Leon, etc., and to their successors.""Treaty of Tordesillas, 1494Which of the following inferences best explains the reason the King and Queen of Castile and Aragon insisted on Spanish control of territory west of the demarcation line?",(A) The Spanish desired to convert the Barbary states to Catholicism.,(B) The Spanish believed Portugal did not know about their discovery of the New World.,(C) The Spanish wanted to preserve the independence of Native states in the New World as a buffer against Portuguese expansion.,(D) The Spanish thought India would be harder to conquer than the New World.,B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I attacked the homeowner. Scenario 2 | I ripped and tore up the paper from the gifts at the birthday party.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
"This question refers to the following information.In fact, the peculiar aggravation of the Cawnpore massacres was this, that the deed was done by a subject race — by black men who dared to shed the blood of their masters, and that of poor helpless ladies and children. Here we had not only a servile war, but we had a war of religion, a war of race, and a war of revenge, of hope, of national promptings to shake off the yoke of a stranger, and to re-establish the full power of native chiefs, and the full sway of native religions. Whatever the causes of the mutiny and the revolt, it is clear enough that one of the modes by which the leaders, as if by common instinct, determined to effect their end was, the destruction of every white man, woman or child who fell into their hands.British journalist William Howard Russell, My Indian Mutlny Diary, 1860Violence, it must be emphasized, was an essential component of the British presence in India. A dominant power is always uneasy with violence directed against it. The right to violence is, therefore, everywhere a privilege that authority enjoys and refuses to share with those under it: power always insists on violence as its exclusive monopoly. British rule in India, as an autocracy, had meticulously constructed a monopoly of violence. The revolt of 1857 shattered that monopoly by matching an official, alien violence by an indigenous violence of the colonized. The bodies of the British had acquired certain dignities in India that were predestined by birth and by the colour of their skin. This was the condition of their domination, of their superiority: rulers and ruled were arranged hierarchically as superior and inferior races, as civilized and uncivilized. And this superiority manifested itself by denying to the Indians a ""humanness""; by treating them and conceiving of them as animals.Rudrangshu Mukherjee, ""The Kanpur [Cawnpore] Massacres in India in the Revolt of 1857,"" 1990According to the second passage, the Cawnpore Massacre","(A) was justifiable according to local military custom, even if it violated Western military norms.",(B) can be viewed as a reaction to the systemic brute force with which the British governed India.,(C) should be praised as a brave patriotic blow against British colonial oppression.,(D) seems to have been the product of a well-organized and long-premeditated conspiracy.,B
"A man works at a tire warehouse, where his job duties consist of loading tires onto trucks. The job is exhausting, and the warehouse is always short of personnel. One day, while loading a heavy tractor tire onto a truck by himself, he experienced a sharp and excruciating pain in his lower back. He did not report the incident to his employer, but continued to work. A week later, after work, he went to the doctor for treatment. The man then sues his employer, alleging that the employer failed to provide him with adequate assistance, safety equipment, and training to load heavy tractor tires, thereby contributing to his injury. The employer alleges that the man is merely trying to obtain compensation for an old back injury, unrelated to his employment. At trial, the man's doctor testified that the man told her that his back began hurting while he was loading the tire on the truck. The doctor's testimony is",(A) admissible as expert testimony.,(B) admissible as a statement for the purposes of medical diagnosis.,(C) inadmissible as a violation of the physicianpatient privilege.,(D) inadmissible as hearsay not within any recognized exception.,B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | After school I went to the park to throw rocks at the ducks. Scenario 2 | I always try to tell the truth, even if it gets me in trouble.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
"In Hobbes’s view, to say something is good is to say that:",(A) it is conducive to human happiness.,(B) you desire it.,(C) most people desire it.,(D) most people ought to desire it.,B
The ________ School proposes that legal rules are unnecessary and are used as an obstacle by the powerful to maintain the status quo.,(A) Law and Economics,(B) Critical Legal Studies,(C) Historical,(D) Natural Law,B
Bentham claims that actions are right or wrong in virtue of:,(A) the motives behind them.,(B) their consequences.,(C) both a and b.,(D) neither a nor b.,B
"A 3-week-old baby, came down with a very high fever. The baby's pediatrician informed the mother that unless her son received immediate medical treatment, he would die. The mother objected on religious grounds. She claimed that it would be better for her son to die if that was his fate. The pediatrician sought an order from the state court. The mother was present with her lawyer at the court. In deciding whether it may issue such an order in face of all relevant constitutional defenses by the mother, which of the following must the state court consider?",(A) Whether medical treatment is necessary to save the baby's life.,(B) Whether the mother's refusal to authorize medical treatment is justified on the basis of current knowledge.,(C) Whether the hospital is owned and operated by the state.,(D) Whether the mother is a taxpayer of the state in which the court is located.,B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I listened carefully to the private conversation of the people behind me in class. Scenario 2 | I signed up for a volunteering slot and showed.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I took down the sign offering a big reward for the lost dog because I want the reward. Scenario 2 | I threw the ball to my friend, and she didn't catch it.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
 Kamm claims that Sandel's moral distinction between treatment and enhancement assumes that,(A) nature in itself has no moral value.,(B) nature is sacred and should be honored.,(C) human beings want enhancement more than they want treatment.,(D) there is no moral difference between treatment and enhancement.,B
" Fine asks us to consider an example in which a private club ""regularly arranges noisy late-night gatherings"" to show that",(A) private clubs can rightfully exclude outsiders.,(B) the actions of groups can affect members outside that group.,(C) there is no difference between an individual's and a group's freedom of association.,(D) all of the above,B
"For Plato, ordinary sensible objects exist and are knowable as examples or instances of Ideas or ""Forms"" that do not exist in our ordinary sensible world.  Forms do not exist in the sensible world because:","(A) in the sensible world only mathematical objects (e.g., triangles) can be known using hypotheses which are recollected when we are asked the right kinds of questions.","(B) unlike everything in the sensible world, Forms are not individual things but rather the universal essences or natures by which individual things are what they are and are known.","(C) nothing in the sensible, experienced world could exist or be identified as one particular thing or another unless there were a ""Sensible World"" Form (like the Form of beauty or justice).","(D) the sensible world consists of changing Forms that exist and are known in terms of other changing Forms, which in turn exist and are known in terms of yet others in an endless regress.",B
"A state assemblyman made a visit to a foreign country. To protest U. S. foreign policy, the assemblyman and the foreign country's leader issued a joint statement criticizing the United States' involvement in the political affairs of neighboring countries. Following the assemblyman's return to the United States, he was prosecuted under a federal criminal statute making it unlawful for any citizen not specifically authorized by the President to negotiate with a foreign government for the purpose of influencing the foreign government in relation to a dispute with the United States. The law further provides that ""any citizen who knowingly counsels, aids, or abets a foreign government in a dispute with the United States. . , shall, upon conviction. . . be punished by imprisonment for not more than five years or a fine of not more than $10,000, or by both fine and imprisonment. . . . ""Which of the following is the strongest constitutional basis for upholding the validity of the aforementioned federal statute?",(A) Federal criminal laws dealing with international affairs need not be as specific as those dealing with domestic affairs.,"(B) Under its enumerated powers, Congress may legislate to preserve the monopoly of the national government over the conduct of U. S. foreign affairs.","(C) The President's inherent power to negotiate for the U. S. with foreign countries authorizes him to punish citizens who engage in such negotiations without permission, even in the absence of statutory authorization.","(D) Article I, Section 8 of the Constitution grants Congress concurrent power with the President to regulate external affairs with foreign countries.",B
"According to the scripture that Butler discusses in Sermon One, human beings are:",(A) independent and autonomous individuals.,(B) all a part of one body.,(C) all a part of God.,(D) part of the animal kingdom.,B
 What does the Tripitaka mean?,(A) Three gems,(B) Three baskets,(C) Three bodhisattvas,(D) Three buddhas,B
Which of the following is not a hypothesis for why hominids walked on two legs?,(A) it freed the hands to carry things,(B) it allowed for braincase expansion,(C) it expended less energy than quadrupedalism for going long distances,(D) it allowed hominids to see greater distances,B
"This question refers to the following information.I walk alongside the column, ask what's going on.A soldier says simply: ""They call up more every day.""Some of us were sent north to the Yellow River at age fifteen,And now at forty we're heading off to the garrisons in the west.On our first tour, the village headman had to tie our bandannas for us.When we came back, our hair was white, but still there's more unrest.The frontier garrisons run with blood, enough to fill an ocean,But the Martial Emperor's territorial ambitions have yet to crest.In the hundred districts east of the mountains, throughout the land of Han,There must be ten thousand villages that brambles now infest.Even if wives are strong enough to handle a hoe and plow,The crops grow every which way, the fields are all a mess.It's hardest for the Shanxi men, with their reputations as fighters:They're rounded up like dogs or chickens, every male impressed.""But sir, though it's good of you to ask,Complaining isn't part of the soldier's task.We can only shake our heads. Take this winter:The Shanxi troops were never sent home.The District Officers are demanding the land tax,But where will it come from? You can't get blood from a stone!I honestly think it's bad luck to bear a son now,It's better to have a daughter: at least she can marryAnd live with the neighbors next door.But a son will end up lying on some distant prairie.""Du Fu, ""Ballad of the Army Carts,"" ca. 750 C.E.Based on the poem and your knowledge of history, Tang relations with western nomadic peoples and frontier peoples relied on which of the following?",(A) Adroit diplomacy and establishment of client relationships with bordering nomads,(B) The ability of the Tang emperor to project military power on the frontier in order to impose his will,(C) The permanent settlement of Han Chinese in frontier zones,(D) The payment of tribute to nomadic rulers,B
" Use the following key to translate the given formula of PL to natural, English sentences.A: Marina reads a Percy Jackson book.B: Izzy plays Minecraft.C: Emily stops working.D: Russell makes dinner.E: Ashleigh stops by.(~B • E) ⊃ D",(A) If it's not the case that both Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.,(B) If it's both not the case that Izzy plays Minecraft and Ashleigh stops by then Russell makes dinner.,(C) Izzy playing Minecraft and Ashleigh stopping by entails that Russell makes dinner.,(D) Russell's making dinner is a sufficient condition for Izzy not playing Minecraft and Ashleigh stopping by.,B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my neighbors flowers after we got into an argument. Scenario 2 | I put the dead man in the coffin and nailed it shut.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
"This question refers to the following information.""Wherever I go—the street, the shop, the house, or the steamboat—I hear the people talk in such a way as to indicate that they are yet unable to conceive of the Negro as possessing any rights at all. Men who are honorable in their dealings with their white neighbors will cheat a Negro without feeling a single twinge of their honor. To kill a Negro they do not deem murder; to debauch a Negro woman they do not think fornication; to take the property away from a Negro they do not consider robbery. The people boast that when they get freedmen affairs in their own hands, to use their own classic expression, 'the niggers will catch hell.'""The reason of all this is simple and manifest. The whites esteem the blacks their property by natural right, and however much they may admit that the individual relations of masters and slaves have been destroyed by the war and the President's emancipation proclamation, they still have an ingrained feeling that the blacks at large belong to the whites at large, and whenever opportunity serves they treat the colored people just as their profit, caprice or passion may dictate.""—Congressional testimony of Col. Samuel Thomas, Assistant Commissioner, Bureau of Refugees, Freedmen and Abandoned Lands, 1865To address the problems identified in Federalist #15, Hamilton proposed",(A) abandoning an isolationist approach to foreign policy and adopting a more aggressive and interventionist stance.,(B) adopting a new constitution in order to create a more national government.,(C) forging alliances with American Indian nations to present a united front to European powers.,(D) increasing spending on military forces and cutting spending on social programs.,B
"A plaintiff was seriously injured in a collision involving three trucks. A sideswipe occurred between the plaintiff's pickup truck and a trailer truck as they passed in opposite directions. The sideswipe caused the plaintiff's truck to careen down the road and into the path of a second trailer truck. The driver of the second trailer truck was immediately killed. Both of the trailer trucks were owned by the same transport company. At trial, the plaintiff called a witness to the collision to testify that he heard an unidentified female witness scream, ""Oh my God, that trailer truck sideswiped that little pickup truck. ""The trial judge should rule the witness's testimony",(A) admissible as a declaration of existing state of mind.,(B) admissible as an excited utterance.,"(C) inadmissible, because it contains inadmissible opinion evidence.",(D) inadmissible as hearsay not within any recognized exception.,B
"A certified airline pilot owned a single-engine Cessna plane. One afternoon, the pilot invited his girlfriend, to go flying with him. The girlfriend, who was scared of flying, reluctantly agreed. During the flight, the pilot decided to play a practical joke and shut off the plane's engine. When the plane went into a nosedive, the pilot said, ""Oh my God, we're going to crash. "" The girlfriend became panic- stricken and started screaming hysterically. A few seconds later, the pilot re-started the engine and said, ""Don't worry I was only joking. "" The plane landed safely and neither person was injured. If the girlfriend brings suit against the pilot for intentional infliction of emotional distress, she will probably","(A) recover, because a reasonable person would have been distressed by the pilot's actions.","(B) recover, because the pilot's conduct was extreme and outrageous.","(C) not recover, because the pilot intended his actions as a practical joke and, therefore, lacked sufficient intent for an intentional tort.","(D) not recover, because the girlfriend did not suffer any physical injury.",B
"Anscombe claims that on Sidgwick’s view, the badness of an action must be estimated in light of:",(A) its actual consequences.,(B) its expected consequences.,(C) whether it violates any duties.,(D) whether it violates divine law.,B
The Yang-shao culture gave way to the Lung-Shan sometime after:,"(A) 6,000 B.P.","(B) 5,000 B.P.","(C) 4,000 B.P.","(D) 3,000 B.P.",B
 Which of the following is not an example Aquinas gives of a self-evident proposition?,"(A) ""Every whole is greater than its part.""","(B) ""The light of Thy countenance, O Lord, is signed upon us.""","(C) ""Things equal to one and the same are equal to one another.""","(D) ""Man is a rational being.""",B
"An engineer signed a two-year contract to serve as the chief safety engineer for a coal mine at a salary of $7,000 per month. The position required the engineer to work underground each workday. After one week on the job, the engineer became very ill. He requested testing of the mine air system, which revealed the presence of a chemical agent to which the engineer had a rare allergic reaction. The engineer promptly quit. The coal mine then hired a qualified replacement for the remainder of the engineer's contract at a salary of $7,500 per month. Assume that no statute or regulation applies. If the coal mine sues the engineer for breach of contract, is the coal mine likely to recover damages?","(A) No, because an at-will employee has the right to terminate an employment contract.","(B) No, because the risk to the engineer's health excused his nonperformance of the contract.","(C) Yes, because the coal mine acted in good faith in mitigating the effect of the engineer's failure to finish the contract term.","(D) Yes, because the mine is reasonably safe for most people.",B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I put cleaner in the gas tank to make more money. Scenario 2 | I carried her onto a bed of roses.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
"A defendant was walking through a park when he decided to rob someone. He hid behind a tree, lying in wait for a victim to approach. Shortly thereafter, a girl was strolling in the park when the defendant suddenly jumped from his hiding place and accosted her. Although the defendant intended only to rob his victim, he punched her in the mouth and she fell to the ground. The defendant then grabbed her purse and fled. Unknown to the defendant, the girl suffered a fractured skull when her head struck the pavement. She subsequently died from her head injuries. Which of the following is the most serious crime for which the defendant can be found guilty?",(A) Murder.,(B) Felony murder.,(C) Involuntary manslaughter.,(D) Voluntary manslaughter.,B
Epictetus claims that things within our power are __________ and things not in our power are __________.,(A) free and unhindered; free and unhindered,(B) free and unhindered; servile and subject to hindrance,(C) servile and subject to hindrance; free and unhindered,(D) servile and subject to hindrance; servile and subject to hindrance,B
"This question refers to the following information.The following poem refers to an incident in Sharpeville, South Africa, in 1960. To protest the requirement that they carry papers documenting their identity and residence, black South Africans gathered in front of police stations without their papers. Though other protests ended peacefully, in Sharpeville, police fired into the crowd.What is importantabout Sharpevilleis not that seventy died:nor even that they were shot in the backretreating, unarmed, defencelessand certainty notthe heavy caliber slugthat tore through a mother's backand ripped through the child in her armskilling itRemember Sharpevillebullet-in-the-back dayBecause it epitomized oppressionand the nature of societyMore clearly than anything else;it was the classic eventNowhere is racial dominancemore clearly definednowhere the will to oppressmore clearly demonstratedWhat the world whispersapartheid declares with snarling gunsthe blood the rich lust afterSouth Africa spills dustRemember SharpevilleRemember bullet-in-the-back dayAnd remember the unquenchable will for freedomRemember the deadand be glad—Dennis Brutus, 1973What does the poet mean by ""what the world whispers""?",(A) The world is too afraid of South Africa to oppose apartheid.,(B) The world engages in subtler forms of discrimination.,(C) The world condemns South Africa’s discrimination.,(D) The world economy promotes South Africa’s discrimination.,B
"A defendant entered a bar and ordered a beer. The bartender politely told the defendant he would have to wait until two other patrons were served. The defendant became irate and pulled out a small penknife. Although the defendant intended only to frighten the bartender, he accidentally nicked the bartender's arm with the penknife. The bartender's arm became infected, and he died from gangrene two months later. The most serious crime that the defendant can be convicted of is",(A) battery.,(B) involuntary manslaughter.,(C) assault with a deadly weapon.,(D) murder.,B
"A large man with red hair robbed a liquor store. Thereafter, a defendant was arrested and charged with the armed robbery. At the defendant's trial, several eyewitnesses testified that they had seen a large redheaded man pull out a gun and rob the owner of the liquor store. The defendant appeared at trial with a shaven head. The prosecution calls a corrections officer to testify that the defendant had red hair when he was first brought to jail. The defendant's counsel objects. The trial judge should rule the correction officer's testimony",(A) admissible as a prior identification.,"(B) admissible, for the limited purpose of clarifying the discrepancy in the witnesses' testimony.",(C) inadmissible as hearsay not within any recognized exception.,"(D) inadmissible, because it is opinion testimony.",B
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poked holes in all the condoms at the drugstore. Scenario 2 | I bit into the cooked animal flesh.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",B
 Which of the following is the term used to refer to a stage in prenatal development which in humans begins at roughly the second week of pregnancy and lasts until roughly the eighth week?,(A) fertilization,(B) fetal stage,(C) embryonic stage,(D) viability,C
"Zhuangzi describes a state as ziran, which means which of the following?",(A) Thoughtfulness,(B) Non-action,(C) Spontaneity,(D) Meditation,C
A state initiated a criminal prosecution against the owner of a video store for selling a video that consisted entirely of pictures of nude sunbathers on a beach in a foreign country where nude public sunbathing is common. The state charged that selling the video violated its anti-obscenity law. The store owner defended on the ground that the prosecution violated his constitutional right to freedom of speech. Should the store owner prevail in this defense?,"(A) No, because the store owner is engaged in the commercial sale of the video, which is not protected by the First and Fourteenth Amendments.","(B) No, because the video consists entirely of portrayals of nudity, appeals to the prurient interest of viewers, and lacks serious social value as a whole.","(C) Yes, because mere portrayals of nudity are insufficient to justify a finding that the video is obscene as a matter of constitutional law.","(D) Yes, because the portrayals of nudity occurred outside the United States, and therefore the state lacks a compelling interest in applying its anti-obscenity law to the sale of the video.",C
"According to Socrates, an unexamined life is not worth living; and it certainly could not be a virtuous life.  Why not?","(A) Because if someone did not know how to act virtuously, he or she would still be considered virtuous by others who also did not know the principles for good living.","(B) Because since Socrates was a philosopher, he of course thought that people who examined their lives philosophically were more virtuous than those who did not.","(C) Because without knowing the rationale for why one should act in a particular way, one does not know whether actions are justified and ought to be repeated.","(D) Because a virtuous life would be one in which someone does what the rest of the society says is right, and that means examining views other than one's own.",C
"This question refers to the following information.I am of opinion that the principal and true profession of the Courtier ought to be that of arms; which I would have him follow actively above all else, and be known among others as bold and strong, and loyal to whomsoever he serves. . . .I would have him well built and shapely of limb, and would have him show strength and lightness and suppleness, and know all bodily exercises that befit a man of war; whereof I think the first should be to handle every sort of weapon well on foot and on horse, to understand the advantages of each, and especially to be familiar with those weapons that are ordinarily used among gentlemen. . . .Our Courtier then will be esteemed excellent and will attain grace in everything, particularly in speaking. . . .I would have him more than passably accomplished in letters, at least in those studies that are called the humanities, and conversant not only with the Latin language but with the Greek, for the sake of the many different things that have been admirably written therein. Let him be well versed in the poets, and not less in the orators and historians, and also proficient in writing verse and prose, especially in this vulgar [vernacular] tongue of ours. . . .You must know that I am not content with the Courtier unless he be also a musician and unless, besides understanding and being able to read notes, he can play upon divers instruments. . . .I wish our Courtier to guard against getting the name of a liar or a boaster, which sometimes befalls even those who do not deserve it.—From Baldassare Castiglione's Book of the Courtier, 1528Which of the following skills that Castiglione recommends for a courtier would be valued LEAST by a European gentleman at the end of the twentieth century?",(A) Expertise with multiple languages,(B) Being strong and attractive,(C) Expertise with many kinds of weapons,(D) Ability to write poetry and prose,C
The Jataka tales are a collection of which genre of stories?,(A) Life stories,(B) Warrior stories,(C) Birth stories,(D) Hero stories,C
"The pharaoh ruled a population of ________, of which _________ were farmers.","(A) 100,000; 25%","(B) 1,000,000; 50%","(C) 3,000,000; 75%","(D) 5,000,000; 100%",C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I often sell used books online that I found on my bookshelf. Scenario 2 | I scratched her wound.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",C
" On McGregor's view, our rights carve out",(A) what we are free to do.,(B) the domain of our community.,(C) the domain of our personal identity.,(D) all of the above.,C
"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)E ⊃ (F ∨ ~G)F ⊃ (~E ∨ ~G) / ~(E ≡ F)",(A) Valid,"(B) Invalid. Counterexample when E, F, and G are true",(C) Invalid. Counterexample when E and F are true and G is false,"(D) Invalid. Counterexample when E, F, and G are false",C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | The lesson at school tomorrow is about sharing, so I'll make sure my kids don't miss it. Scenario 2 | I called a foul because I didn't like the player.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",C
"During an ice storm, a man's car slipped down an embankment and became lodged against a large tree. The man called a towing company and told the company's manager that the car was 100 feet down the embankment. ""That's lucky,"" said the manager, ""because our winch only goes 100 feet."" After the manager and the man agreed on a price, an employee of the company attempted to reach the car but could not because the car turned out to be 120 feet down the embankment. Is the towing company's performance excused on the grounds of mistake?","(A) No, because both parties were uncertain about the distance.","(B) No, because the towing company assumed the risk by the manager's failure to examine the distance himself.","(C) Yes, because at the time of contracting, both parties were mistaken about a basic assumption on which the contract was based.","(D) Yes, because the agreement did not allocate the risk of mistake to either party.",C
 The kshatriyas is the caste name assigned to which group?,(A) Priests,(B) Servants,"(C) Rulers, warriors",(D) Merchants,C
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | As a mom, all I care about is that my daughter is safe. Scenario 2 | I started a fire at the neighbors house.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",C
