question,A,B,C,D,answer
Menstruation is triggered by...,(A) ...a sharp increase in estrogen levels,(B) ...a sharp increase in progesterone levels,(C) ...a sharp decrease in estrogen and progesterone levels,(D) ...a sharp increase in estrogen and progesterone levels,C
"The gland sometimes referred to as the ""master gland,"" which regulates much of the action of the other endocrine glands is called the",(A) thyroid gland,(B) pancreas,(C) pituitary gland,(D) adrenal gland,C
"Although a man watched in horror as his wife and children were killed by a speeding truck as they crossed the street, he has no memory of the event and gets upset when people tell him he must remember. The man is most likely suffering from",(A) panic disorder,(B) post-traumatic stress disorder,(C) dissociative amnesia,(D) bipolar disorder,C
"If an estimator is said to be consistent, it is implied that","(A) On average, the estimated coefficient values will equal the true values",(B) The OLS estimator is unbiased and no other unbiased estimator has a smaller variance,(C) The estimates will converge upon the true values as the sample size increases,(D) The coefficient estimates will be as close to their true values as possible for small and large samples.,C
A psychologist is asked to see a 10-year-old child for counseling in a school setting. Which of the following statements describes the best way for the psychologist to meet the prescribed ethical responsibility,(A) The child provides verbal assent to participate in therapy,(B) Both the parent(s) and the child provide written consent to therapy for the child,(C) The parent(s) provide(s) written consent and the child assents verbally to participate in therapy,(D) The parent(s) provide(s) written and verbal consent to therapy for the child,C
Most people who are suicidal are more dangerous to themselves,(A) during the first few days after starting antidepressant medication,(B) just before beginning antidepressant medication,(C) as they begin to recover from their depression,(D) when the onset of the depression is rapid,C
The major difference between job enrichment and job enlargements thar job enrichment,(A) provides management with tighter control of work activities,(B) appeals mostly to workers in mass-production-type jobs,(C) gives workers quasi-managerial tasks to perform,(D) lengthens the work cycle,C
"The price of labor is $2, and the price of capital is $1. The marginal product of labor is 200, and the marginal product of capital is 50. What should the firm do?",(A) Increase capital and decrease labor so that the marginal product of capital falls and the marginal product of labor rises.,(B) Increase capital and decrease labor so that the marginal product of capital rises and the marginal product of labor falls.,(C) Decrease capital and increase labor so that the marginal product of capital rises and the marginal product of labor falls.,(D) Decrease capital and increase labor so that the marginal product of capital falls and the marginal product of labor rises.,C
Which of the following statements is the odd one out?,"(A) Institutions that facilitate the reproduction of cultural values, such as churches and schools, can be used to control and strengthen those cultural values.",(B) Political-nationalist strategies can be employed by the state to boost nationalist interests.,(C) Engagement of military forces to expel certain social groups from within a state.,(D) Secession allows a societal group to withdraw from a larger entity where it may be under threat from dilution or destruction.,C
Which of the following is an example of expansionary monetary policy for the Federal Reserve?,(A) Increasing the discount rate,(B) Increasing the reserve ratio,(C) Buying Treasury securities from commercial banks,(D) Lowering income taxes,C
Which of the following statements is positive?,(A) An economy that produces more butter than guns is better off than an economy that produces more guns than butter.,(B) Nations should concentrate their resources on producing wholesome consumer goods as opposed to the weapons of war.,(C) The production possibilities frontier is concave to the origin because of the law of increasing costs.,(D) Nations ought to devote at least some of their resources to national defense.,C
Erikson's initiative versus guilt stage is most closely related to Freud's,(A) oral stage.,(B) anal stage.,(C) phallic stage.,(D) latency period.,C
Which of the following types of data involves counting the number of occurrences of a behavior observed during a specified time period?,(A) Duration recording,(B) Latency recording,(C) Event recording,(D) Whole-interval recording,C
The American flag is an example of a,(A) stereotype,(B) semantic device,(C) symbol,(D) message,C
Suppose that the value of $R^2$ for an estimated regression model is exactly zero. Which of the following are true?i) All coefficient estimates on the slopes will be zeroii) The fitted line will be horizontal with respect to all of the explanatory variablesiii) The regression line has not explained any of the variability of y about its mean valueiv) The intercept coefficient estimate must be zero.,(A) (ii) and (iv) only,(B) (i) and (iii) only,"(C) (i), (ii), and (iii) only","(D) (i), (ii), (iii), and (iv)",C
Fetishism typically develops at the age of:,(A) 30 through 50,(B) at birth,(C) 10 through 20,(D) 20 through 30,C
"Benny is the head of a successful corporation. After a hard day at work during which he is under incredible pressure to perform well, he goes home to his wife who proceeds to spank him, tie him to their four poster bed, and tease him until he begs for intercourse. According to psychological theory, what is the most likely reason Benny finds this alluring?","(A) As a child be became sexually aroused pretending to be a powerful executive, so he now becomes aroused at work and must discharge this when he gets home.",(B) He is overcome with feelings of self doubt and his sadomasochistic behaviour allows him a safe outlet for that self doubt.,"(C) He is overwhelmed with pressures and responsibilities at work, and the masochistic behaviour allows him to escape from being an autonomous, separate individual.",(D) He is secretly fascinated by violence and engaging in sadomasochistic behaviour is a relatively safe outlet for it.,C
"According to Kohlberg, in order to reason at the postconventional level, people must",(A) be generous.,(B) believe in God.,(C) be able to take another person's perspective.,(D) have had a successful resolution of the integrity versus despair stage.,C
Recessions,(A) are a thing of the past.,(B) are very severe depressions.,(C) are marked by a sustained decline in output.,(D) are regular occurrences in capitalist economies.,C
Which of the following is not among the methods unions use to increase wages?,(A) Negotiations to obtain a wage floor,(B) Restrictive membership policies,(C) Efforts to decrease the prices of substitute resources,(D) Featherbedding or make-work rules,C
"In some circumstances, it is proposed chat heredity determines the timing and general nature of a behavior, bur thar environmental experiences at a critical time determine the specific stimulus-response connection which is learned. This form of learning is called",(A) critical learning,(B) maturation,(C) imprinting,(D) social learning,C
"When Jared saw shadows of people on the walls of his bedroom, his blood pressure increased and his breathing rate sped up. These physical reactions were most directly regulated by his",(A) sensorimotor system,(B) somatic nervous system,(C) sympathetic nervous system,(D) pineal gland,C
"Maria, a bright high school student, fears success. To which of the following colleges would she most likely apply?","(A) Harvard, Stanford, and the local community college","(B) Stanford, Oxford, and the most competitive state college in her state",(C) the local community college and distant community colleges,"(D) Harvard, Yale, and Stanford",C
A decrease in the price of a particular product will result in,(A) an increase in demand.,(B) a decrease in demand.,(C) an increase in the quantity demanded.,(D) a decrease in the quantity demanded.,C
Kevin wants shoes and grows turnips. Lisa wants turnips and makes sheet metal. Bob wants sheet metal and makes shoes. Which function of money will cater most directly to the situation at hand?,(A) Store of value,(B) Unit of account,(C) Medium of exchange,(D) Means of deferred payment,C
The best conclusion that can be drawn about the four-day ( compressed) workweek is that it has:,(A) long-lasting positive effects on attitudes and productivity.,(B) long-lasting negative effects on attitudes and productivity.,(C) positive effects on attitudes but little or no impact on productivity.,"(D) positive effects on attitudes initially but, over time, increasingly negative effects on both attitudes and productivity.",C
"The idea that war is ""the continuation of politics by other means"" helps to capture",(A) diplomacy is the quietest instrument of influence in global politics.,(B) the way political parties fight with each other.,(C) the idea that governments use their military to help pursue policy goals.,(D) the way Democrats and Republicans differ over the war in Iraq.,C
"A student participant in a research study involving matched pairs decides to withdraw from the study. The chief investigator (who is a licensed psychologist) stresses to the student the importance of the student’s data to the study, but he insists that his data be withdrawn. The investigator should:",(A) warn the student that withdrawal from the study will affect his course grade.,(B) remind the student that he signed an informed consent and cannot now request that his data be withdrawn.,(C) tell the student that his name will be removed from all data and include his data in the study.,(D) allow the student to withdraw from the study.,D
Which of the following best describes the Supreme Court's doctrine of incorporation?,"(A) Although the Constitution empowers the federal government to regulate international trade, states may establish boycotts of goods imported from countries that use child labor.","(B) While the Congress creates laws, and the executive branch enacts and enforces those laws, only the Supreme Court may decide which laws and executive actions are unconstitutional.","(C) The Fifth Amendment guarantees that an individual may not be deprived of life, liberty, or property without due process, and this protection provides a legal justification for those who do not wish to serve on a jury.","(D) The Bill of Rights articulates certain rights in order to protect individuals from the federal government, and the Fourteenth Amendment extends most of those rights to protect individuals from the state governments as well.",D
Which of the following is true about the use of deception in a research study that may cause participants pain?,(A) Deception is acceptable in studies that may cause pain only when the use of pain is justified by the study’s potential value.,(B) Deception is acceptable in studies that may cause pain only when there are no alternative methods for conducting the study.,(C) Deception is prohibited when the pain is physical but not when it is psychological in nature.,(D) Deception is prohibited whether the pain is physical or psychological in nature.,D
In what ways does the perspective on terrorism influence the response a government will take?,"(A) Within the disease prescription, reform packages become part of the government response to reduce the appeal of the terrorist group within the population. However, reforms may encourage terrorists to continue their violent activities because they are being rewarded. Under these conditions reforms may become concessions that fuel the violence rather than a mechanism for ending it. It is also clear that reforms may not eliminate the presence of terrorism.","(B) Contemporary responses to terrorism have been taken within the context of the war on terror analogy, in which the norms of retaliation and punishment prevail. Implicit within this view is the justification for pre-emptive action taken against training facilities, headquarters, sources of funding, and even the assassination of key individuals.","(C) Whilst the warfare analogy presumes deterrence at times, deterrence is more central to a justice system. The extent of pre-emption available in a normal criminal context is the detention of suspects or judicial harassment.","(D) All of these options. Responses to terrorist attacks vary either explicitly or implicitly, if warfare is seen as warfare, crime, or disease.",D
The Vietnam War can be understood as,(A) a war that deeply divided the United States and fostered cynicism toward the American government.,"(B) an example of the doctrine of containment, because U.S. involvement was designed to prevent the fall of South Vietnam to the communists.",(C) an example of how even a great power may not be able to prevail against a determined enemy unless there is a clear objective and the national will to do so.,(D) All of the above are true.,D
Which of the following will shift the demand curve for the Mexican peso to the left?,(A) Speculation that the peso will increase in value,(B) An increase in interest rates in Mexico relative to other countries,(C) A lower rate of inflation in Mexico relative to other countries,(D) A decrease in the international demand for Mexican-made textiles,D
Which of the following is NOT one of the 3 forms of violence identified by postcolonialism?,(A) Material violence.,(B) Epistemic violence.,(C) Structural violence.,(D) Pervasive violence.,D
"As an experiment, a group of newborn kittens was allowed to see through only one eye at a time. Each day one of the eyes would be covered, switching between the two eyes on subsequent days. Which of the following best describes the visual limitations experienced by these cats as adults?",(A) They were unable to make use of interposition depth perception.,(B) They were unable to maintain perceptual constancy.,(C) They were unable to distinguish left from right monocular cues.,(D) They were unable to use binocular cues for depth perception.,D
In a command economy,(A) the market dictates the answers to the fundamental economic questions.,(B) competition helps answer the fundamental economic questions.,(C) state and local governments respond to the fundamental economic questions.,(D) the central government dictates the answers to the fundamental economic questions.,D
A large node of office and commercial land use outside the central city with more jobs than residents is a(n),(A) suburb.,(B) primate city.,(C) town.,(D) edge city.,D
"When the Founders met in 1787 to write the Constitution, their primary objective was to",(A) establish a bill of rights that would protect citizens from the government,(B) create a national court system for hearing disputes between citizens of different states,(C) return to the states those powers that the Articles of Confederation had given to the central government,(D) replace the weak central government created by the Articles of Confederation with a stronger one,D
Wayne W. tells Dr. Pete Pannick that his partner is threatening to harm Dr. Panniclc because he's not happy with the advice that Wayne is getting in therapy. Dr. Panniclc knows that Wayne's partner has engaged in violent behavior in the past and believes the threat is serious. Dr. Panniclc:,(A) should continue to see Wayne in therapy and ask Wayne to bring his partner to the next session to discuss the situation.,"(B) should continue seeing Wayne in therapy but, with his permission, contact the police to discuss the threat.",(C) may terminate therapy with Wayne but only after providing him with pre-termination counseling and appropriate referrals.,(D) may terminate therapy with Raymond.,D
Which of the following defines a Revolution in Military Affairs?,(A) A coup in which established leaders are ousted by an internal military force.,(B) A wholesale shift in the way warfare is conducted and understood.,"(C) A watershed in technological advancement, such as the creation of nuclear weaponry.",(D) A watershed in technological advancement which alters the fundamental characteristics of war.,D
The GDP Deflator differs from the CPI in that the GDP Deflator,(A) is thought to slightly overestimate the inflation rate,(B) uses base year quantities in its calculations,(C) incorporates both current year prices and base year prices,(D) incorporates current year quantities in its calculations,D
"Dahrendorf, Rex, and Habermas focused their attention on:",(A) social solidarity and cohesion,(B) the interpretive understanding of action,(C) women's experiences and gendered knowledge,"(D) power, domination, and conflict",D
Which of the following interventions is most effective at facilitating the education of gifted students?,(A) Using heterogeneous grouping to allow gifted students to strengthen social skills and grow academically,(B) Assigning independent research projects within the framework of the curriculum,(C) Implementing cooperative learning to encourage gifted students to work up to their ability,"(D) Providing acceleration for gifted students, especially within the areas of their interests and skills",D
Milgram's obedience study was criticized based on what ethical grounds?,(A) lack of informed consent,(B) nonrandom sampling procedures,(C) violation of anonymity,(D) risk of psychological harm,D
"Sal meets Petunia for the first time. She is outgoing and funny. He walks away with the opinion that Petunia is a fun person, whereas in actuality Petunia is temporarily gleeful because she just won the lottery. Sal's opinion that Petunia is funny is best explained by",(A) the mere-exposure effect.,(B) self-serving bias.,(C) equipotentiality.,(D) the fundamental attribution error.,D
Which one of the following statements best describes a Type II error?,(A) It is the probability of incorrectly rejecting the null hypothesis,(B) It is equivalent to the power of the test,(C) It is equivalent to the size of the test,(D) It is the probability of failing to reject a null hypothesis that was wrong,D
"On the basis of his investigation of the relationship between affiliation and anxiety, Schachter concluded that which of the following best accounted for the desire of high-anxiety research participants to wait with other high-anxiety participants?",(A) demand characteristics,(B) evaluation apprehension,(C) relief from discomfort,(D) social comparison,D
Operating in the intermediate range of the aggregate supply curve an increase in aggregate demand results in an increase in,(A) price level only,(B) real GDP only,(C) neither price level nor real GDP,(D) price level and real GDP,D
Dr. Ryan is a psychotherapist in a small town. She receives a phone call from a man she was sexually involved with several years ago. The relationship lasted only three months and ended amicably. The man is now married and is having problems unrelated to their past relationship. He has called to see if he can begin seeing Dr. Ryan in therapy. Dr. Ryan should:,(A) see the man only if she determines that their past relationship will not interfere with her objectivity.,(B) see the man only if their relationship ended more than two years ago and she determines that it will not interfere with her objectivity.,(C) see the man but discuss the potential for conﬂicts with him before beginning treatment.,(D) refer the man to a colleague.,D
Which of the following information about publications does the Audit Bureau of Circulation NOT provide?,(A) Circulation,(B) Distribution,(C) Traffic,(D) Readership,D
What kind of personality theorist would be most interested in the results of the MMPI?,(A) psychoanalytic,(B) humanistic,(C) behaviorist,(D) trait,D
Studies into the etiology of Schizophrenia indicated a genetic predisposition to the condition but other factors are involved. From your knowledge of the subject identify which of the following statements is incorrect.,(A) Excess dopamine or sensitivity to dopamine could be a contributory factor.,(B) White patients are more symptomatic.,(C) Remission from the condition in the Third World is 65%.,(D) A lower rate of Schizophrenia diagnosed among Africa Americans.,D
"Although Jen is a very bright four-year-old, she doesn't think her mother's sister has any sisters. This lack of understanding reflects",(A) conservation,(B) introspection,(C) transposition,(D) egocentrism,D
"For Kohlberg, morality:",(A) Develops independent of outside influence,(B) Cannot be rationalized in every instance,(C) Is independent from emotion,(D) Shows a logical progression from egocentric thought to broad moral principles,D
In the equation of exchange,(A) M stands for the money supply and Q stands for quality.,(B) V stands for the velocity of GDP and Q stands for quality.,(C) P stands for the price level and Q stands for quarter.,(D) P stands for the price level and V stands for the velocity of money.,D
Of the following choices the most direct exchange in the circular flow model of a private closed economy is when,(A) households provide goods to firms in exchange for wage payments.,(B) households provide resources to firms in exchange for goods.,(C) households provide revenues to firms in exchange for wage payments.,(D) firms supply goods to households in exchange for revenues.,D
Which of the following goods is likely to provide both the largest total utility and the smallest marginal utility?,(A) Plastic,(B) Automobiles,(C) Computers,(D) Air,D
"Congress has embarked on another round of expansionary fiscal policy to boost employment and get reelected. As chair of the central bank how would you reduce the ""crowding-out"" effect and what macroeconomic problem might your policy exacerbate?",(A) Increase the reserve ratio risking the devaluation of the dollar,(B) Sell government securities risking inflation,(C) Buy government securities risking a recessionary gap,(D) Lower the discount rate risking inflation,D
Which is NOT a contributor to individual differences in the development of vocal language skills?,(A) Variation in the support for language acquisition in the social environment,(B) Hearing loss,(C) The quality of nonparental early care and education experiences,(D) The particular native language in a child’s environment,D
Which of the following questions best frames the nature-nurture controversy?,(A) To what degree is human behavior a result of free will versus determinism?,(B) To what degree do external conditioning stimuli override individual loci of focus in regard to human behavior?,(C) To what degree does the human capacity to nurture its young parallel other species in nature?,(D) To what degree do inborn biological processes versus environmental events determine human behavior?,D
Total spending,(A) is all of the spending done by all of the households in a nation.,(B) slopes downward because less spending occurs when prices rise.,(C) slopes downward because less spending occurs when income falls.,(D) slopes upward because more household spending occurs when income rises.,D
A child with an insecure/anxious-avoidant pattern of attachment:,(A) is very distressed when separated from his/her mother and continues to be highly anxious when she returns.,(B) is more anxious when his/her mother is present than absent and resists contact with her when she returns following separation.,(C) is very distressed when separated from his/her mother but pulls away from her when she returns.,(D) shows little distress when separated from his/her mother and turns away from her when she returns.,D
Which of the following structures is located at the most central and protected part of the brain?,(A) somato-sensory cortex,(B) cerebellum,(C) cerebral cortex,(D) medulla,D
Which of the following is the best summary of Stanley Schacter's two-factor theory of emotion?,"(A) An external event causes us to experience a specific emotion, and this emotion triggers certain physiological changes to occur.","(B) When our body responds to an external event, our brain interprets the biological changes as a specific emotion.","(C) Each person follows a predictable pattern of changes in response to stress, including alarm, resistance, and exhaustion.",(D) A combination of psychological changes and our cognitive interpretations combine to produce our emotional experiences.,D
Which of the following items below is an absolute location?,(A) 10 miles east of Pittsburgh,(B) Washington,(C) 3 degrees south,"(D) 479 Elm Street, Muncie, Indiana",D
The 'demographic transition' is a social trend that involves:,"(A) a reduction in population size, caused by a higher rate of emigration than immigration",(B) a change in the principal causes of death and disease since industrialization,"(C) increased birth and death rates, resulting in a relatively young population","(D) a decline in the birth rate, greater life expectancy, and an ageing population",D
Which of the following are possible constraints on US foreign policy decision making?,(A) Foreign policies of other states,(B) International law,(C) Intergovernmental organizations,(D) All of the above,D
Which of the following may be consequences of one or more of the CLRM assumptions being violated?i) The coefficient estimates are not optimalii) The standard error estimates are not optimaliii) The distributions assumed for the test statistics are inappropriateiv) Conclusions regarding the strength of relationships between the dependentand independent variables may be invalid.,(A) (ii) and (iv) only,(B) (i) and (iii) only,"(C) (i), (ii), and (iii) only","(D) (i), (ii), (iii), and (iv)",D
"Dr. Harold Hanson, a psychologist who heads the personnel committee at a mental health facility, recommends that a psychologist who has an unresolved charge of sexual harassment against him not be considered for a promotion. In terms of his ethical responsibilities, Dr. Hanson:",(A) has acted ethically since sexual harassment is explicitly prohibited by the ethical guidelines.,(B) has acted ethically as long as he is willing to consider the psychologist for promotion if he is acquitted of the harassment charge.,(C) has acted ethically as long as his decision is consistent with the stated promotion policy of the mental health facility.,(D) has acted unethically by violating the requirements of the ethical guidelines regarding employment procedures.,D
Which of the following is a typical characteristic of financial asset return time-series?,(A) Their distributions are thin-tailed,(B) They are not weakly stationary,(C) They are highly autocorrelated,(D) They have no trend,D
The cabbages you grow in your summer garden are,(A) counted in GDP under C.,(B) counted in GDP under I.,(C) counted in GDP but not NDP.,(D) not counted in GDP.,D
Which of the following might be considered part of the 'deepening and broadening' of security?,(A) The nexus between identity and security.,"(B) War, the military, and the sovereign state.",(C) Environmental changes.,(D) All of these options.,D
"If the perfectly competitive price is currently above minimum ATC, we can expect which of the following events in the long run?",(A) Price rises as firms enter the industry.,(B) Market equilibrium quantity rises as firms exit the industry.,(C) Nothing. The industry is currently in long-run equilibrium.,(D) Price falls as firms enter the industry.,D
"How have the World Bank and International Monetary Fund, as international financial institutions (IFIs), affected the development of poorer countries?",(A) Financial policies advocated by the World Bank and IMF were readily adopted by developing countries that sought to bring their economic development into line with wealthier nations. The IFIs focus has been on achieving human security and the promotion of development at a societal level.,"(B) Through the implementation of specific financial policies adopted at the bequest of global financial institutions, many developing countries have gained economic prosperity and the correlating levels of human security.","(C) The World Bank and IMF tend to operate in an economic arena that includes only major financial institutions and wealthy states; coupled with a respect for sovereignty, the scope of such institutions does not reach to interference in national politics.","(D) IFIs identified the economic failings of developing countries as being the result of political problems. Thus, IFIs adopted an approach that involved political and economic restructuring of these states, coercing governments into the adoption of specific financial policies designed to promote debt repayment and economic development.",D
Psychogenic amnesia is an indication of which kind of psychological disorder?,(A) schizophrenic,(B) anxiety,(C) mood,(D) dissociative,D
Standardized tests are,(A) any examination given by your state or country,(B) all examinations with exactly the same directions,"(C) tests with norms, which indicate average, high, and low scores for the test",(D) tests for which a person's performance can be compared with a pilot group,D
Avalon had a wild time during spring break. Unfortunately the guy she hooked up with in Palm Beach had genital herpes. Which of the following is true about genital herpes?,(A) Avalon could not contract genital herpes from performing fellatio (oral-genital sex) on the guy.,(B) If Avalon contracted genital herpes she can be cured with antibiotics if administered immediately after the first occurrence.,(C) If Avalon contracted genital herpes she will only be contagious when she has a break out.,(D) none of the above,D
