Question Number,MetaTemplateID,Domain,ItemGroupID,ContextDiff,ContextNum,Context,Question,Correct Answer
463,35,social-relations,116.0,variable swap,2,Yan collects money from Chao.,Is Yan Chao's tenant?,No
219,21,social-relations,55.0,antonym,2,Yan has a lot of power over Chao.,Is Chao Yan's colleague?,No
403,34,social-relations,101.0,variable swap,2,Yan collects rent from Chao.,Is Chao Yan's landlord?,No
766,88,agent-properties,192.0,antonym,2,Chao enjoys playing football less than playing pool.,Does Chao choose football over pool?,No
147,27,physical-interactions,,antonym,2,The wheel is taking a hit from the nail.,Is the wheel colliding with the nail?,No
74,20,agent-properties,19.0,other,2,Chao's phone is touching the wheel.,Does Chao feel the wheel?,No
3,1,material-dynamics,1.0,material,2,Chao sees something that is liquid.,Can Chao fold it?,No
26,7,material-properties,,antonym,1,Chao squeezed the wheel. It changed its shape.,Is the surface of the wheel hard?,No
119,32,agent-properties,30.0,antonym,1,"Chao recently saw the wheel inside the shop. Earlier, Chao saw the wheel inside the zoo.",Does Chao doubt that the wheel is in the shop?,No
99,9,physical-relations,,antonym,2,"If Chao moves the truck, the airplane will remain in its place.",Does the truck contain the airplane?,No
26,3,physical-relations,,variable swap,1,The bed occupies less space than the truck.,Is the truck smaller than the bed?,No
78,20,material-properties,,antonym,1,"Chao dropped the wheel, and saw it jumping off the floor.",Is the wheel not bouncy?,No
75,15,social-interactions,19.0,antonym,2,Chao is providing Yan with accurate information.,Is Chao deceiving Yan?,No
190,48,material-dynamics,48.0,material,1,Chao sees something that is rigid.,Can Chao stir it?,No
175,14,social-relations,44.0,antonym,2,Chao has little power over Yan.,Is Yan Chao's subordinate?,No
58,5,physical-interactions,,antonym,1,The nail is moving closer to the magnet.,Is the magnet repelling the nail?,No
18,3,spatial-relations,,antonym,1,The wheel is in front of Chao. Chao turns right.,Is the wheel to the right of Chao?,No
682,85,agent-properties,171.0,antonym,2,Chao is more hesitant to meet with Yan than with Ali.,Does Chao make less effort to interact with Ali than with Yan?,No
90,5,physical-relations,,other,1,The bed is inside the truck.,Does the truck support the bed?,No
407,78,agent-properties,102.0,antonym,1,Chao is less hesitant to play football than to play pool.,Does Chao make less effort to play football than to play pool?,No
186,35,physical-interactions,,negation,1,"In a moment, the wheel will not be in the same place.",Is Chao touching the wheel?,No
7,2,social-properties,2.0,antonym,2,Chao insulted Yan.,Is Chao friendly?,No
34,2,physical-interactions,,variable swap,1,The nail and the wheel are touching. The nail is much colder than the wheel.,Is the nail heating the wheel?,No
335,68,agent-properties,84.0,negation,1,Chao is trying to win a game of football.,Does Chao make no effort to play football?,No
199,16,social-relations,50.0,other,2,Chao gives orders to Yan.,Is Chao Yan's colleague?,No
130,13,spatial-relations,,antonym,1,The wheel is south of Chao. Chao reaches the wheel and continues to move straight ahead.,Is the wheel south of Chao?,No
546,45,social-relations,137.0,antonym,1,Chao disciplines Yan.,Is Yan Chao's parent?,No
43,11,social-relations,11.0,antonym,2,Chao gets orders from Yan.,Is Chao Yan's boss?,No
107,12,social-relations,27.0,variable swap,2,Yan is Chao's employer.,Is Yan Chao's subordinate?,No
54,12,quantitative-properties,,other,1,"There are six staplers in total, and Chao has nothing.",Does Chao have some of the staplers?,No
94,24,material-properties,,antonym,1,Chao exerts significant force to hold the wheel.,Is the wheel light?,No
474,37,social-relations,119.0,other,1,Chao collects rent from Yan.,Is Chao Yan's roommate?,No
95,24,material-properties,,antonym,2,Chao exerts little force to hold the wheel.,Is the wheel heavy?,No
667,85,agent-properties,167.0,variable swap,1,Chao is more hesitant to meet with Ali than with Yan.,Does Chao make less effort to interact with Yan than with Ali?,No
179,14,social-relations,45.0,variable swap,2,Yan has a lot of power over Chao.,Is Yan Chao's subordinate?,No
74,19,material-properties,,antonym,1,The wheel's temperature is lower than Chao's hand'.,Is the surface of the wheel warm?,No
2,1,physical-dynamics,,negation,1,The speck on the wheel is rotating.,Is the wheel sliding?,No
19,5,social-properties,5.0,antonym,2,Chao is unreliable.,Is Chao trustworthy?,No
66,17,social-properties,17.0,antonym,1,Chao brags about about past accomplishments.,Is Chao humble?,No
83,17,social-interactions,21.0,antonym,2,Chao is directing Yan toward the correct path.,Is Chao deceiving Yan?,No
199,19,physical-relations,,variable swap,2,"If Chao moves the bed, the truck will move too.",Does the truck support the bed?,No
214,20,social-relations,54.0,other,1,Chao works alongside Yan.,Is Chao Yan's subordinate?,No
3,1,social-relations,1.0,negation,2,Chao doesn't know Yan.,Are Chao and Yan friends?,No
98,25,quantitative-properties,,antonym,1,Chao has five kilograms of toothpaste.,Is there a little toothpaste?,No
410,78,agent-properties,103.0,variable swap,2,Chao is less hesitant to play pool than to play football.,Does Chao make more effort to play football than to play pool?,No
58,13,quantitative-properties,,number,1,There are five staplers. Chao has zero staplers.,Does Chao have all of the staplers?,No
31,8,social-properties,8.0,antonym,2,Chao is bad at completing important tasks.,Is Chao trustworthy?,No
46,12,social-properties,12.0,antonym,1,Chao thinks having neighbors of a different race is pleasant.,Is Chao bigoted?,No
618,48,social-relations,155.0,other,1,Chao shares parents with Yan.,Is Chao Yan's child?,No
42,11,social-properties,11.0,negation,1,Chao is not prejudiced against differences in background and belief.,Is Chao bigoted?,No
7,2,physical-dynamics,,other,2,"In a moment, the top of the wheel will remain at the top.",Is the wheel rolling?,No
323,65,agent-properties,81.0,antonym,1,Chao is moving toward Yan.,Does Chao not intend to interact with Yan?,No
191,36,physical-interactions,,antonym,2,Chao is applying negligible force to the wheel.,Is Chao throwing the wheel?,No
38,10,material-properties,,antonym,1,Chao pulled on the wheel with both hands. It changed its shape.,Is the wheel inelastic?,No
130,33,quantitative-properties,,antonym,1,The amount of toothpaste is greater than the amount of gel.,Is there less toothpaste than gel?,No
90,23,material-properties,,antonym,1,The wheel weighs a lot.,Is the wheel light?,No
575,46,social-relations,144.0,variable swap,2,Yan makes decisions more often than Chao.,Is Chao Yan's parent?,No
11,3,social-interactions,3.0,antonym,2,Chao is introducing obstacles in the path of Yan.,Is Chao helping Yan?,No
410,34,social-relations,103.0,antonym,1,Chao collects rent from Yan.,Is Yan Chao's landlord?,No
107,17,physical-interactions,,antonym,2,The wheel is moving towards Chao.,Is Chao pushing the wheel?,No
86,22,social-properties,22.0,antonym,1,Chao often tells others what to do.,Is Chao submissive?,No
71,18,social-properties,18.0,other,2,Ali spent the whole conversation talking about his friend's successes.,Is Ali boastful?,No
46,12,physical-dynamics,,antonym,1,The speed of the wheel is increasing.,Is the wheel slowing down?,No
59,15,physical-dynamics,,antonym,2,The wheel moves at a constant speed.,Is the wheel oscillating?,No
434,35,social-relations,109.0,antonym,1,Chao collects money from Yan.,Is Chao Yan's tenant?,No
31,8,physical-dynamics,,antonym,2,The wheel is light.,Is the wheel sinking?,No
487,80,agent-properties,122.0,variable swap,1,Chao is less intent on getting the truck than getting the wheel.,Does Chao make less effort to get the wheel than to get the truck?,No
262,30,social-relations,66.0,variable swap,1,Yan learns from Chao.,Is Chao Yan's student?,No
230,24,social-relations,58.0,other,1,Chao and Yan shake hands when they meet.,Is Chao Yan's romantic partner?,No
514,81,agent-properties,129.0,antonym,2,Chao is more hesitant to get the wheel than to get the truck.,Does Chao make more effort to get the wheel than to get the truck?,No
686,85,agent-properties,172.0,variable swap,2,Chao is less hesitant to meet with Ali than with Yan.,Does Chao make less effort to interact with Ali than with Yan?,No
6,2,material-properties,,material,1,The wheel is made of polyethylene.,Is the wheel opaque?,No
55,4,physical-interactions,,antonym,2,The wheel is moving away from the ground.,Is Chao dropping the wheel?,No
523,81,agent-properties,131.0,variable swap,1,Chao is more hesitant to get the truck than to get the wheel.,Does Chao make less effort to get the wheel than to get the truck?,No
87,23,agent-properties,22.0,other,1,The airplane is in front of Chao. Chao's ears are covered.,Does Chao hear the airplane?,No
114,29,social-properties,29.0,antonym,1,Chao is hesitant to share their opinion.,Is Chao confident?,No
54,14,physical-dynamics,,antonym,1,The speck on the wheel is moving back and forth.,Is the wheel spinning?,No
186,15,social-relations,47.0,antonym,1,Chao is at a later career stage than Yan.,Is Chao Yan's subordinate?,No
146,37,quantitative-properties,,antonym,1,Chao has the greatest number of staplers.,Does Chao have the fewest staplers?,No
291,31,social-relations,73.0,antonym,2,Chao submits homework to Yan.,Is Chao Yan's teacher?,No
2,1,material-properties,,negation,1,Chao can see through the wheel.,Is the wheel opaque?,No
19,5,social-interactions,5.0,antonym,2,Chao and Yan are hindering each other.,Is Chao cooperating with Yan?,No
166,13,physical-relations,,variable swap,1,The airplane is larger than the truck.,Is the airplane inside the truck?,No
579,145,material-dynamics,145.0,material,2,Chao sees something that is gas.,Can it rip?,No
234,21,physical-relations,,antonym,1,"If Chao moves the truck, the bed will remain in its place.",Is the truck connected to the bed?,No
39,10,social-properties,10.0,antonym,2,Chao is disrespectful towards differences in background and belief.,Is Chao tolerant?,No
138,37,agent-properties,35.0,antonym,2,Yan successfully lied to Chao that the wheel was moved from the shop.,Does Chao believe that the wheel is in the shop?,No
206,40,physical-interactions,,antonym,1,Chao is closer to the ground compared to when Chao was standing on the ground.,Is Chao standing on the wheel?,No
283,26,physical-relations,,variable swap,2,The bed is below the truck.,Is the bed on the truck?,No
122,13,social-relations,31.0,variable swap,1,Yan receives salary from Chao.,Is Chao Yan's subordinate?,No
2,1,quantitative-properties,,antonym,1,There are fewer keychains than staplers.,Are there fewer staplers than keychains?,No
23,6,social-relations,6.0,antonym,2,Chao dislikes spending time with Yan.,Is Chao Yan's friend?,No
50,14,agent-properties,13.0,antonym,2,The candle is in front of Chao. Chao has a strong cold.,Does Chao smell the candle?,No
35,9,physical-dynamics,,antonym,2,"In a minute, the wheel will remain visible.",Is the wheel sinking?,No
170,31,physical-interactions,,antonym,1,Chao is applying significant force to the wheel.,Is Chao dropping the wheel?,No
71,11,social-relations,18.0,variable swap,2,Yan gives orders to Chao.,Is Yan Chao's subordinate?,No
434,78,agent-properties,109.0,variable swap,2,Chao is less hesitant to play pool than to play football.,Does Chao make less effort to play pool than to play football?,No
271,52,agent-properties,68.0,antonym,1,"When presented with the choice between the wheel and the truck, Chao randomly chose the wheel.",Does Chao prefer the wheel over the truck?,No
50,13,material-properties,,antonym,1,The surface of the wheel reflects sunlight.,Is the surface of the wheel matte?,No
255,50,agent-properties,64.0,variable swap,1,"Upon seeing Ali and Yan, Chao started walking away from Ali but not Yan.",Does Chao prefer Ali over Yan?,No
390,98,material-dynamics,98.0,material,1,Chao sees something that is rigid.,Can it flap?,No
790,90,agent-properties,198.0,antonym,2,Chao will be less satisfied after getting the wheel than after getting the truck.,Does Chao choose the wheel over the truck?,No
187,35,physical-interactions,,negation,2,"In a moment, the wheel will be in the same place.",Is Chao kicking the wheel?,No
43,11,physical-dynamics,,antonym,2,The wheel is deflating.,Is the wheel growing?,No
203,39,physical-interactions,,other,2,Chao's feet are on the bed.,Is Chao sitting on the bed?,No
259,51,agent-properties,65.0,antonym,1,Chao decided to talk to Yan but not Ali.,Does Chao prefer Ali over Yan?,No
46,8,spatial-relations,,antonym,1,The wheel and the nail are on the same surface. Then the wheel is moved higher.,Is the wheel below the nail?,No
58,15,physical-dynamics,,antonym,1,The wheel keeps accelerating and slowing down.,Is the wheel spinning?,No
15,4,social-interactions,4.0,antonym,2,Chao and Yan are working against each other.,Is Chao cooperating with Yan?,No
715,86,agent-properties,179.0,variable swap,1,Chao likes Ali less than Yan.,Does Chao make more effort to interact with Ali than with Yan?,No
114,29,material-dynamics,29.0,material,1,Chao sees the sesame.,Can Chao drape it?,No
599,46,social-relations,150.0,variable swap,2,Yan makes decisions more often than Chao.,Is Yan Chao's child?,No
19,3,physical-relations,,antonym,2,The truck occupies less space than the bed.,Is the truck bigger than the bed?,No
50,11,social-relations,13.0,variable swap,1,Yan gets orders from Chao.,Is Chao Yan's subordinate?,No
486,41,social-relations,122.0,other,1,Maria gave birth to Yan.,Is Maria Yan's sibling?,No
214,42,physical-interactions,,antonym,1,The distance between the wheel and the nail is constant over time.,Is the wheel approaching the nail?,No
207,40,physical-interactions,,antonym,2,Chao is closer to the sky compared to when Chao was standing on the ground.,Is Chao sitting on the wheel?,No
198,46,agent-properties,50.0,antonym,2,Chao never chooses the wheel over the truck.,Does Chao prefer the wheel over the truck?,No
86,21,quantitative-properties,,number,1,Chao has a hundred staplers.,Are there no staplers?,No
91,5,physical-relations,,other,2,The bed is on top of the truck.,Does the truck contain the bed?,No
127,12,spatial-relations,,antonym,2,The wheel is south of Chao. Chao turns around.,Is the wheel north of Chao?,No
127,32,quantitative-properties,,number,2,Chao has three litres of toothpaste and five litres of gel.,Is the amount of toothpaste and gel the same?,No
135,10,physical-relations,,variable swap,2,"If Chao moves the airplane, the truck will move too.",Is the airplane inside the truck?,No
787,89,agent-properties,197.0,variable swap,1,Chao thinks that playing pool requires more effort than playing football. Chao is tired.,Does Chao choose pool over football?,No
207,46,agent-properties,52.0,variable swap,1,Chao never chooses the truck over the wheel.,Does Chao prefer the truck over the wheel?,No
107,9,spatial-relations,,antonym,2,Chao and Yan are on the same floor. Then Chao goes one floor down.,Is Yan below Chao?,No
62,16,material-properties,,antonym,1,Chao applied pressure to the wheel. It broke.,Is the wheel sturdy?,No
895,98,agent-properties,224.0,variable swap,1,Chao needs to see either Ali or Yan. It will take more time to see Ali than Yan.,Does Chao choose Ali over Yan?,No
26,8,agent-properties,7.0,antonym,2,The airplane is making sounds. The airplane is in front of Chao. Chao is asleep.,Does Chao hear the airplane?,No
131,13,spatial-relations,,antonym,2,The wheel is north of Chao. Chao reaches the wheel and continues to move straight ahead.,Is the wheel north of Chao?,No
175,44,material-dynamics,44.0,material,2,Chao sees something that is liquid.,Can Chao hang it?,No
78,12,social-relations,20.0,antonym,1,Chao is Yan's employer.,Is Chao Yan's subordinate?,No
82,21,material-properties,,material,1,Chao threw the wheel against the wall. The wheel hit the wall and flew in the opposite direction.,Is the wheel not bouncy?,No
75,20,agent-properties,19.0,other,1,Chao's hand is touching the wheel.,Does Chao not feel the wheel?,No
26,7,social-relations,7.0,antonym,1,Chao wants to work together with Yan.,Is Chao Yan's enemy?,No
162,41,agent-properties,41.0,antonym,2,"When choosing between playing football and playing pool, Chao always decides against playing football.",Does Chao prefer football over pool?,No
35,9,social-properties,9.0,antonym,2,Chao usually breaks promises.,Is Chao trustworthy?,No
58,15,material-dynamics,15.0,material,1,Chao sees the cup.,Can Chao pour it?,No
374,33,social-relations,94.0,antonym,1,Chao rents a duplex to Yan.,Is Yan Chao's landlord?,No
135,34,quantitative-properties,,antonym,2,Toothpaste is removed from the truck that initially contained the same amount of toothpaste and gel.,Is there more toothpaste than gel?,No
102,26,quantitative-properties,,antonym,1,The suitcase with toothpaste is big.,Is there a little toothpaste?,No
778,89,agent-properties,195.0,antonym,2,Chao thinks that playing football requires more effort than playing pool. Chao is tired.,Does Chao choose football over pool?,No
71,18,material-properties,,antonym,2,The wheel's temperature is the same than Chao's hand'.,Is the wheel cold?,No
103,22,social-interactions,26.0,antonym,2,Chao is being dismissive towards Yan.,Is Chao respecting Yan?,No
139,35,quantitative-properties,,antonym,2,Chao has the smallest amount of toothpaste.,Does Chao have the most toothpate?,No
143,36,social-properties,36.0,antonym,2,Chao rarely laughs.,Is Chao warm?,No
10,1,physical-relations,,variable swap,1,The bed is behind the truck.,Is the bed blocking the truck?,No
418,34,social-relations,105.0,variable swap,1,Yan pays rent to Chao.,Is Yan Chao's landlord?,No
95,24,quantitative-properties,,antonym,2,Chao has a small amount of toothpaste.,Is there a lot of toothpaste?,No
159,28,physical-interactions,,antonym,2,"The wheel is stationary, and the nail is not.",Is the wheel colliding with the nail?,No
175,44,agent-properties,44.0,antonym,1,Chao likes the wheel more than the truck.,Does Chao prefer the truck over the wheel?,No
163,29,physical-interactions,,other,2,Chao's hand is touching the wheel.,Is Chao kicking the wheel?,No
231,48,agent-properties,58.0,variable swap,1,"When presented with the truck and the wheel, Chao decided to leave the truck but not the wheel.",Does Chao prefer the truck over the wheel?,No
127,34,agent-properties,32.0,other,1,"The wheel is in the shop. Then, Chao sees that the wheel is moved to the other side of the shop.",Does Chao doubt that the wheel is in the shop?,No
2,1,social-interactions,1.0,antonym,1,Chao is making Yan's job easier.,Is Chao hindering Yan?,No
75,9,physical-interactions,,antonym,2,Chao is moving but the truck is not.,Is Chao throwing the truck?,No
610,47,social-relations,153.0,antonym,1,Chao is 35 years older than Yan.,Is Yan Chao's parent?,No
42,9,quantitative-properties,,other,1,There are three staplers. All staplers are paired with keychains.,Is the number of staplers and keychains different?,No
439,35,social-relations,110.0,variable swap,2,Yan collects money from Chao.,Is Chao Yan's landlord?,No
23,7,agent-properties,6.0,antonym,1,The airplane is making sounds. The airplane is within earshot of Chao.,Does Chao not hear the airplane?,No
10,2,spatial-relations,,antonym,1,The nail is next to the right side of the wheel.,Is the nail to the left of the wheel?,No
102,16,physical-interactions,,antonym,1,The wheel is now within Chao's reach.,Is Chao throwing the wheel?,No
66,17,material-properties,,material,1,The wheel is made of ceramic.,Is the wheel sturdy?,No
782,89,agent-properties,196.0,variable swap,2,Chao thinks that playing pool requires less effort than playing football. Chao is tired.,Does Chao choose football over pool?,No
138,10,physical-relations,,variable swap,1,"If Chao moves the airplane, the truck will remain in its place.",Is the truck inside the airplane?,No
359,90,material-dynamics,90.0,material,2,Chao sees something that is gas.,Can Chao wrinkle it?,No
127,32,social-properties,32.0,negation,2,Chao likes to speak up during meetings.,Is Chao shy?,No
38,6,spatial-relations,,antonym,1,The nail is below the wheel.,Is the wheel below the nail?,No
35,9,material-properties,,antonym,2,The wheel is rigid.,Is the wheel elastic?,No
15,2,physical-relations,,variable swap,2,Chao needs to move the bed to reach the truck.,Is the truck blocking the bed?,No
662,85,agent-properties,166.0,variable swap,2,Chao is less hesitant to meet with Ali than with Yan.,Does Chao make more effort to interact with Yan than with Ali?,No
58,15,social-properties,15.0,antonym,1,Chao talks a lot about past accomplishments.,Is Chao humble?,No
799,90,agent-properties,200.0,variable swap,1,Chao will be less satisfied after getting the truck than after getting the wheel.,Does Chao choose the truck over the wheel?,No
427,107,material-dynamics,107.0,material,2,Chao sees something that is gas.,Can it flap?,No
619,48,social-relations,155.0,other,2,Chao was born to Yan.,Is Chao Yan's sibling?,No
246,28,social-relations,62.0,antonym,1,Chao and Yan never spend time together.,Are Chao and Yan romantic partners?,No
758,87,agent-properties,190.0,variable swap,2,Chao hates Ali less than Yan.,Does Chao make less effort to interact with Ali than with Yan?,No
614,83,agent-properties,154.0,variable swap,2,Chao hates the truck less than the wheel.,Does Chao make less effort to get the truck than to get the wheel?,No
15,4,social-properties,4.0,other,2,Chao gave Yan a glare.,Is Chao friendly?,No
326,32,social-relations,82.0,other,1,Chao's alumni spoke with Yan.,Is Chao Yan's student?,No
139,35,social-properties,35.0,antonym,2,Chao is distant.,Is Chao warm?,No
363,33,social-relations,91.0,antonym,2,Chao rents a duplex from Yan.,Is Chao Yan's landlord?,No
151,27,physical-interactions,,variable swap,2,The nail is exerting force upon the wheel.,Is the wheel colliding with the nail?,No
479,38,social-relations,120.0,other,2,Chao shares a duplex with Yan.,Is Chao Yan's tenant?,No
34,9,material-dynamics,9.0,material,1,Chao sees something that is non-rigid.,Can it ripple?,No
143,26,physical-interactions,,antonym,2,Chao is putting together the wheel.,Is Chao breaking the wheel?,No
499,80,agent-properties,125.0,variable swap,1,Chao is less intent on getting the truck than getting the wheel.,Does Chao make more effort to get the truck than to get the wheel?,No
27,5,spatial-relations,,antonym,2,"The shop is in front of Chao, and the zoo is behind. Chao turns left.",Is the shop to the left of Chao?,No
147,37,social-properties,37.0,antonym,2,Chao rarely gets into long conversations.,Is Chao warm?,No
510,44,social-relations,128.0,active-passive,1,Chao raised Yan.,Is Yan Chao's parent?,No
199,46,agent-properties,50.0,antonym,1,Chao always chooses the wheel over the truck.,Does Chao prefer the truck over the wheel?,No
179,45,material-dynamics,45.0,material,2,Chao sees the water.,Can Chao hang it?,No
74,15,social-interactions,19.0,antonym,1,Chao is providing Yan with false information.,Is Chao helping Yan?,No
142,16,spatial-relations,,antonym,1,The nail is west of the wheel.,Is the wheel west of the nail?,No
522,131,material-dynamics,131.0,material,1,Chao sees something that is granular.,Can it rip?,No
19,6,agent-properties,5.0,antonym,1,The bed is in the same room as Chao. The door is closed.,Does Chao not see the bed?,No
22,4,spatial-relations,,antonym,1,The wheel is to the right of Chao. Chao turns around.,Is the wheel to the right of Chao?,No
147,37,quantitative-properties,,antonym,2,Chao has the smallest number of staplers.,Does Chao have the most staplers?,No
374,77,agent-properties,94.0,variable swap,2,Chao is more intent on playing pool than on playing football.,Does Chao make more effort to play football than to play pool?,No
218,55,material-dynamics,55.0,material,1,Chao sees the feather.,Can Chao stir it?,No
223,44,physical-interactions,,variable swap,2,"The nail is moving, and the wheel is stationary.",Is the wheel revolving around the nail?,No
10,3,material-dynamics,3.0,material,1,Chao sees something that is fabric.,Can Chao stir it?,No
363,91,material-dynamics,91.0,material,2,Chao sees the oxygen.,Can Chao wrinkle it?,No
14,4,social-interactions,4.0,antonym,1,Chao and Yan are working with each other.,Is Chao competing with Yan?,No
31,5,spatial-relations,,variable swap,2,"The zoo is in front of Chao, and the shop is behind. Chao turns right.",Is the shop to the left of Chao?,No
79,20,material-properties,,antonym,2,"Chao dropped the wheel, and saw it lying on the floor.",Is the wheel bouncy?,No
58,8,spatial-relations,,antonym,1,The wheel and the nail are on the same surface. Then the wheel is moved higher.,Is the nail above the wheel?,No
66,4,physical-relations,,antonym,1,The truck can completely hide the bed from view.,Is the bed bigger than the truck?,No
23,6,social-properties,6.0,negation,2,Chao cannot be depended upon.,Is Chao trustworthy?,No
167,22,spatial-relations,,antonym,2,Chao can touch the wheel after making a step backward.,Is the wheel in front of Chao?,No
130,22,physical-interactions,,other,1,The wheel is moving because of Chao.,Is Chao dropping the wheel?,No
119,13,social-relations,30.0,variable swap,2,Yan pays salary to Chao.,Is Chao Yan's boss?,No
38,10,material-dynamics,10.0,material,1,Chao sees the feather.,Can it ripple?,No
238,49,agent-properties,60.0,variable swap,2,"When presented with the truck and the wheel, Chao moved toward the truck but not the wheel.",Does Chao prefer the wheel over the truck?,No
103,12,social-relations,26.0,antonym,2,Chao is Yan's employee.,Is Yan Chao's subordinate?,No
42,11,social-relations,11.0,antonym,1,Chao gives orders to Yan.,Is Chao Yan's subordinate?,No
30,8,social-relations,8.0,antonym,1,Chao likes Yan.,Are Chao and Yan enemies?,No
306,61,agent-properties,77.0,other,2,"In the store, Chao walks past the wheel.",Does Chao intend to get the wheel?,No
142,36,social-properties,36.0,antonym,1,Chao often laughs.,Is Chao cold?,No
887,98,agent-properties,222.0,antonym,1,Chao needs to see either Yan or Ali. It will take less time to see Yan than Ali.,Does Chao choose Ali over Yan?,No
30,8,material-properties,,material,1,The wheel is made of flannel.,Is the surface of the wheel hard?,No
87,9,spatial-relations,,variable swap,2,Yan and Chao are on the same floor. Then Yan goes one floor up.,Is Chao above Yan?,No
126,32,quantitative-properties,,number,1,Chao has three litres of toothpaste and three litres of gel.,Is the amount of toothpaste and gel different?,No
443,111,material-dynamics,111.0,material,2,Chao sees something that is liquid.,Can it rip?,No
99,21,social-interactions,25.0,other,2,Yan is grateful for Chao's presence.,Is Chao coercing Yan?,No
102,9,spatial-relations,,variable swap,1,Yan and Chao are on the same floor. Then Yan goes one floor down.,Is Yan above Chao?,No
94,24,social-properties,24.0,other,1,"Chao has a large family. Each weekend, Chao decides what the family should do for fun.",Is Chao submissive?,No
174,15,physical-relations,,antonym,1,"If Chao moves the truck, the airplane will move too.",Is the truck outside the airplane?,No
130,29,social-interactions,33.0,antonym,1,"When interacting with Yan, Chao is being callous.",Is Chao comforting Yan?,No
27,8,agent-properties,7.0,antonym,1,The airplane is making sounds. The airplane is in front of Chao. Chao is awake.,Does Chao not hear the airplane?,No
779,89,agent-properties,195.0,antonym,1,Chao thinks that playing football requires less effort than playing pool. Chao is tired.,Does Chao choose pool over football?,No
298,59,agent-properties,75.0,antonym,2,Chao is inadvertently moving toward the wheel.,Does Chao intend to get the wheel?,No
59,5,physical-interactions,,antonym,2,The nail is moving away from the magnet.,Is the magnet attracting the nail?,No
6,1,physical-interactions,,variable_swap,1,The wheel and the nail are touching. Heat is flowing from the wheel to the nail.,Is the nail heating the wheel?,No
451,79,agent-properties,113.0,variable swap,1,Chao hates playing pool more than playing football.,Does Chao make less effort to play football than to play pool?,No
151,38,quantitative-properties,,antonym,2,Nobody has less staplers than Chao.,Does Chao have the most staplers?,No
54,12,social-interactions,14.0,antonym,1,Chao can ski better than Yan.,Is Chao learning from Yan?,No
135,23,physical-interactions,,antonym,2,The wheel will soon be in one piece.,Is Chao breaking the wheel?,No
167,30,physical-interactions,,antonym,2,The wheel is above the ground.,Is Chao kicking the wheel?,No
63,16,material-properties,,antonym,2,Chao applied pressure to the wheel. It remained intact.,Is the wheel fragile?,No
279,26,physical-relations,,antonym,2,The truck is above the bed.,Is the bed on the truck?,No
38,11,agent-properties,10.0,antonym,2,The airplane is making sounds. The airplane is far from Chao.,Does Chao hear the airplane?,No
626,50,social-relations,157.0,other,1,Yan is 5 years older than Chao.,Is Chao Yan's child?,No
154,13,physical-relations,,variable swap,1,The airplane is larger than the truck.,Is the truck outside the airplane?,No
43,9,quantitative-properties,,other,2,There are three staplers. Most staplers are paired with keychains.,Is the number of staplers and keychains the same?,No
38,10,physical-dynamics,,antonym,1,The wheel is larger than its initial size.,Is the wheel shrinking?,No
226,23,social-relations,57.0,antonym,1,The relationship between Chao and Yan is platonic.,Is Chao Yan's romantic partner?,No
75,19,material-properties,,antonym,2,The wheel's temperature is the same than Chao's hand'.,Is the surface of the wheel cold?,No
166,22,spatial-relations,,antonym,1,Chao can touch the wheel after making a step forward.,Is the wheel behind Chao?,No
18,5,physical-dynamics,,antonym,1,The wheel is getting closer to the ground.,Is the wheel rising?,No
67,15,quantitative-properties,,antonym,2,"There are six staplers in total, and Chao has everything.",Does Chao have none of the staplers?,No
379,95,material-dynamics,95.0,material,2,Chao sees the oxygen.,Can Chao drape it?,No
38,10,social-interactions,10.0,antonym,1,Chao will be sad if Chao and Yan run into each other.,Is Chao seeking Yan?,No
330,67,agent-properties,83.0,antonym,2,Chao is ending a conversation with Yan.,Does Chao intend to interact with Yan?,No
95,8,physical-relations,,antonym,2,The truck is touching the bed from above.,Does the truck contain the bed?,No
139,31,social-interactions,35.0,antonym,2,Chao is making Yan feel loved.,Is Chao teasing Yan?,No
242,27,social-relations,61.0,negation,1,Chao and Yan are not in a relationship.,Are Chao and Yan romantic partners?,No
563,82,agent-properties,141.0,antonym,1,Chao wants the wheel more than the truck.,Does Chao make more effort to get the truck than to get the wheel?,No
254,30,social-relations,64.0,antonym,1,Chao lectures Yan.,Is Chao Yan's student?,No
698,86,agent-properties,175.0,variable swap,2,Chao likes Ali more than Yan.,Does Chao make more effort to interact with Yan than with Ali?,No
3,1,quantitative-properties,,antonym,2,There are more keychains than staplers.,Are there more staplers than keychains?,No
262,26,physical-relations,,variable swap,1,The bed is above the truck.,Is the truck on the bed?,No
166,42,agent-properties,42.0,game,2,"When choosing between playing football and playing pool, Chao always decides to play pool.",Does Chao prefer football over pool?,No
247,24,physical-relations,,antonym,2,The truck is some distance away from the bed.,Is the truck attached to the bed?,No
243,23,physical-relations,,antonym,2,"If Chao picks up the cooler, the wheel will move too.",Is the cooler touching the wheel?,No
319,27,physical-relations,,variable swap,2,The bed is lower down compared to the truck.,Is the bed on the truck?,No
42,11,physical-dynamics,,antonym,1,The wheel is inflating.,Is the wheel shrinking?,No
63,14,quantitative-properties,,number,2,There are five staplers in total. There are five staplers in the cooler belonging to Chao.,Does Chao have none of the staplers?,No
118,10,spatial-relations,,antonym,1,Chao touched the wheel from below.,Is the wheel below Chao?,No
